UAI;LIBELLÉFORMATION;MEFSTAT11_old;NB_VOEUX_CONFIRMES;STATUT;CAPACITEPSUP;CFD;CFD rectifié;Rectif;MEFSTAT11
0011074M;BTS - Agricole - Agronomie : Productions végétales - en apprentissage;32212021113;9;Apprentissage;20;32021113;32021113;FAUX;32212021113
0011074M;BTS - Agricole - productions animales - en apprentissage;32212021205;25;Apprentissage;20;32021205;32021205;FAUX;32212021205
0011118K;BTS - Services - Gestion des transports et logistique associée;32211031103;415;Scolaire;34;32031103;32031103;FAUX;32211031103
0011119L;BTS - Production - Conception de produits industriels;32211020009;112;Scolaire;17;32020009;32020009;FAUX;32211020009
0011119L;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);32211022316;47;Scolaire;15;32022316;32022316;FAUX;32211022316
0011119L;BTS - Production - Conception des processus de réalisation de produits (1ère année commune) - en apprentissage;32211022316;31;Apprentissage;16;32022316;32022316;FAUX;32211022316
0011119L;BTS - Production - Europlastics et composites à référentiel commun européen - option Conception d'Outillage;32211022505;34;Scolaire;8;32022505;32022505;FAUX;32211022505
0011119L;BTS - Production - Europlastics et composites à référentiel commun européen - option Conception d'Outillage - en apprentissage;32211022505;19;Apprentissage;5;32022505;32022505;FAUX;32211022505
0011119L;BTS - Production - Europlastics et composites à référentiel commun européen - option Pilotage et Optimisation de la production;32211022506;43;Scolaire;8;32022506;32022506;FAUX;32211022506
0011119L;BTS - Production - Europlastics et composites à référentiel commun européen - option Pilotage et Optimisation de la production - en apprentissage;32211022506;22;Apprentissage;15;32022506;32022506;FAUX;32211022506
0011170S;BTS - Agricole - Développement, animation des territoires ruraux;32212030001;45;Scolaire;20;32030001;32030001;FAUX;32212030001
0011170S;BTS - Agricole - Développement, animation des territoires ruraux - en apprentissage;32212030001;31;Apprentissage;20;32030001;32030001;FAUX;32212030001
0011194T;BTS - Production - Bioanalyses et contrôles;32211022207;551;Scolaire;24;32022207;32022207;FAUX;32211022207
0011194T;BTS - Production - Conception et Réalisation de Systèmes Automatiques;32211020111;219;Scolaire;24;32020111;32020111;FAUX;32211020111
0011194T;BTS - Services - Conseil et commercialisation de solutions techniques;32211031216;455;Scolaire;24;32031216;32031216;FAUX;32211031216
0011256K;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie - en apprentissage;32211033606;59;Apprentissage;15;32033606;32033606;FAUX;32211033606
0011276G;BTS - Production - Electrotechnique;32211025520;309;Scolaire;15;32025520;32025520;FAUX;32211025520
0011276G;BTS - Production - Electrotechnique - en apprentissage;32211025520;111;Apprentissage;16;32025520;32025520;FAUX;32211025520
0011276G;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;255;Apprentissage;15;32031212;32031212;FAUX;32211031212
0011324J;BTS - Production - Systèmes constructifs bois et habitat - en apprentissage;32211023412;54;Apprentissage;22;32023412;32023412;FAUX;32211023412
0011413F;BTS - Services - Communication - en apprentissage;32211032002;38;Apprentissage;;32032002;32032002;FAUX;32211032002
0011413F;BTS - Services - Comptabilité et gestion - en apprentissage;32211031408;18;Apprentissage;;32031408;32031408;FAUX;32211031408
0011413F;BTS - Services - Gestion de la PME - en apprentissage;32211031409;34;Apprentissage;;32031409;32031409;FAUX;32211031409
0011413F;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;38;Apprentissage;;32031213;32031213;FAUX;32211031213
0011443N;BTS - Services - Banque conseiller de clientèle - en apprentissage;32211031310;66;Apprentissage;14;32031310;32031310;FAUX;32211031310
0011443N;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;57;Apprentissage;28;32031213;32031213;FAUX;32211031213
0011443N;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;28;Apprentissage;14;32031212;32031212;FAUX;32211031212
0011444P;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole - en apprentissage;32212021014;113;Apprentissage;20;32021014;32021014;FAUX;32212021014
0011444P;BTS - Agricole - productions animales - en apprentissage;32212021205;183;Apprentissage;20;32021205;32021205;FAUX;32212021205
0011444P;BTS - Agricole - Sciences et technologies des aliments spécialité Aliments et processus technologiques - en apprentissage;32212022113;57;Apprentissage;20;32022113;32022113;FAUX;32212022113
0011446S;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole - en apprentissage;32212021014;90;Apprentissage;24;32021014;32021014;FAUX;32212021014
0011446S;BTS - Agricole - Aquaculture - en apprentissage;32212021206;77;Apprentissage;24;32021206;32021206;FAUX;32212021206
0020012C;BTS - Services - Comptabilité et gestion;32211031408;140;Scolaire;18;32031408;32031408;FAUX;32211031408
0020012C;BTS - Services - Gestion de la PME;32211031409;183;Scolaire;18;32031409;32031409;FAUX;32211031409
0020012C;BTS - Services - Service et prestation des secteurs sanitaire et social;32211033002;448;Scolaire;18;32033002;32033002;FAUX;32211033002
0020014E;BTS - Production - Europlastics et composites à référentiel commun européen - option Conception d'Outillage - en apprentissage;32211022505;8;Apprentissage;5;32022505;32022505;FAUX;32211022505
0020014E;BTS - Production - Europlastics et composites à référentiel commun européen - option Pilotage et Optimisation de la production;32211022506;74;Scolaire;24;32022506;32022506;FAUX;32211022506
0020014E;BTS - Production - Europlastics et composites à référentiel commun européen - option Pilotage et Optimisation de la production - en apprentissage;32211022506;10;Apprentissage;5;32022506;32022506;FAUX;32211022506
0020014E;BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air - en apprentissage;32211022710;47;Apprentissage;20;32022710;32022710;FAUX;32211022710
0020014E;BTS - Services - Conseil et commercialisation de solutions techniques - en apprentissage;32211031216;30;Apprentissage;15;32031216;32031216;FAUX;32211031216
0020014E;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;233;Apprentissage;20;32031213;32031213;FAUX;32211031213
0020014E;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;278;Scolaire;35;32031212;32031212;FAUX;32211031212
0020022N;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie;32211033606;174;Scolaire;18;32033606;32033606;FAUX;32211033606
0020025S;BTS - Production - Maintenance des matériels de construction et de manutention - en apprentissage;32211025218;22;Apprentissage;12;32025218;32025218;FAUX;32211025218
0020025S;BTS - Production - Maintenance des véhicules option véhicules de transport routier - en apprentissage;32211025216;34;Apprentissage;12;32025216;32025216;FAUX;32211025216
0020025S;BTS - Production - Techniques et services en matériels agricoles - en apprentissage;32211025213;46;Apprentissage;20;32025213;32025213;FAUX;32211025213
