UAI;LIBELLÉFORMATION;MEFSTAT11_old;NB_VOEUX_CONFIRMES;STATUT;CAPACITEPSUP;CFD;CFD rectifié;Rectif;MEFSTAT11
0190849V;BTS - Production - Fluide, énergie, domotique - option C domotique et bâtiment communicants - en apprentissage;32211022711;18;Apprentissage;;32022711;32022711;FAUX;32211022711
0190849V;BTS - Production - Maintenance des systèmes - option B Systèmes énergétiques et fluidiques - en apprentissage;32211025015;14;Apprentissage;;32025015;32025015;FAUX;32211025015
0190866N;BTS - Agricole - Gestion forestière - en apprentissage;32212021304;144;Apprentissage;24;32021304;32021304;FAUX;32212021304
0195069G;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;75;Apprentissage;50;32031213;32031213;FAUX;32211031213
0195069G;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;91;Apprentissage;50;32031212;32031212;FAUX;32211031212
0210003P;BTS - Services - Communication;32211032002;739;Scolaire;24;32032002;32032002;FAUX;32211032002
0210003P;BTS - Services - Communication - en apprentissage;32211032002;133;Apprentissage;;32032002;32032002;FAUX;32211032002
0210006T;BTS - Services - Tourisme;32211033426;533;Scolaire;36;32033426;32033426;FAUX;32211033426
0210017E;BTS - Services - Banque conseiller de clientèle;32211031310;820;Scolaire;24;32031310;32031310;FAUX;32211031310
0210017E;BTS - Services - Commerce International;32211031215;1134;Scolaire;24;32031215;32031215;FAUX;32211031215
0210017E;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;1272;Scolaire;24;32031212;32031212;FAUX;32211031212
0210017E;BTS - Services - Support à l'action managériale;32211032409;410;Scolaire;24;32032409;32032409;FAUX;32211032409
0210017E;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;234;Apprentissage;14;32032409;32032409;FAUX;32211032409
0210018F;BTS - Production - Fluide, énergie, domotique - option A génie climatique et fluidique;32211022709;140;Scolaire;24;32022709;32022709;FAUX;32211022709
0210018F;BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air;32211022710;144;Scolaire;12;32022710;32022710;FAUX;32211022710
0210018F;BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air - en apprentissage;32211022710;99;Apprentissage;15;32022710;32022710;FAUX;32211022710
0210018F;BTS - Production - Fluide, énergie, domotique - option C domotique et bâtiment communicants;32211022711;148;Scolaire;15;32022711;32022711;FAUX;32211022711
0210018F;BTS - Production - Maintenance des systèmes - option B Systèmes énergétiques et fluidiques;32211025015;265;Scolaire;12;32025015;32025015;FAUX;32211025015
0210018F;BTS - Production - Maintenance des systèmes - option B Systèmes énergétiques et fluidiques - en apprentissage;32211025015;83;Apprentissage;15;32025015;32025015;FAUX;32211025015
0210019G;BTS - Production - Bioanalyses et contrôles;32211022207;837;Scolaire;24;32022207;32022207;FAUX;32211022207
0210019G;BTS - Production - Métiers de la mode-vêtements;32211024207;449;Scolaire;15;32024207;32024207;FAUX;32211024207
0210019G;BTS - Services - Comptabilité et gestion;32211031408;583;Scolaire;24;32031408;32031408;FAUX;32211031408
0210019G;BTS - Services - Comptabilité et gestion - en apprentissage;32211031408;213;Apprentissage;4;32031408;32031408;FAUX;32211031408
0210019G;BTS - Services - Management Commercial Opérationnel;32211031213;1651;Scolaire;24;32031213;32031213;FAUX;32211031213
0210019G;BTS - Services - Management en hôtellerie restauration;32211033422;246;Scolaire;30;32033422;32033422;FAUX;32211033422
0210019G;BTS - Services - Services informatiques aux organisations;32211032612;969;Scolaire;24;32032612;32032612;FAUX;32211032612
0210019G;BTS - Services - Support à l'action managériale;32211032409;507;Scolaire;24;32032409;32032409;FAUX;32211032409
0210036A;BTS - Agricole - Technico-commercial - Spécialité vins, bières et spiritueux;32212031202;166;Scolaire;27;32031202;32031202;FAUX;32212031202
0210036A;BTS - Agricole - Viticulture-Oenologie;32212021112;308;Scolaire;35;32021112;32021112;FAUX;32212021112
0210047M;BTS - Services - Gestion de la PME;32211031409;1317;Scolaire;18;32031409;32031409;FAUX;32211031409
0210047M;BTS - Services - Gestion de la PME - en apprentissage;32211031409;27;Apprentissage;;32031409;32031409;FAUX;32211031409
0211033J;BTS - Production - Electrotechnique;32211025520;233;Scolaire;15;32025520;32025520;FAUX;32211025520
0211033J;BTS - Production - Maintenance des systèmes - option A Systèmes de production;32211025014;142;Scolaire;15;32025014;32025014;FAUX;32211025014
0211033J;BTS - Production - Maintenance des systèmes - option A Systèmes de production - en apprentissage;32211025014;94;Apprentissage;2;32025014;32025014;FAUX;32211025014
0211033J;BTS - Production - Maintenance des systèmes - option C Systèmes éoliens;32211025016;140;Scolaire;8;32025016;32025016;FAUX;32211025016
0211033J;BTS - Production - Maintenance des systèmes - option C Systèmes éoliens - en apprentissage;32211025016;43;Apprentissage;2;32025016;32025016;FAUX;32211025016
0211033J;BTS - Production - Systèmes numériques - Option électronique et communication;32211025516;164;Scolaire;12;32025516;32025516;FAUX;32211025516
0211033J;BTS - Production - Systèmes numériques - Option électronique et communication - en apprentissage;32211025516;54;Apprentissage;3;32025516;32025516;FAUX;32211025516
0211033J;BTS - Production - Systèmes numériques - Option informatique et réseaux;32211020112;567;Scolaire;24;32020112;32020112;FAUX;32211020112
0211033J;BTS - Production - Systèmes numériques - Option informatique et réseaux - en apprentissage;32211020112;20;Apprentissage;2;32020112;32020112;FAUX;32211020112
0211089V;BTS - Production - Conception de produits industriels;32211020009;142;Scolaire;32;32020009;32020009;FAUX;32211020009
0211089V;BTS - Production - Conception et Réalisation de Systèmes Automatiques;32211020111;175;Scolaire;30;32020111;32020111;FAUX;32211020111
0211089V;BTS - Production - Electrotechnique;32211025520;95;Scolaire;28;32025520;32025520;FAUX;32211025520
0211089V;BTS - Production - Enveloppe des bâtiments : conception et réalisation;32211023205;83;Scolaire;8;32023205;32023205;FAUX;32211023205
0211089V;BTS - Production - Systèmes numériques - Option informatique et réseaux;32211020112;239;Scolaire;36;32020112;32020112;FAUX;32211020112
0211090W;BTS - Services - Comptabilité et gestion;32211031408;256;Scolaire;33;32031408;32031408;FAUX;32211031408
0211090W;BTS - Services - Gestion de la PME;32211031409;308;Scolaire;33;32031409;32031409;FAUX;32211031409
0211090W;BTS - Services - Gestion des transports et logistique associée;32211031103;222;Scolaire;33;32031103;32031103;FAUX;32211031103
0211090W;BTS - Services - Management Commercial Opérationnel;32211031213;570;Scolaire;66;32031213;32031213;FAUX;32211031213
0211090W;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;491;Scolaire;33;32031212;32031212;FAUX;32211031212
0211090W;BTS - Services - Services informatiques aux organisations;32211032612;330;Scolaire;33;32032612;32032612;FAUX;32211032612
0211090W;BTS - Services - Support à l'action managériale;32211032409;159;Scolaire;35;32032409;32032409;FAUX;32211032409
0211090W;BTS - Services - Tourisme;32211033426;491;Scolaire;66;32033426;32033426;FAUX;32211033426
0211091X;BTS - Services - Commerce International;32211031215;350;Scolaire;32;32031215;32031215;FAUX;32211031215
0211091X;BTS - Services - Communication;32211032002;374;Scolaire;32;32032002;32032002;FAUX;32211032002
0211091X;BTS - Services - Comptabilité et gestion;32211031408;190;Scolaire;34;32031408;32031408;FAUX;32211031408
0211091X;BTS - Services - Economie sociale familiale;32211033206;193;Scolaire;34;32033206;32033206;FAUX;32211033206
0211091X;BTS - Services - Support à l'action managériale;32211032409;116;Scolaire;34;32032409;32032409;FAUX;32211032409
0211135V;BTS - Agricole - Agronomie : Productions végétales;32212021113;474;Scolaire;30;32021113;32021113;FAUX;32212021113
0211135V;BTS - Agricole - Aménagements paysagers;32212021401;678;Scolaire;30;32021401;32021401;FAUX;32212021401
0211173L;BTS - Agricole - Analyses agricoles biologiques et biotechnologiques - en apprentissage;32212022111;156;Apprentissage;32;32022111;32022111;FAUX;32212022111
0211173L;BTS - Agricole - Sciences et technologies des aliments spécialité Aliments et processus technologiques;32212022113;315;Scolaire;27;32022113;32022113;FAUX;32212022113
0211173L;BTS - Agricole - Sciences et technologies des aliments spécialité Aliments et processus technologiques - en apprentissage;32212022113;45;Apprentissage;16;32022113;32022113;FAUX;32212022113
0211173L;BTS - Agricole - Sciences et technologies des aliments spécialité Produits céréaliers - en apprentissage;32212021012;12;Apprentissage;16;32021012;32021012;FAUX;32212021012
0211217J;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole;32212021014;112;Scolaire;19;32021014;32021014;FAUX;32212021014
0211356K;BTS - Services - Management opérationnel de la sécurité;32211034401;247;Scolaire;15;32034401;32034401;FAUX;32211034401
0211356K;BTS - Services - Management opérationnel de la sécurité - en apprentissage;32211034401;53;Apprentissage;2;32034401;32034401;FAUX;32211034401
0211431S;BTS - Production - Finitions, aménagement des bâtiments: conception et réalisation - en apprentissage;32211023306;73;Apprentissage;20;32023306;32023306;FAUX;32211023306
0211431S;BTS - Production - Fluide, énergie, domotique - option C domotique et bâtiment communicants - en apprentissage;32211022711;42;Apprentissage;20;32022711;32022711;FAUX;32211022711
0211431S;BTS - Production - Management économique de la construction - en apprentissage;32211023013;50;Apprentissage;20;32023013;32023013;FAUX;32211023013
0211479U;BTS - Production - Maintenance des véhicules option voitures particulières - en apprentissage;32211025215;86;Apprentissage;16;32025215;32025215;FAUX;32211025215
0211479U;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;125;Apprentissage;26;32031213;32031213;FAUX;32211031213
0211479U;BTS - Services - Management en hôtellerie restauration - en apprentissage;32211033422;31;Apprentissage;28;32033422;32033422;FAUX;32211033422
0211479U;BTS - Services - Opticien-Lunetier - en apprentissage;32211033107;255;Apprentissage;44;32033107;32033107;FAUX;32211033107
0211530Z;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole - en apprentissage;32212021014;47;Apprentissage;18;32021014;32021014;FAUX;32212021014
0211530Z;BTS - Agricole - Développement, animation des territoires ruraux;32212030001;67;Scolaire;16;32030001;32030001;FAUX;32212030001
0211530Z;BTS - Agricole - Développement, animation des territoires ruraux - en apprentissage;32212030001;33;Apprentissage;16;32030001;32030001;FAUX;32212030001
0211531A;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole - en apprentissage;32212021014;26;Apprentissage;30;32021014;32021014;FAUX;32212021014
0211575Y;BTS - Agricole - Technico-commercial - Spécialité vins, bières et spiritueux - en apprentissage;32212031202;50;Apprentissage;25;32031202;32031202;FAUX;32212031202
0211575Y;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;0;Apprentissage;25;32031213;32031213;FAUX;32211031213
0211579C;BTS - Agricole - Technico-commercial - Spécialité univers jardins et animaux de compagnie;32212031203;40;Scolaire;12;32031203;32031203;FAUX;32212031203
0211579C;BTS - Agricole - Technico-commercial - Spécialité univers jardins et animaux de compagnie - en apprentissage;32212031203;9;Apprentissage;10;32031203;32031203;FAUX;32212031203
0211799S;BTS - Agricole - Aménagements paysagers - en apprentissage;32212021401;142;Apprentissage;40;32021401;32021401;FAUX;32212021401
0211800T;BTS - Agricole - Viticulture-Oenologie - en apprentissage;32212021112;146;Apprentissage;25;32021112;32021112;FAUX;32212021112
0211948D;BTS - Services - Gestion des transports et logistique associée - en apprentissage;32211031103;68;Apprentissage;;32031103;32031103;FAUX;32211031103
0211986V;BTS - Production - Bâtiment;32211023012;316;Scolaire;24;32023012;32023012;FAUX;32211023012
0211986V;BTS - Production - Enveloppe des bâtiments : conception et réalisation;32211023205;114;Scolaire;8;32023205;32023205;FAUX;32211023205
0211986V;BTS - Production - Métiers du géomètre-topographe et de la modélisation numérique - en apprentissage;32211023108;166;Apprentissage;10;32023108;32023108;FAUX;32211023108
0211986V;BTS - Production - Travaux publics;32211023107;286;Scolaire;24;32023107;32023107;FAUX;32211023107
0211986V;BTS - Services - Conseil et commercialisation de solutions techniques;32211031216;175;Scolaire;15;32031216;32031216;FAUX;32211031216
0211986V;BTS - Services - Conseil et commercialisation de solutions techniques - en apprentissage;32211031216;109;Apprentissage;;32031216;32031216;FAUX;32211031216
0212001L;BTS - Production - Assistance technique d'ingénieur - en apprentissage;32211025001;31;Apprentissage;10;32025001;32025001;FAUX;32211025001
0212001L;BTS - Production - Conception des processus de réalisation de produits (1ère année commune) - en apprentissage;32211022316;42;Apprentissage;9;32022316;32022316;FAUX;32211022316
0212001L;BTS - Production - Electrotechnique - en apprentissage;32211025520;56;Apprentissage;30;32025520;32025520;FAUX;32211025520
0212001L;BTS - Production - Maintenance des systèmes - option A Systèmes de production - en apprentissage;32211025014;75;Apprentissage;30;32025014;32025014;FAUX;32211025014
0212015B;BTS - Services - Economie sociale familiale;32211033206;674;Scolaire;24;32033206;32033206;FAUX;32211033206
0212015B;BTS - Services - Service et prestation des secteurs sanitaire et social;32211033002;876;Scolaire;24;32033002;32033002;FAUX;32211033002
0212045J;BTS - Services - Etudes de réalisation d'un projet de communication - 1ère année commune;32211032209;274;Scolaire;15;32032209;32032209;FAUX;32211032209
0212045J;BTS - Services - Etudes de réalisation d'un projet de communication - 1ère année commune - en apprentissage;32211032209;64;Apprentissage;4;32032209;32032209;FAUX;32211032209
0212052S;BTS - Services - Comptabilité et gestion - en apprentissage;32211031408;113;Apprentissage;32;32031408;32031408;FAUX;32211031408
0212052S;BTS - Services - Gestion de la PME - en apprentissage;32211031409;136;Apprentissage;32;32031409;32031409;FAUX;32211031409
0212052S;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;338;Apprentissage;100;32031213;32031213;FAUX;32211031213
0212052S;BTS - Services - Management en hôtellerie restauration - en apprentissage;32211033422;40;Apprentissage;40;32033422;32033422;FAUX;32211033422
0212052S;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;344;Apprentissage;100;32031212;32031212;FAUX;32211031212
0212109D;BTS - Production - Conception et Réalisation de Systèmes Automatiques - en apprentissage;32211020111;34;Apprentissage;;32020111;32020111;FAUX;32211020111
0212109D;BTS - Production - Electrotechnique - en apprentissage;32211025520;41;Apprentissage;;32025520;32025520;FAUX;32211025520
0212114J;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;37;Apprentissage;4;32032409;32032409;FAUX;32211032409
0212182H;BTS - Agricole - Technico-commercial - Spécialité univers jardins et animaux de compagnie;32212031203;29;Scolaire;17;32031203;32031203;FAUX;32212031203
0212187N;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie - en apprentissage;32211033606;126;Apprentissage;10;32033606;32033606;FAUX;32211033606
0212237T;BTS - Services - Gestion de la PME - en apprentissage;32211031409;81;Apprentissage;20;32031409;32031409;FAUX;32211031409
0212237T;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;158;Apprentissage;20;32031213;32031213;FAUX;32211031213
0212237T;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;193;Apprentissage;27;32031212;32031212;FAUX;32211031212
0212237T;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;63;Apprentissage;15;32032409;32032409;FAUX;32211032409
0212245B;BTS - Services - Gestion de la PME - en apprentissage;32211031409;190;Apprentissage;60;32031409;32031409;FAUX;32211031409
0212245B;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;373;Apprentissage;120;32031213;32031213;FAUX;32211031213
0212245B;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;382;Apprentissage;60;32031212;32031212;FAUX;32211031212
0212251H;BTS - Services - Assurance - en apprentissage;32211031311;111;Apprentissage;20;32031311;32031311;FAUX;32211031311
0212251H;BTS - Services - Communication - en apprentissage;32211032002;194;Apprentissage;25;32032002;32032002;FAUX;32211032002
0212251H;BTS - Services - Comptabilité et gestion - en apprentissage;32211031408;73;Apprentissage;25;32031408;32031408;FAUX;32211031408
0212251H;BTS - Services - Gestion de la PME - en apprentissage;32211031409;88;Apprentissage;25;32031409;32031409;FAUX;32211031409
0212251H;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;207;Apprentissage;25;32031213;32031213;FAUX;32211031213
0212251H;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;239;Apprentissage;25;32031212;32031212;FAUX;32211031212
0212251H;BTS - Services - Services informatiques aux organisations - en apprentissage;32211032612;97;Apprentissage;25;32032612;32032612;FAUX;32211032612
0212251H;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;82;Apprentissage;25;32032409;32032409;FAUX;32211032409
0212255M;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie - en apprentissage;32211033606;108;Apprentissage;15;32033606;32033606;FAUX;32211033606
0213333J;BTS - Services - Collaborateur juriste notarial;32211034502;169;Scolaire;30;32034502;32034502;FAUX;32211034502
0213333J;BTS - Services - Collaborateur juriste notarial - en apprentissage;32211034502;146;Apprentissage;10;32034502;32034502;FAUX;32211034502
0220013V;BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air;32211022710;174;Scolaire;30;32022710;32022710;FAUX;32211022710
0220013V;BTS - Services - Comptabilité et gestion;32211031408;1184;Scolaire;35;32031408;32031408;FAUX;32211031408
0220013V;BTS - Services - Gestion de la PME;32211031409;751;Scolaire;35;32031409;32031409;FAUX;32211031409
0220018A;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;591;Scolaire;35;32031212;32031212;FAUX;32211031212
0220023F;BTS - Production - Electrotechnique;32211025520;133;Scolaire;24;32025520;32025520;FAUX;32211025520
0220023F;BTS - Production - Systèmes numériques - Option informatique et réseaux;32211020112;720;Scolaire;30;32020112;32020112;FAUX;32211020112
0220023F;BTS - Production - Systèmes photoniques;32211025519;102;Scolaire;15;32025519;32025519;FAUX;32211025519
0220023F;BTS - Services - Commerce International;32211031215;785;Scolaire;35;32031215;32031215;FAUX;32211031215
0220023F;BTS - Services - Services informatiques aux organisations (Seconde année possible en apprentissage);32211032612;1024;Scolaire;35;32032612;32032612;FAUX;32211032612
0220027K;BTS - Production - Maintenance des systèmes - option A Systèmes de production;32211025014;129;Scolaire;12;32025014;32025014;FAUX;32211025014
0220027K;BTS - Production - Maintenance des systèmes - option C Systèmes éoliens;32211025016;110;Scolaire;14;32025016;32025016;FAUX;32211025016
0220027K;BTS - Services - Comptabilité et gestion;32211031408;2326;Scolaire;24;32031408;32031408;FAUX;32211031408
0220056S;BTS - Services - Services informatiques aux organisations;32211032612;472;Scolaire;35;32032612;32032612;FAUX;32211032612
0220056S;BTS - Services - Support à l'action managériale;32211032409;431;Scolaire;35;32032409;32032409;FAUX;32211032409
0220057T;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;673;Scolaire;35;32031212;32031212;FAUX;32211031212
0220057T;BTS - Services - Service et prestation des secteurs sanitaire et social;32211033002;630;Scolaire;35;32033002;32033002;FAUX;32211033002
0220057T;BTS - Services - Tourisme;32211033426;632;Scolaire;35;32033426;32033426;FAUX;32211033426
0220058U;BTS - Production - Conception de produits industriels;32211020009;191;Scolaire;30;32020009;32020009;FAUX;32211020009
0220058U;BTS - Production - Systèmes numériques - Option électronique et communication (Seconde année possible en apprentissage);32211025516;175;Scolaire;30;32025516;32025516;FAUX;32211025516
0220059V;BTS - Agricole - Développement, animation des territoires ruraux;32212030001;236;Scolaire;27;32030001;32030001;FAUX;32212030001
0220059V;BTS - Services - Management Commercial Opérationnel;32211031213;534;Scolaire;16;32031213;32031213;FAUX;32211031213
0220060W;BTS - Production - Bâtiment;32211023012;439;Scolaire;30;32023012;32023012;FAUX;32211023012
0220060W;BTS - Production - Management économique de la construction;32211023013;344;Scolaire;30;32023013;32023013;FAUX;32211023013
0220060W;BTS - Production - Systèmes constructifs bois et habitat;32211023412;243;Scolaire;15;32023412;32023412;FAUX;32211023412
0220060W;BTS - Production - Travaux publics;32211023107;717;Scolaire;30;32023107;32023107;FAUX;32211023107
0220064A;BTS - Services - Management en hôtellerie restauration;32211033422;142;Scolaire;23;32033422;32033422;FAUX;32211033422
0220065B;BTS - Services - Banque conseiller de clientèle;32211031310;206;Scolaire;18;32031310;32031310;FAUX;32211031310
0220071H;BTS - Production - Etude et réalisation d'agencement;32211023305;604;Scolaire;15;32023305;32023305;FAUX;32211023305
0220094H;BTS - Services - Communication;32211032002;346;Scolaire;35;32032002;32032002;FAUX;32211032002
0220094H;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;149;Apprentissage;24;32031213;32031213;FAUX;32211031213
0220094H;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;313;Scolaire;35;32031212;32031212;FAUX;32211031212
0220094H;BTS - Services - Professions immobilières - en apprentissage;32211031309;172;Apprentissage;24;32031309;32031309;FAUX;32211031309
0220097L;BTS - Production - Métiers de l'eau;32211020114;84;Scolaire;24;32020114;32020114;FAUX;32211020114
0220097L;BTS - Services - Management Commercial Opérationnel;32211031213;251;Scolaire;35;32031213;32031213;FAUX;32211031213
0220097L;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie;32211033606;123;Scolaire;35;32033606;32033606;FAUX;32211033606
0220097L;BTS - Services - Support à l'action managériale;32211032409;67;Scolaire;24;32032409;32032409;FAUX;32211032409
0220102S;BTS - Services - Tourisme;32211033426;227;Scolaire;35;32033426;32033426;FAUX;32211033426
0220107X;BTS - Services - Service et prestation des secteurs sanitaire et social;32211033002;232;Scolaire;70;32033002;32033002;FAUX;32211033002
0220116G;BTS - Services - Comptabilité et gestion;32211031408;229;Scolaire;32;32031408;32031408;FAUX;32211031408
0220116G;BTS - Services - Conseil et commercialisation de solutions techniques;32211031216;205;Scolaire;35;32031216;32031216;FAUX;32211031216
0220116G;BTS - Services - Diététique;32211033103;427;Scolaire;30;32033103;32033103;FAUX;32211033103
0220116G;BTS - Services - Gestion de la PME;32211031409;310;Scolaire;35;32031409;32031409;FAUX;32211031409
0220116G;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;391;Scolaire;45;32031212;32031212;FAUX;32211031212
0220117H;BTS - Production - Conception et Réalisation de Systèmes Automatiques;32211020111;78;Scolaire;15;32020111;32020111;FAUX;32211020111
0220117H;BTS - Production - Fluide, énergie, domotique - option C domotique et bâtiment communicants;32211022711;59;Scolaire;15;32022711;32022711;FAUX;32211022711
0220122N;BTS - Services - Métiers de la coiffure;32211033607;39;Scolaire;15;32033607;32033607;FAUX;32211033607
0220186H;BTS - Services - Management opérationnel de la sécurité;32211034401;204;Scolaire;15;32034401;32034401;FAUX;32211034401
0220196U;BTS - Services - Conseil et commercialisation de solutions techniques;32211031216;178;Scolaire;24;32031216;32031216;FAUX;32211031216
0220470S;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole;32212021014;571;Scolaire;27;32021014;32021014;FAUX;32212021014
0220470S;BTS - Agricole - productions animales;32212021205;558;Scolaire;27;32021205;32021205;FAUX;32212021205
0221031B;BTS - Agricole - Technico-commercial - Spécialité univers jardins et animaux de compagnie;32212031203;139;Scolaire;35;32031203;32031203;FAUX;32212031203
0221033D;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole;32212021014;229;Scolaire;32;32021014;32021014;FAUX;32212021014
0221033D;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole - en apprentissage;32212021014;67;Apprentissage;18;32021014;32021014;FAUX;32212021014
0221071V;BTS - Production - Conception et réalisation de carrosseries - en apprentissage;32211025411;32;Apprentissage;10;32025411;32025411;FAUX;32211025411
0221071V;BTS - Production - Maintenance des véhicules option véhicules de transport routier - en apprentissage;32211025216;48;Apprentissage;22;32025216;32025216;FAUX;32211025216
0221072W;BTS - Production - Maintenance des véhicules option voitures particulières - en apprentissage;32211025215;126;Apprentissage;15;32025215;32025215;FAUX;32211025215
0221072W;BTS - Services - Gestion de la PME - en apprentissage;32211031409;116;Apprentissage;15;32031409;32031409;FAUX;32211031409
0221072W;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;177;Apprentissage;15;32031212;32031212;FAUX;32211031212
0221571N;BTS - Services - Economie sociale familiale;32211033206;365;Scolaire;30;32033206;32033206;FAUX;32211033206
0221588G;BTS - Production - Finitions, aménagement des bâtiments: conception et réalisation - en apprentissage;32211023306;55;Apprentissage;20;32023306;32023306;FAUX;32211023306
0221589H;BTS - Services - Commerce International;32211031215;444;Scolaire;35;32031215;32031215;FAUX;32211031215
0221593M;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole;32212021014;255;Scolaire;50;32021014;32021014;FAUX;32212021014
0221593M;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole - en apprentissage;32212021014;96;Apprentissage;25;32021014;32021014;FAUX;32212021014
0221593M;BTS - Agricole - Gestion et protection de la nature - en apprentissage;32212021308;198;Apprentissage;25;32021308;32021308;FAUX;32212021308
0221593M;BTS - Agricole - Sciences et technologies des aliments spécialité Aliments et processus technologiques;32212022113;77;Scolaire;24;32022113;32022113;FAUX;32212022113
0221624W;BTS - Maritime - Mécatronique Navale;32211025013;128;Scolaire;12;32025013;32025013;FAUX;32211025013
0221673Z;BTS - Agricole - Aménagements paysagers;32212021401;160;Scolaire;32;32021401;32021401;FAUX;32212021401
0221673Z;BTS - Agricole - Aménagements paysagers - en apprentissage;32212021401;86;Apprentissage;25;32021401;32021401;FAUX;32212021401
0221673Z;BTS - Agricole - Production horticole;32212021111;89;Scolaire;24;32021111;32021111;FAUX;32212021111
0221673Z;BTS - Agricole - Technico-commercial - Spécialité alimentation et boisson;32212031205;29;Scolaire;16;32031205;32031205;FAUX;32212031205
0221673Z;BTS - Agricole - Technico-commercial - Spécialité alimentation et boisson - en apprentissage;32212031205;9;Apprentissage;25;32031205;32031205;FAUX;32212031205
0221673Z;BTS - Agricole - Technico-commercial - Spécialité univers jardins et animaux de compagnie;32212031203;47;Scolaire;16;32031203;32031203;FAUX;32212031203
0221677D;BTS - Agricole - Développement, animation des territoires ruraux - en apprentissage;32212030001;29;Apprentissage;15;32030001;32030001;FAUX;32212030001
0221712S;BTS - Agricole - génie des équipements agricoles;32212021007;77;Scolaire;28;32021007;32021007;FAUX;32212021007
0221712S;BTS - Agricole - génie des équipements agricoles - en apprentissage;32212021007;46;Apprentissage;28;32021007;32021007;FAUX;32212021007
0221712S;BTS - Agricole - Gestion forestière - en apprentissage;32212021304;80;Apprentissage;18;32021304;32021304;FAUX;32212021304
0221804S;BTS - Agricole - Agronomie : Productions végétales - en apprentissage;32212021113;47;Apprentissage;32;32021113;32021113;FAUX;32212021113
0221804S;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole - en apprentissage;32212021014;117;Apprentissage;32;32021014;32021014;FAUX;32212021014
0221804S;BTS - Agricole - productions animales - en apprentissage;32212021205;100;Apprentissage;32;32021205;32021205;FAUX;32212021205
0221835A;BTS - Production - Conception et Réalisation de Systèmes Automatiques - en apprentissage;32211020111;20;Apprentissage;16;32020111;32020111;FAUX;32211020111
0221835A;BTS - Production - Conception et réalisation en chaudronnerie industrielle - en apprentissage;32211025415;33;Apprentissage;16;32025415;32025415;FAUX;32211025415
0221835A;BTS - Production - Electrotechnique - en apprentissage;32211025520;33;Apprentissage;24;32025520;32025520;FAUX;32211025520
0221835A;BTS - Production - Maintenance des systèmes - option A Systèmes de production - en apprentissage;32211025014;37;Apprentissage;24;32025014;32025014;FAUX;32211025014
0221880Z;BTS - Agricole - Agronomie : Productions végétales - en apprentissage;32212021113;39;Apprentissage;;32021113;32021113;FAUX;32212021113
0221880Z;BTS - Agricole - Aménagements paysagers - en apprentissage;32212021401;112;Apprentissage;48;32021401;32021401;FAUX;32212021401
0221880Z;BTS - Agricole - Technico-commercial - Spécialité alimentation et boisson - en apprentissage;32212031205;11;Apprentissage;;32031205;32031205;FAUX;32212031205
0221880Z;BTS - Agricole - Technico-commercial - Spécialité biens et services pour l'agriculture - en apprentissage;32212031204;22;Apprentissage;30;32031204;32031204;FAUX;32212031204
0221880Z;BTS - Agricole - Technico-commercial - Spécialité produit de la filière bois - en apprentissage;32212031201;10;Apprentissage;;32031201;32031201;FAUX;32212031201
