Etablissement d'accueil;MEF STAT 11;Voeu de recensement O/N;Statut Offre de formation;Capacité carte scolaire;Demandes vœux 1;Famille de métiers;nb_apparitions_uai_mefstat;mef_stat_terminale
0010006B;23820033403;N;ST;12;11;HOTELLERIE RESTAURATION;1;23830033403
0010016M;23210034405;N;ST;15;23;;1;
0010016M;23810020006;N;ST;15;34;;1;23830020006
0010016M;23810020008;N;ST;30;61;;1;23830020008
0010016M;23810020103;N;ST;15;10;;1;23830020103
0010016M;23810020104;N;ST;15;15;;1;23830020104
0010016M;23810023409;N;ST;24;29;;1;23830023409
0010016M;23810034403;N;ST;18;45;;1;23830034403
0010016M;23820023203;N;ST;15;17;CONSTRUCTION DURABLE DU BATIMENT ET DES TRAVAUX PUBLICS;1;23830023203
0010016M;23820023405;N;ST;28;27;AGENCEMENT, MENUISERIE ET AMEUBLEMENT;1;23830023405
0010016M;23820025012;N;ST;15;13;;1;23830025012
0010016M;23820025014;N;ST;15;12;;1;23830025014
0010016M;23820025510;N;ST;30;30;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025510
0010016M;23820034403;N;ST;24;34;;1;23830034403
0010020S;23810025222;N;ST;60;44;;1;23830025222
0010020S;23820025219;N;ST;30;32;MAINTENANCE DES MATERIELS ET DES VEHICULES ;1;23830025219
0010020S;23820025220;N;ST;20;21;MAINTENANCE DES MATERIELS ET DES VEHICULES ;1;23830025220
0010020S;23820025221;N;ST;10;8;MAINTENANCE DES MATERIELS ET DES VEHICULES ;1;23830025221
0010021T;23210031224;N;ST;12;32;;1;
0010021T;23210033205;N;ST;15;62;;1;
0010021T;23210033615;N;ST;15;31;;1;
0010021T;23810024203;N;ST;15;25;;1;23830024203
0010021T;23810030003;N;ST;32;45;;1;23830030003
0010021T;23810031211;N;ST;32;105;;1;23830031211
0010021T;23810033605;N;ST;32;88;;1;23830033605
0010021T;23820024203;N;ST;15;17;;1;23830024203
0010021T;23820030004;N;ST;32;40;GESTION ADMINISTRATIVE, DU TRANSPORT ET DE LA LOGISTIQUE;1;23830030004
0010021T;23820031212;N;ST;16;11;RELATION CLIENT;1;23830031212
0010021T;23820031213;N;ST;17;26;RELATION CLIENT;1;23830031213
0010021T;23820031214;N;ST;17;16;RELATION CLIENT;1;23830031214
0010021T;23820033003;N;ST;15;14;;1;23830033003
0010021T;23820033004;N;ST;30;36;;1;23830033004
0010021T;23820033603;N;ST;32;37;BEAUTE ET BIEN ETRE;1;23830033603
0010032E;23210033205;N;ST;15;19;;1;
0010032E;23810033006;N;ST;15;10;;1;23830033006
0010032E;23820033004;N;ST;30;20;;1;23830033004
0010034G;23210031224;N;ST;24;31;;1;
0010034G;23810030003;N;ST;24;42;;1;23830030003
0010034G;23810031211;N;ST;32;71;;1;23830031211
0010034G;23820030004;N;ST;24;31;GESTION ADMINISTRATIVE, DU TRANSPORT ET DE LA LOGISTIQUE;1;23830030004
0010034G;23820031213;N;ST;12;29;RELATION CLIENT;1;23830031213
0010034G;23820031214;N;ST;20;4;RELATION CLIENT;1;23830031214
0010059J;23811022103;N;ST;19;23;;1;23831022103
0010072Y;23810031211;N;ST;24;64;;1;23830031211
0010072Y;23820031213;N;ST;16;33;RELATION CLIENT;1;23830031213
0010072Y;23820031214;N;ST;16;4;RELATION CLIENT;1;23830031214
0010072Y;23820033003;N;ST;15;11;;1;23830033003
0010072Y;23820033004;N;ST;15;20;;1;23830033004
0010099C;23210031224;N;ST;24;4;;1;
0010099C;23810020008;N;ST;45;36;;1;23830020008
0010099C;23810030003;N;ST;32;7;;1;23830030003
0010099C;23810031211;N;ST;50;50;;1;23830031211
0010814E;23210031224;N;ST;15;10;;1;
0010814E;23210033205;N;ST;15;5;;1;
0010814E;23810031211;N;ST;24;17;;1;23830031211
0010819K;23811021112;N;ST;32;43;;1;23831021112
0010819K;23811022104;N;ST;30;32;;1;23831022104
0010966V;23210022142;N;ST;8;13;;1;
0010966V;23210023224;N;ST;8;7;;1;
0010966V;23210023324;N;ST;8;17;;1;
0010966V;23210023327;N;ST;8;22;;1;
0010966V;23210025439;N;ST;8;6;;1;
0010966V;23210034307;N;ST;8;3;;1;
0011010T;23210022142;N;ST;12;9;;1;
0011010T;23210025524;N;ST;15;14;;1;
0011010T;23810020008;N;ST;30;32;;1;23830020008
0011010T;23820025510;N;ST;15;14;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025510
0011010T;23820025517;N;ST;15;11;;1;23830025517
0011010T;23820033004;N;ST;24;24;;1;23830033004
0011056T;23811021209;N;ST;35;10;;1;23831021209
0011056T;23811022104;N;ST;35;8;;1;23831022104
0011057U;23211033003;N;ST;35;2;;1;
0011057U;23811022103;N;ST;35;2;;1;23831022103
0011057U;23811033001;N;ST;35;0;;1;23831033001
0011058V;23211033003;N;ST;35;13;;1;
0011058V;23811033001;N;ST;45;25;;1;23831033001
0011073L;23811021404;N;ST;44;30;;1;23831021404
0011073L;23811022103;N;ST;40;13;;1;23831022103
0011118K;23210022142;N;ST;24;15;;1;
0011118K;23210025218;N;ST;10;55;;1;
0011118K;23210025434;N;ST;10;28;;1;
0011118K;23210031122;N;ST;15;13;;1;
0011118K;23810025222;N;ST;60;80;;1;23830025222
0011118K;23810025408;N;ST;12;8;;1;23830025408
0011118K;23810025410;N;ST;12;5;;1;23830025410
0011118K;23810030003;N;ST;32;18;;1;23830030003
0011118K;23810031107;N;ST;24;47;;1;23830031107
0011118K;23810034304;N;ST;24;2;;1;23830034304
0011118K;23820025214;N;ST;40;45;MAINTENANCE DES MATERIELS ET DES VEHICULES ;1;23830025214
0011118K;23820025215;N;ST;20;17;MAINTENANCE DES MATERIELS ET DES VEHICULES ;1;23830025215
0011118K;23820025408;N;ST;12;11;;1;23830025408
0011118K;23820025410;N;ST;12;3;;1;23830025410
0011118K;23820031106;N;ST;16;16;GESTION ADMINISTRATIVE, DU TRANSPORT ET DE LA LOGISTIQUE;1;23830031106
0011118K;23820031107;N;ST;24;28;;1;23830031107
0011118K;23820031114;N;ST;16;12;GESTION ADMINISTRATIVE, DU TRANSPORT ET DE LA LOGISTIQUE;1;23830031114
0011118K;23820034304;N;ST;24;17;;1;23830034304
0011119L;23210020101;N;ST;15;7;;1;
0011119L;23210032225;N;ST;12;11;;1;
0011119L;23810020008;N;ST;15;36;;1;23830020008
0011119L;23810020103;N;ST;15;12;;1;23830020103
0011119L;23810020104;N;ST;15;25;;1;23830020104
0011119L;23810022503;N;ST;15;5;;1;23830022503
0011119L;23810032210;N;ST;24;7;;1;23830032210
0011119L;23810032303;N;ST;15;32;;1;23830032303
0011119L;23820020002;N;ST;15;14;REALISATION D'ENSEMBLE MECANIQUES ET INDUSTRIELS;1;23830020002
0011119L;23820022503;N;ST;15;12;;1;23830022503
0011119L;23820025012;N;ST;15;20;;1;23830025012
0011119L;23820025013;N;ST;15;13;;1;23830025013
0011119L;23820025515;N;ST;15;16;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025515
0011119L;23820032207;N;ST;0;0;INDUSTRIES GRAPHIQUES ET COMMUNICATION;1;23830032207
0011119L;23820032208;N;ST;30;30;INDUSTRIES GRAPHIQUES ET COMMUNICATION;1;23830032208
0011119L;23820032303;N;ST;15;20;;1;23830032303
0011170S;23811021112;N;ST;25;6;;1;23831021112
0011171T;23811033001;N;ST;44;30;;1;23831033001
0011258M;23810020008;N;ST;15;4;;1;23830020008
0011258M;23810031211;N;ST;18;16;;1;23830031211
0011336X;23210031224;N;ST;15;8;;1;
0011336X;23810030003;N;ST;32;9;;1;23830030003
0011336X;23810031211;N;ST;32;8;;1;23830031211
0011361Z;23211033003;N;ST;25;9;;1;
0011361Z;23811033001;N;ST;50;19;;1;23831033001
0020012C;23210022142;N;ST;12;18;;1;
0020012C;23210033205;N;ST;15;34;;1;
0020012C;23210033411;N;ST;15;4;;1;
0020012C;23810030003;N;ST;18;14;;1;23830030003
0020012C;23810031211;N;ST;70;83;;1;23830031211
0020012C;23820030004;N;ST;18;26;GESTION ADMINISTRATIVE, DU TRANSPORT ET DE LA LOGISTIQUE;1;23830030004
0020012C;23820031212;N;ST;18;10;RELATION CLIENT;1;23830031212
0020012C;23820031213;N;ST;35;49;RELATION CLIENT;1;23830031213
0020012C;23820031214;N;ST;18;21;RELATION CLIENT;1;23830031214
0020012C;23820033004;N;ST;30;31;;1;23830033004
0020022N;23210033616;N;ST;15;52;;1;
0020022N;23810022107;N;ST;12;11;;1;23830022107
0020022N;23810033605;N;ST;47;103;;1;23830033605
0020022N;23820022104;N;ST;12;11;ALIMENTATION;1;23830022104
0020022N;23820033003;N;ST;15;7;;1;23830033003
0020022N;23820033004;N;ST;15;25;;1;23830033004
0020022N;23820033603;N;ST;32;21;BEAUTE ET BIEN ETRE;1;23830033603
0020022N;23820033604;N;ST;15;26;BEAUTE ET BIEN ETRE;1;23830033604
0020025S;23210031223;N;ST;15;13;;1;
0020025S;23211021130;N;ST;15;13;;1;
0020025S;23211021405;N;ST;15;34;;1;
0020025S;23810025222;N;ST;60;56;;1;23830025222
0020025S;23811021404;N;ST;15;11;;1;23831021404
0020025S;23820025215;N;ST;30;17;MAINTENANCE DES MATERIELS ET DES VEHICULES ;1;23830025215
0020025S;23820025219;N;ST;30;22;MAINTENANCE DES MATERIELS ET DES VEHICULES ;1;23830025219
0020025S;23820025220;N;ST;20;7;MAINTENANCE DES MATERIELS ET DES VEHICULES ;1;23830025220
0020025S;23821021405;N;ST;15;11;MÉTIERS DE LA NATURE - JARDIN - PAYSAGE - FORÊT ;1;23831021405
0020034B;23210020101;N;ST;15;27;;1;
0020034B;23810020008;N;ST;60;58;;1;23830020008
0020034B;23810020103;N;ST;30;21;;1;23830020103
0020034B;23810020104;N;ST;15;17;;1;23830020104
0020034B;23820020002;N;ST;15;12;REALISATION D'ENSEMBLE MECANIQUES ET INDUSTRIELS;1;23830020002
0020034B;23820025012;N;ST;15;16;;1;23830025012
0020034B;23820025014;N;ST;30;25;;1;23830025014
0020034B;23820025510;N;ST;30;34;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025510
0020034B;23820025514;N;ST;15;9;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025514
0020034B;23820025515;N;ST;15;15;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025515
0020051V;23210023445;N;ST;45;37;;1;
0020051V;23810024202;N;ST;15;5;;1;23830024202
0020051V;23820024202;N;ST;15;12;;1;23830024202
0020051V;23C10023412;N;ST;30;18;;1;
0020052W;23210022139;N;ST;12;33;;1;
0020052W;23210022141;N;ST;12;57;;1;
0020052W;23210023224;N;ST;14;39;;1;
0020052W;23210023302;N;ST;15;2;;1;
0020052W;23210023324;N;ST;14;19;;1;
0020052W;23210023327;N;ST;12;28;;1;
0020052W;23210023449;N;ST;15;11;;1;
0020052W;23210033412;N;ST;12;15;;1;
0020052W;23210034307;N;ST;15;5;;1;
0020052W;23810020006;N;ST;30;36;;1;23830020006
0020052W;23810020008;N;ST;30;22;;1;23830020008
0020052W;23810023409;N;ST;15;13;;1;23830023409
0020052W;23810033404;N;ST;48;33;;1;23830033404
0020052W;23820022106;N;ST;24;28;HOTELLERIE RESTAURATION;1;23830022106
0020052W;23820022706;N;ST;15;7;;1;23830022706
0020052W;23820023203;N;ST;15;12;CONSTRUCTION DURABLE DU BATIMENT ET DES TRAVAUX PUBLICS;1;23830023203
0020052W;23820023304;N;ST;15;20;CONSTRUCTION DURABLE DU BATIMENT ET DES TRAVAUX PUBLICS;1;23830023304
0020052W;23820023405;N;ST;15;10;AGENCEMENT, MENUISERIE ET AMEUBLEMENT;1;23830023405
0020052W;23820025510;N;ST;15;12;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025510
0020052W;23820033403;N;ST;24;23;HOTELLERIE RESTAURATION;1;23830033403
0020060E;23811021112;N;ST;10;5;;2;23831021112
0020060E;23811021112;N;ST;25;34;;2;23831021112
0020060E;23821021004;N;ST;5;0;MÉTIERS DES PRODUCTIONS ;1;23831021004
0020060E;23821021113;N;ST;5;0;MÉTIERS DES PRODUCTIONS ;1;23831021113
0020078Z;23210022142;N;ST;12;25;;1;
0020078Z;23210024240;N;ST;15;12;;1;
0020078Z;23210033411;N;ST;30;29;;1;
0020078Z;23810024203;N;ST;15;16;;1;23830024203
0020078Z;23810030003;N;ST;35;23;;1;23830030003
0020078Z;23810031211;N;ST;70;71;;1;23830031211
0020078Z;23810034304;N;ST;15;10;;1;23830034304
0020078Z;23820024203;N;ST;15;14;;1;23830024203
0020078Z;23820030004;N;ST;35;23;GESTION ADMINISTRATIVE, DU TRANSPORT ET DE LA LOGISTIQUE;1;23830030004
0020078Z;23820031212;N;ST;18;12;RELATION CLIENT;1;23830031212
0020078Z;23820031213;N;ST;35;39;RELATION CLIENT;1;23830031213
0020078Z;23820031214;N;ST;18;14;RELATION CLIENT;1;23830031214
0020078Z;23820033003;N;ST;15;15;;1;23830033003
0020078Z;23820033004;N;ST;15;19;;1;23830033004
0020078Z;23820034304;N;ST;30;21;;1;23830034304
0020079A;23210025434;N;ST;17;28;;1;
0020079A;23210025437;N;ST;15;12;;1;
0020079A;23210031122;N;ST;30;41;;1;
0020079A;23810020008;N;ST;45;33;;1;23830020008
0020079A;23810020103;N;ST;30;16;;1;23830020103
0020079A;23810020104;N;ST;15;11;;1;23830020104
0020079A;23810025222;N;ST;30;55;;1;23830025222
0020079A;23810025408;N;ST;20;7;;1;23830025408
0020079A;23810030003;N;ST;70;63;;1;23830030003
0020079A;23810031211;N;ST;53;83;;1;23830031211
0020079A;23810034403;N;ST;24;114;;1;23830034403
0020079A;23820025012;N;ST;15;10;;1;23830025012
0020079A;23820025014;N;ST;15;6;;1;23830025014
0020079A;23820025214;N;ST;20;31;MAINTENANCE DES MATERIELS ET DES VEHICULES ;1;23830025214
0020079A;23820025216;N;ST;10;9;MAINTENANCE DES MATERIELS ET DES VEHICULES ;1;23830025216
0020079A;23820025408;N;ST;20;17;;1;23830025408
0020079A;23820025411;N;ST;15;16;REALISATION D'ENSEMBLE MECANIQUES ET INDUSTRIELS;1;23830025411
0020079A;23820025510;N;ST;45;36;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025510
0020079A;23820030004;N;ST;35;27;GESTION ADMINISTRATIVE, DU TRANSPORT ET DE LA LOGISTIQUE;1;23830030004
0020079A;23820031106;N;ST;35;59;GESTION ADMINISTRATIVE, DU TRANSPORT ET DE LA LOGISTIQUE;1;23830031106
0020079A;23820031213;N;ST;53;77;RELATION CLIENT;1;23830031213
0020079A;23820034403;N;ST;24;31;;1;23830034403
0020088K;23210031224;N;ST;30;38;;1;
0020088K;23810030003;N;ST;35;19;;1;23830030003
0020088K;23810031211;N;ST;70;84;;1;23830031211
0020088K;23810033101;N;ST;35;20;;1;23830033101
0020088K;23820030004;N;ST;35;35;GESTION ADMINISTRATIVE, DU TRANSPORT ET DE LA LOGISTIQUE;1;23830030004
0020088K;23820031212;N;ST;18;8;RELATION CLIENT;1;23830031212
0020088K;23820031213;N;ST;35;47;RELATION CLIENT;1;23830031213
0020088K;23820031214;N;ST;18;25;RELATION CLIENT;1;23830031214
0020088K;23820033101;N;ST;35;24;;1;23830033101
0020089L;23210020101;N;ST;15;14;;1;
0020089L;23210034307;N;ST;15;22;;1;
0020089L;23810020008;N;ST;15;13;;1;23830020008
0020089L;23810020103;N;ST;15;12;;1;23830020103
0020089L;23810020104;N;ST;15;13;;1;23830020104
0020089L;23810030003;N;ST;18;18;;1;23830030003
0020089L;23810031211;N;ST;35;38;;1;23830031211
0020089L;23820025012;N;ST;15;16;;1;23830025012
0020089L;23820025014;N;ST;15;13;;1;23830025014
0020089L;23820025510;N;ST;15;12;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025510
0020089L;23820030004;N;ST;18;18;GESTION ADMINISTRATIVE, DU TRANSPORT ET DE LA LOGISTIQUE;1;23830030004
0020089L;23820031212;N;ST;18;6;RELATION CLIENT;1;23830031212
0020089L;23820031213;N;ST;18;16;RELATION CLIENT;1;23830031213
0020492Z;23210022142;N;ST;999;5;;1;
0020492Z;23210031224;N;ST;999;6;;1;
0020492Z;23210033411;N;ST;999;14;;1;
0020492Z;23810030003;N;ST;999;7;;1;23830030003
0020492Z;23810031211;N;ST;999;2;;1;23830031211
0020492Z;23810032303;N;ST;999;24;;1;23830032303
0020492Z;23810033404;N;ST;999;5;;1;23830033404
0020498F;23210033205;N;ST;999;10;;1;
0020498F;23210033615;N;ST;999;6;;1;
0020498F;23810033605;N;ST;999;14;;1;23830033605
0021476U;23210025437;N;ST;15;13;;1;
0021476U;23810020008;N;ST;30;33;;1;23830020008
0021476U;23810020103;N;ST;45;29;;1;23830020103
0021476U;23810020104;N;ST;15;5;;1;23830020104
0021476U;23810025222;N;ST;30;53;;1;23830025222
0021476U;23820025012;N;ST;15;7;;1;23830025012
0021476U;23820025014;N;ST;15;4;;1;23830025014
0021476U;23820025108;N;ST;15;10;REALISATION D'ENSEMBLE MECANIQUES ET INDUSTRIELS;1;23830025108
0021476U;23820025214;N;ST;30;30;MAINTENANCE DES MATERIELS ET DES VEHICULES ;1;23830025214
0021476U;23820025411;N;ST;15;15;REALISATION D'ENSEMBLE MECANIQUES ET INDUSTRIELS;1;23830025411
0021476U;23820025510;N;ST;30;24;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025510
0021478W;23210025223;N;ST;8;13;;1;
0021478W;23210031224;N;ST;8;14;;1;
0021478W;23210033411;N;ST;8;9;;1;
0021478W;23210034307;N;ST;8;8;;1;
0021479X;23210033205;N;ST;15;59;;1;
0021479X;23210033411;N;ST;15;15;;1;
0021479X;23810031211;N;ST;53;34;;1;23830031211
0021479X;23820031212;N;ST;18;14;RELATION CLIENT;1;23830031212
0021479X;23820031213;N;ST;35;24;RELATION CLIENT;1;23830031213
0021479X;23820033004;N;ST;30;31;;1;23830033004
0021522U;23811021112;N;ST;30;30;;2;23831021112
0021522U;23811021112;N;ST;19;24;;2;23831021112
0021522U;23811021404;N;ST;17;19;;1;23831021404
0021522U;23821021001;N;ST;6;1;MÉTIERS DES PRODUCTIONS ;1;23831021001
0021522U;23821021004;N;ST;6;2;MÉTIERS DES PRODUCTIONS ;1;23831021004
0021522U;23821021302;N;ST;2;2;MÉTIERS DE LA NATURE - JARDIN - PAYSAGE - FORÊT ;1;23831021302
0021523V;23211033003;N;ST;27;22;;1;
0021523V;23811022103;N;ST;27;54;;1;23831022103
0021523V;23811033001;N;ST;27;12;;1;23831033001
0021523V;23821021203;N;ST;4;9;MÉTIERS DU CONSEIL VENTE ;1;23831021203
0021523V;23821033002;N;ST;10;5;;1;23831033002
0021818R;23211021130;N;ST;20;14;;1;
0021818R;23211021405;N;ST;20;8;;1;
0021818R;23811021112;N;ST;22;11;;2;23831021112
0021818R;23811021112;N;ST;22;8;;2;23831021112
0021831E;23211021237;N;ST;50;19;;1;
0021831E;23811021112;N;ST;50;10;;1;23831021112
0021906L;23210034405;N;ST;999;14;;1;
0021906L;23810020008;N;ST;999;10;;1;23830020008
0021906L;23810025222;N;ST;999;7;;1;23830025222
0021906L;23810031211;N;ST;999;6;;1;23830031211
0021906L;23810034403;N;ST;999;33;;1;23830034403
0021907M;23211033003;N;ST;25;12;;1;
0021907M;23811033001;N;ST;30;11;;1;23831033001
0021908N;23211033003;N;ST;25;15;;1;
0021908N;23811022103;N;ST;16;2;;1;23831022103
0021908N;23811033001;N;ST;26;10;;1;23831033001
0021939X;23210023447;N;ST;15;20;;1;
0021939X;23210025439;N;ST;15;11;;1;
0021939X;23810020008;N;ST;60;33;;1;23830020008
0021939X;23810020104;N;ST;15;5;;1;23830020104
0021939X;23820020002;N;ST;15;7;REALISATION D'ENSEMBLE MECANIQUES ET INDUSTRIELS;1;23830020002
0021939X;23820025012;N;ST;15;9;;1;23830025012
0021939X;23820025510;N;ST;30;24;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025510
0021939X;23820025513;N;ST;15;9;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025513
0021939X;23820025514;N;ST;15;21;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025514
0021999M;23810033404;N;ST;999;11;;1;23830033404
0022002R;23810020008;N;ST;999;7;;1;23830020008
0022008X;23210022510;N;ST;15;16;;1;
0022008X;23210031224;N;ST;15;28;;1;
0022008X;23810020008;N;ST;45;32;;1;23830020008
0022008X;23810020104;N;ST;15;15;;1;23830020104
0022008X;23810022503;N;ST;15;14;;1;23830022503
0022008X;23810030003;N;ST;18;26;;1;23830030003
0022008X;23810031211;N;ST;70;79;;1;23830031211
0022008X;23820022503;N;ST;15;13;;1;23830022503
0022008X;23820025012;N;ST;15;11;;1;23830025012
0022008X;23820025510;N;ST;30;16;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025510
0022008X;23820025517;N;ST;15;15;;1;23830025517
0022008X;23820030004;N;ST;18;19;GESTION ADMINISTRATIVE, DU TRANSPORT ET DE LA LOGISTIQUE;1;23830030004
0022008X;23820031212;N;ST;18;14;RELATION CLIENT;1;23830031212
0022008X;23820031213;N;ST;35;53;RELATION CLIENT;1;23830031213
0022008X;23820031214;N;ST;18;23;RELATION CLIENT;1;23830031214
0022042J;23210022142;N;ST;24;16;;1;
0022042J;23210024240;N;ST;15;8;;1;
0022042J;23210033411;N;ST;30;29;;1;
0022042J;23810024203;N;ST;30;15;;1;23830024203
0022042J;23820024203;N;ST;30;30;;1;23830024203
0022042J;23820033003;N;ST;15;9;;1;23830033003
0022042J;23820033004;N;ST;30;48;;1;23830033004
0022044L;23210022715;N;ST;15;23;;1;
0022044L;23210023223;N;ST;15;12;;1;
0022044L;23210023224;N;ST;15;21;;1;
0022044L;23210023327;N;ST;15;19;;1;
0022044L;23210023446;N;ST;15;2;;1;
0022044L;23210023447;N;ST;15;17;;1;
0022044L;23810020006;N;ST;15;14;;1;23830020006
0022044L;23810020008;N;ST;15;6;;1;23830020008
0022044L;23810023007;N;ST;15;11;;1;23830023007
0022044L;23810023404;N;ST;15;9;;1;23830023404
0022044L;23810033404;N;ST;48;65;;1;23830033404
0022044L;23820022106;N;ST;24;26;HOTELLERIE RESTAURATION;1;23830022106
0022044L;23820022707;N;ST;15;9;;1;23830022707
0022044L;23820023004;N;ST;15;6;ETUDE ET MODELISATION NUMERIQUE DU BATIMENT;1;23830023004
0022044L;23820023203;N;ST;15;9;CONSTRUCTION DURABLE DU BATIMENT ET DES TRAVAUX PUBLICS;1;23830023203
0022044L;23820023404;N;ST;15;13;;1;23830023404
0022044L;23820033403;N;ST;24;16;HOTELLERIE RESTAURATION;1;23830033403
0030026M;23210023006;N;ST;24;35;;1;
0030026M;23210031224;N;ST;12;43;;1;
0030026M;23810020008;N;ST;30;25;;1;23830020008
0030026M;23810020103;N;ST;39;26;;1;23830020103
0030026M;23810030003;N;ST;30;22;;1;23830030003
0030026M;23810031211;N;ST;60;97;;1;23830031211
0030026M;23820025014;N;ST;15;6;;1;23830025014
0030026M;23820025411;N;ST;24;17;REALISATION D'ENSEMBLE MECANIQUES ET INDUSTRIELS;1;23830025411
0030026M;23820025510;N;ST;25;24;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025510
0030026M;23820030004;N;ST;15;25;GESTION ADMINISTRATIVE, DU TRANSPORT ET DE LA LOGISTIQUE;1;23830030004
0030026M;23820031114;N;ST;15;5;GESTION ADMINISTRATIVE, DU TRANSPORT ET DE LA LOGISTIQUE;1;23830031114
0030026M;23820031213;N;ST;30;62;RELATION CLIENT;1;23830031213
0030026M;23820031214;N;ST;30;36;RELATION CLIENT;1;23830031214
0030038A;23210022139;N;ST;12;29;;1;
0030038A;23210022427;N;ST;16;11;;1;
0030038A;23210022428;N;ST;14;27;;1;
0030038A;23210025436;N;ST;10;8;;1;
0030038A;23210025439;N;ST;5;16;;1;
0030038A;23210033412;N;ST;12;11;;1;
0030038A;23810020008;N;ST;24;34;;1;23830020008
0030038A;23810020104;N;ST;15;14;;1;23830020104
0030038A;23810031211;N;ST;60;64;;1;23830031211
0030038A;23810033404;N;ST;36;34;;1;23830033404
0030038A;23820022106;N;ST;24;27;HOTELLERIE RESTAURATION;1;23830022106
0030038A;23820025012;N;ST;15;14;;1;23830025012
0030038A;23820025510;N;ST;24;26;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025510
0030038A;23820031212;N;ST;30;19;RELATION CLIENT;1;23830031212
0030038A;23820031213;N;ST;15;31;RELATION CLIENT;1;23830031213
0030038A;23820031214;N;ST;15;12;RELATION CLIENT;1;23830031214
0030038A;23820033403;N;ST;14;12;HOTELLERIE RESTAURATION;1;23830033403
0030061A;23210023449;N;ST;12;20;;1;
0030061A;23210025524;N;ST;12;15;;1;
0030061A;23210031224;N;ST;12;30;;1;
0030061A;23810020008;N;ST;24;32;;1;23830020008
0030061A;23810020104;N;ST;15;7;;1;23830020104
0030061A;23810023409;N;ST;27;22;;1;23830023409
0030061A;23810031211;N;ST;30;35;;1;23830031211
