Etablissement d'accueil;MEF STAT 11;Voeu de recensement O/N;Statut Offre de formation;Capacité carte scolaire;Demandes vœux 1;Famille de métiers;nb_apparitions_uai_mefstat;mef_stat_terminale
0010001W;23210023446;N;ST;15;6;;1;
0010001W;23210025439;N;ST;15;9;;1;
0010001W;23210025524;N;ST;12;13;;1;
0010001W;23210031122;N;ST;15;20;;1;
0010001W;23210031224;N;ST;15;38;;1;
0010001W;23810020006;N;ST;15;11;;1;23830020006
0010001W;23810020008;N;ST;45;108;;1;23830020008
0010001W;23810020104;N;ST;15;18;;1;23830020104
0010001W;23810023404;N;ST;15;14;;1;23830023404
0010001W;23810030003;N;ST;56;44;;1;23830030003
0010001W;23810031211;N;ST;24;66;;1;23830031211
0010001W;23820022707;N;ST;15;22;;1;23830022707
0010001W;23820023303;N;ST;15;19;CONSTRUCTION DURABLE DU BATIMENT ET DES TRAVAUX PUBLICS;1;23830023303
0010001W;23820023404;N;ST;15;12;;1;23830023404
0010001W;23820025012;N;ST;15;16;;1;23830025012
0010001W;23820025510;N;ST;15;19;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025510
0010001W;23820025515;N;ST;15;22;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025515
0010001W;23820030004;N;ST;28;27;GESTION ADMINISTRATIVE, DU TRANSPORT ET DE LA LOGISTIQUE;1;23830030004
0010001W;23820031106;N;ST;16;20;GESTION ADMINISTRATIVE, DU TRANSPORT ET DE LA LOGISTIQUE;1;23830031106
0010001W;23820031114;N;ST;16;11;GESTION ADMINISTRATIVE, DU TRANSPORT ET DE LA LOGISTIQUE;1;23830031114
0010001W;23820031213;N;ST;14;29;RELATION CLIENT;1;23830031213
0010001W;23820031214;N;ST;14;12;RELATION CLIENT;1;23830031214
0010006B;23210022139;N;ST;12;12;;1;
0010006B;23210022141;N;ST;12;23;;1;
0010006B;23210022142;N;ST;12;8;;1;
0010006B;23210025439;N;ST;12;3;;1;
0010006B;23210025524;N;ST;12;30;;1;
0010006B;23210033412;N;ST;12;13;;1;
0010006B;23810020008;N;ST;45;42;;1;23830020008
0010006B;23810030003;N;ST;16;25;;1;23830030003
0010006B;23810031211;N;ST;16;17;;1;23830031211
0010006B;23810033404;N;ST;24;20;;1;23830033404
0010006B;23820022106;N;ST;12;14;HOTELLERIE RESTAURATION;1;23830022106
0010006B;23820022707;N;ST;15;24;;1;23830022707
0010006B;23820025510;N;ST;30;20;TRANSITION NUMERIQUE ET ENERGETIQUE;1;23830025510
0010006B;23820030004;N;ST;16;15;GESTION ADMINISTRATIVE, DU TRANSPORT ET DE LA LOGISTIQUE;1;23830030004
0010006B;23820031213;N;ST;16;11;RELATION CLIENT;1;23830031213
