UAI;LIBELLÉFORMATION;MEFSTAT11;NB_VOEUX_CONFIRMES;STATUT;CAPACITEPSUP
0290018M;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole - en apprentissage;32212021014;75;Apprentissage;25
0353005B;BTS - Services - Service et prestation des secteurs sanitaire et social - en apprentissage;32211033002;46;Apprentissage;2
0755662X;BTS - Services - Banque  - en apprentissage;32211031313;281;Apprentissage;26
0755662X;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;98;Apprentissage;26
0755662X;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;134;Apprentissage;26
0755662X;BTS - Services - Collaborateur juriste notarial - en apprentissage;32211034502;171;Apprentissage;26
0755662X;BTS - Services - Gestion de la PME - en apprentissage;32211031409;66;Apprentissage;26
0831774C;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;42;Apprentissage;30
0831774C;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;52;Apprentissage;30
0222064Z;BTS - Production - Métiers de l'eau - en apprentissage;32211020114;16;Apprentissage;8
0590071G;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;329;Scolaire;35
0590071G;BTS - Services - Services informatiques aux organisations;32211032612;169;Scolaire;34
0590072H;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;32211020116;611;Scolaire;45
0590072H;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);32211022316;67;Scolaire;15
0590072H;BTS - Production - Conception et réalisation en chaudronnerie industrielle;32211025415;83;Scolaire;15
0590072H;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux - en apprentissage;32211020116;128;Apprentissage;15
0590072H;BTS - Production - Conception et réalisation en chaudronnerie industrielle - en apprentissage;32211025415;47;Apprentissage;15
0590072H;BTS - Production - Electrotechnique - en apprentissage;32211025520;98;Apprentissage;30
0590073J;BTS - Services - Management Commercial Opérationnel;32211031213;326;Scolaire;35
0590083V;BTS - Production - Assistance technique d'ingénieur;32211025001;45;Scolaire;15
0590083V;BTS - Production - Traitement des matériaux - en apprentissage;32211022310;9;Apprentissage;12
0590083V;BTS - Services - Comptabilité et gestion;32211031408;82;Scolaire;24
0590093F;BTS - Production - Europlastics et composites à référentiel commun européen - option Pilotage et Optimisation de la production;32211022506;33;Scolaire;15
0590258K;BTS - Services - Gestion des transports et logistique associée - en apprentissage;32211031103;263;Apprentissage;30
0620190V;Certificat de Spécialisation - Animation-gestion de projets dans le secteur sportif - en apprentissage;23K00033501;47;Apprentissage;12
0590101P;BTS - Services - Comptabilité et gestion;32211031408;237;Scolaire;24
0590102R;BTS - Production - Techniques et services en matériels agricoles - en apprentissage;32211025213;40;Apprentissage;15
0590102R;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;163;Apprentissage;15
0590110Z;BTS - Services - Comptabilité et gestion;32211031408;320;Scolaire;26
0590112B;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;198;Scolaire;35
0590117G;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;1331;Scolaire;35
0590117G;BTS - Services - Professions immobilières;32211031312;1155;Scolaire;59
0333440K;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;281;Apprentissage;70
0332868N;BTS - Services - Prothésiste dentaire - en apprentissage;32211033111;300;Apprentissage;15
0590121L;BTS - Production - Conception de produits industriels;32211020009;160;Scolaire;15
