UAI;LIBELLÉFORMATION;MEFSTAT11_old;NB_VOEUX_CONFIRMES;STATUT;CAPACITEPSUP;CFD;CFD rectifié;Rectif;MEFSTAT11;nb_apparitions
0360777Z;BTS - Services - Comptabilité et gestion - en apprentissage;32211031408;48;Apprentissage;45;32031408;32031408;FAUX;32211031408;1
0360777Z;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;103;Apprentissage;45;32031213;32031213;FAUX;32211031213;1
0360777Z;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;109;Apprentissage;40;32031212;32031212;FAUX;32211031212;1
0360777Z;BTS - Services - Services informatiques aux organisations - en apprentissage;32211032612;38;Apprentissage;30;32032612;32032612;FAUX;32211032612;1
0360777Z;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;24;Apprentissage;40;32032409;32032409;FAUX;32211032409;1
0360873D;BTS - Services - Commerce International - en apprentissage;32211031215;61;Apprentissage;20;32031215;32031215;FAUX;32211031215;1
0360873D;BTS - Services - Communication - en apprentissage;32211032003;57;Apprentissage;20;32032003;32032003;FAUX;32211032003;1
0360873D;BTS - Services - Gestion de la PME - en apprentissage;32211031409;30;Apprentissage;20;32031409;32031409;FAUX;32211031409;1
0360873D;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;64;Apprentissage;20;32031213;32031213;FAUX;32211031213;1
0360873D;BTS - Services - Management opérationnel de la sécurité - en apprentissage;32211034401;61;Apprentissage;20;32034401;32034401;FAUX;32211034401;1
0360873D;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;57;Apprentissage;20;32031212;32031212;FAUX;32211031212;1
0360873D;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;17;Apprentissage;20;32032409;32032409;FAUX;32211032409;1
0370009J;BTS - Production - Maintenance des systèmes - option A Systèmes de production;32211025014;107;Scolaire;15;32025014;32025014;FAUX;32211025014;1
0370009J;BTS - Production - Maintenance des systèmes - option A Systèmes de production - en apprentissage;32211025014;62;Apprentissage;12;32025014;32025014;FAUX;32211025014;1
0370009J;BTS - Services - Management Commercial Opérationnel;32211031213;848;Scolaire;35;32031213;32031213;FAUX;32211031213;1
0370009J;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;146;Apprentissage;4;32031213;32031213;FAUX;32211031213;1
0370036N;BTS - Services - Management Commercial Opérationnel;32211031213;1400;Scolaire;35;32031213;32031213;FAUX;32211031213;1
0370036N;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;802;Apprentissage;12;32031213;32031213;FAUX;32211031213;1
0370037P;BTS - Services - Commerce International;32211031215;990;Scolaire;36;32031215;32031215;FAUX;32211031215;1
0370037P;BTS - Services - Gestion de la PME;32211031409;648;Scolaire;24;32031409;32031409;FAUX;32211031409;1
0370037P;BTS - Services - Management Commercial Opérationnel;32211031213;1014;Scolaire;36;32031213;32031213;FAUX;32211031213;1
0370037P;BTS - Services - Support à l'action managériale;32211032409;558;Scolaire;36;32032409;32032409;FAUX;32211032409;1
0370038R;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);32211022316;100;Scolaire;11;32022316;32022316;FAUX;32211022316;1
0370038R;BTS - Production - Conception des processus de réalisation de produits (1ère année commune) - en apprentissage;32211022316;72;Apprentissage;6;32022316;32022316;FAUX;32211022316;1
0370038R;BTS - Production - Conception et Réalisation de Systèmes Automatiques;32211020111;271;Scolaire;24;32020111;32020111;FAUX;32211020111;1
0370038R;BTS - Production - Conception et Réalisation de Systèmes Automatiques - en apprentissage;32211020111;85;Apprentissage;4;32020111;32020111;FAUX;32211020111;1
0370038R;BTS - Production - Conception et réalisation en chaudronnerie industrielle;32211025415;191;Scolaire;24;32025415;32025415;FAUX;32211025415;1
0370038R;BTS - Production - Conception et réalisation en chaudronnerie industrielle - en apprentissage;32211025415;87;Apprentissage;12;32025415;32025415;FAUX;32211025415;1
0370038R;BTS - Production - Contrôle industriel et régulation automatique - en apprentissage;32211020113;77;Apprentissage;15;32020113;32020113;FAUX;32211020113;1
0370038R;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;32211020116;724;Scolaire;24;32020116;32020116;FAUX;32211020116;1
0370038R;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;32211025521;335;Scolaire;24;32025521;32025521;FAUX;32211025521;1
0370038R;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux - en apprentissage;32211025521;134;Apprentissage;4;32025521;32025521;FAUX;32211025521;1
0370038R;BTS - Production - Métiers de la mesure;32211020115;231;Scolaire;15;32020115;32020115;FAUX;32211020115;1
0370038R;BTS - Production - Métiers de la mesure - en apprentissage;32211020115;25;Apprentissage;4;32020115;32020115;FAUX;32211020115;1
0370038R;BTS - Services - Comptabilité et gestion - en apprentissage;32211031408;277;Apprentissage;12;32031408;32031408;FAUX;32211031408;1
0370038R;BTS - Services - Conseil et commercialisation de solutions techniques;32211031216;576;Scolaire;36;32031216;32031216;FAUX;32211031216;1
0370038R;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;1333;Scolaire;35;32031212;32031212;FAUX;32211031212;1
0370038R;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;849;Apprentissage;12;32031212;32031212;FAUX;32211031212;1
0370038R;BTS - Services - Professions immobilières;32211031309;986;Scolaire;24;32031309;32031309;FAUX;32211031309;1
0370038R;BTS - Services - Professions immobilières - en apprentissage;32211031309;791;Apprentissage;8;32031309;32031309;FAUX;32211031309;1
0370038R;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;195;Apprentissage;20;32032409;32032409;FAUX;32211032409;1
0370039S;BTS - Services - Comptabilité et gestion;32211031408;652;Scolaire;38;32031408;32031408;FAUX;32211031408;1
0370039S;BTS - Services - Services informatiques aux organisations;32211032612;622;Scolaire;32;32032612;32032612;FAUX;32211032612;1
0370040T;BTS - Services - Etudes de réalisation d'un projet de communication - 1ère année commune;32211032209;334;Scolaire;30;32032209;32032209;FAUX;32211032209;1
0370040T;BTS - Services - Etudes de réalisation d'un projet de communication - 1ère année commune - en apprentissage;32211032209;221;Apprentissage;30;32032209;32032209;FAUX;32211032209;1
0370053G;BTS - Production - Conception de produits industriels;32211020009;245;Scolaire;16;32020009;32020009;FAUX;32211020009;1
0370053G;BTS - Production - Conception de produits industriels - en apprentissage;32211020009;77;Apprentissage;3;32020009;32020009;FAUX;32211020009;1
0370054H;BTS - Production - Architectures en Métal : conception et Réalisation - en apprentissage;32211025416;84;Apprentissage;15;32025416;32025416;FAUX;32211025416;1
0370054H;BTS - Production - Bâtiment - en apprentissage;32211023012;187;Apprentissage;15;32023012;32023012;FAUX;32211023012;1
0370054H;BTS - Production - Enveloppe des bâtiments : conception et réalisation - en apprentissage;32211023205;78;Apprentissage;15;32023205;32023205;FAUX;32211023205;1
0370054H;BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air;32211022710;145;Scolaire;15;32022710;32022710;FAUX;32211022710;1
0370054H;BTS - Production - Maintenance des systèmes - option B Systèmes énergétiques et fluidiques;32211025015;400;Scolaire;15;32025015;32025015;FAUX;32211025015;1
0370054H;BTS - Production - Maintenance des systèmes - option B Systèmes énergétiques et fluidiques - en apprentissage;32211025015;81;Apprentissage;15;32025015;32025015;FAUX;32211025015;1
0370054H;BTS - Production - Management économique de la construction - en apprentissage;32211023013;138;Apprentissage;15;32023013;32023013;FAUX;32211023013;1
0370054H;BTS - Production - Travaux publics - en apprentissage;32211023206;121;Apprentissage;15;32023206;32023206;FAUX;32211023206;1
0370728R;BTS - Services - Management en hôtellerie restauration;32211033422;90;Scolaire;24;32033422;32033422;FAUX;32211033422;1
0370728R;BTS - Services - Tourisme;32211033426;567;Scolaire;90;32033426;32033426;FAUX;32211033426;1
0370748M;BTS - Production - Bâtiment;32211023012;133;Scolaire;16;32023012;32023012;FAUX;32211023012;1
0370748M;BTS - Production - Bâtiment - en apprentissage;32211023012;128;Apprentissage;15;32023012;32023012;FAUX;32211023012;1
0370748M;BTS - Production - Fluide, énergie, domotique - option C domotique et bâtiment communicants;32211022711;37;Scolaire;16;32022711;32022711;FAUX;32211022711;1
0370748M;BTS - Production - Fluide, énergie, domotique - option C domotique et bâtiment communicants - en apprentissage;32211022711;54;Apprentissage;15;32022711;32022711;FAUX;32211022711;1
0370748M;BTS - Production - Management économique de la construction;32211023013;95;Scolaire;16;32023013;32023013;FAUX;32211023013;1
0370748M;BTS - Production - Management économique de la construction - en apprentissage;32211023013;89;Apprentissage;20;32023013;32023013;FAUX;32211023013;1
0370748M;BTS - Production - Travaux publics;32211023206;78;Scolaire;16;32023206;32023206;FAUX;32211023206;1
0370748M;BTS - Production - Travaux publics - en apprentissage;32211023206;77;Apprentissage;15;32023206;32023206;FAUX;32211023206;1
0370749N;BTS - Services - Assurance;32211031311;131;Scolaire;22;32031311;32031311;FAUX;32211031311;1
0370749N;BTS - Services - Commerce International;32211031215;422;Scolaire;40;32031215;32031215;FAUX;32211031215;1
0370749N;BTS - Services - Communication;32211032003;468;Scolaire;40;32032003;32032003;FAUX;32211032003;1
0370749N;BTS - Services - Comptabilité et gestion;32211031408;157;Scolaire;38;32031408;32031408;FAUX;32211031408;1
0370749N;BTS - Services - Gestion de la PME;32211031409;147;Scolaire;22;32031409;32031409;FAUX;32211031409;1
0370749N;BTS - Services - Management Commercial Opérationnel;32211031213;284;Scolaire;38;32031213;32031213;FAUX;32211031213;1
0370749N;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;353;Scolaire;22;32031212;32031212;FAUX;32211031212;1
0370749N;BTS - Services - Services informatiques aux organisations;32211032612;206;Scolaire;29;32032612;32032612;FAUX;32211032612;1
0370759Z;BTS - Services - Communication - en apprentissage;32211032003;209;Apprentissage;10;32032003;32032003;FAUX;32211032003;1
0370759Z;BTS - Services - Comptabilité et gestion - en apprentissage;32211031408;71;Apprentissage;10;32031408;32031408;FAUX;32211031408;1
0370759Z;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;147;Apprentissage;10;32031213;32031213;FAUX;32211031213;1
0370759Z;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;177;Apprentissage;10;32031212;32031212;FAUX;32211031212;1
0370759Z;BTS - Services - Professions immobilières - en apprentissage;32211031309;234;Apprentissage;10;32031309;32031309;FAUX;32211031309;1
0370771M;BTS - Services - Gestion de la PME - en apprentissage;32211031409;298;Apprentissage;15;32031409;32031409;FAUX;32211031409;1
0370781Y;BTS - Agricole - Gestion et maitrise de l'eau;32212034302;248;Scolaire;27;32034302;32034302;FAUX;32212034302;1
0370781Y;BTS - Agricole - Métiers du Végétal : Alimentation, Ornement, Environnement;32212021114;170;Scolaire;19;32021114;32021114;FAUX;32212021114;1
0370781Y;BTS - Agricole - productions animales;32212021205;607;Scolaire;32;32021205;32021205;FAUX;32212021205;1
0370781Y;BTS - Agricole - Viticulture-Oenologie;32212021112;205;Scolaire;27;32021112;32021112;FAUX;32212021112;1
0370811F;BTS - Production - Maintenance des véhicules option voitures particulières - en apprentissage;32211025215;97;Apprentissage;23;32025215;32025215;FAUX;32211025215;1
0370811F;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;281;Apprentissage;48;32031213;32031213;FAUX;32211031213;1
0370811F;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie - en apprentissage;32211033608;102;Apprentissage;16;32033608;32033608;FAUX;32211033608;1
0370811F;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;214;Apprentissage;20;32031212;32031212;FAUX;32211031212;1
0370811F;BTS - Services - Service et prestation des secteurs sanitaire et social - en apprentissage;32211033002;128;Apprentissage;24;32033002;32033002;FAUX;32211033002;1
0370825W;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;199;Apprentissage;30;32031213;32031213;FAUX;32211031213;1
0370825W;BTS - Services - Management en hôtellerie restauration - en apprentissage;32211033422;46;Apprentissage;30;32033422;32033422;FAUX;32211033422;1
0370878D;BTS - Agricole - Technico-commercial - Spécialité vins, bières et spiritueux;32212031202;141;Scolaire;19;32031202;32031202;FAUX;32212031202;1
0370881G;BTS - Production - Bioanalyses et contrôles;32211022207;324;Scolaire;16;32022207;32022207;FAUX;32211022207;1
0370881G;BTS - Services - Analyses de biologie médicale;32211033109;447;Scolaire;16;32033109;32033109;FAUX;32211033109;1
0370888P;BTS - Production - Etude et réalisation d'agencement;32211023305;771;Scolaire;15;32023305;32023305;FAUX;32211023305;1
0370983T;BTS - Production - Maintenance des matériels de construction et de manutention - en apprentissage;32211025218;19;Apprentissage;28;32025218;32025218;FAUX;32211025218;1
0370983T;BTS - Production - Techniques et services en matériels agricoles - en apprentissage;32211025213;48;Apprentissage;28;32025213;32025213;FAUX;32211025213;1
0370984U;BTS - Production - Fluide, énergie, domotique - option A génie climatique et fluidique - en apprentissage;32211022709;67;Apprentissage;15;32022709;32022709;FAUX;32211022709;1
0370984U;BTS - Production - Travaux publics - en apprentissage;32211023206;59;Apprentissage;15;32023206;32023206;FAUX;32211023206;1
0371099U;BTS - Production - Electrotechnique;32211025520;191;Scolaire;15;32025520;32025520;FAUX;32211025520;1
0371099U;BTS - Production - Electrotechnique - en apprentissage;32211025520;99;Apprentissage;5;32025520;32025520;FAUX;32211025520;1
0371123V;BTS - Production - Europlastics et composites à référentiel commun européen - option Conception d'Outillage - en apprentissage;32211022505;23;Apprentissage;10;32022505;32022505;FAUX;32211022505;1
0371123V;BTS - Production - Europlastics et composites à référentiel commun européen - option Pilotage et Optimisation de la production - en apprentissage;32211022506;19;Apprentissage;10;32022506;32022506;FAUX;32211022506;1
0371253L;BTS - Agricole - Technico-commercial - Spécialité alimentation et boisson - en apprentissage;32212031205;13;Apprentissage;20;32031205;32031205;FAUX;32212031205;1
0371253L;BTS - Agricole - Technico-commercial - Spécialité vins, bières et spiritueux - en apprentissage;32212031202;36;Apprentissage;20;32031202;32031202;FAUX;32212031202;1
0371253L;BTS - Services - Economie sociale familiale - en apprentissage;32211033206;157;Apprentissage;25;32033206;32033206;FAUX;32211033206;1
0371256P;BTS - Agricole - Technico-commercial - Spécialité univers jardins et animaux de compagnie - en apprentissage;32212031203;35;Apprentissage;20;32031203;32031203;FAUX;32212031203;1
0371395R;BTS - Agricole - Développement, animation des territoires ruraux;32212030001;33;Scolaire;15;32030001;32030001;FAUX;32212030001;1
0371395R;BTS - Agricole - Développement, animation des territoires ruraux - en apprentissage;32212030001;23;Apprentissage;20;32030001;32030001;FAUX;32212030001;1
0371409F;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole - en apprentissage;32212021014;12;Apprentissage;20;32021014;32021014;FAUX;32212021014;1
0371417P;BTS - Services - Banque conseiller de clientèle;32211031310;599;Scolaire;24;32031310;32031310;FAUX;32211031310;1
0371417P;BTS - Services - Banque conseiller de clientèle - en apprentissage;32211031310;273;Apprentissage;8;32031310;32031310;FAUX;32211031310;1
0371418R;BTS - Production - Conception et industrialisation en microtechniques;32211025005;123;Scolaire;24;32025005;32025005;FAUX;32211025005;1
0371418R;BTS - Production - Systèmes photoniques;32211025519;155;Scolaire;24;32025519;32025519;FAUX;32211025519;1
0371436K;BTS - Agricole - Aménagements paysagers - en apprentissage;32212021401;151;Apprentissage;32;32021401;32021401;FAUX;32212021401;1
0371493X;BTS - Services - Communication - en apprentissage;32211032003;200;Apprentissage;20;32032003;32032003;FAUX;32211032003;1
0371493X;BTS - Services - Comptabilité et gestion - en apprentissage;32211031408;95;Apprentissage;35;32031408;32031408;FAUX;32211031408;1
0371493X;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;217;Apprentissage;35;32031213;32031213;FAUX;32211031213;1
0371493X;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;312;Apprentissage;70;32031212;32031212;FAUX;32211031212;1
0371493X;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;74;Apprentissage;20;32032409;32032409;FAUX;32211032409;1
0371495Z;BTS - Services - Assurance - en apprentissage;32211031311;102;Apprentissage;25;32031311;32031311;FAUX;32211031311;1
0371495Z;BTS - Services - Communication - en apprentissage;32211032003;208;Apprentissage;20;32032003;32032003;FAUX;32211032003;1
0371495Z;BTS - Services - Gestion de la PME - en apprentissage;32211031409;82;Apprentissage;10;32031409;32031409;FAUX;32211031409;1
0371495Z;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;217;Apprentissage;20;32031213;32031213;FAUX;32211031213;1
0371495Z;BTS - Services - Management en hôtellerie restauration - en apprentissage;32211033422;34;Apprentissage;20;32033422;32033422;FAUX;32211033422;1
0371495Z;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;234;Apprentissage;20;32031212;32031212;FAUX;32211031212;1
0371495Z;BTS - Services - Services informatiques aux organisations - en apprentissage;32211032612;140;Apprentissage;22;32032612;32032612;FAUX;32211032612;1
0371514V;BTS - Production - Bioanalyses et contrôles - en apprentissage;32211022207;185;Apprentissage;20;32022207;32022207;FAUX;32211022207;1
0371515W;BTS - Services - Métiers des Services à l'environnement - en apprentissage;32211034304;0;Apprentissage;;32034304;32034304;FAUX;32211034304;1
0371532P;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie;32211033608;228;Scolaire;48;32033608;32033608;FAUX;32211033608;1
0371700X;BTS - Services - Gestion de la PME - en apprentissage;32211031409;140;Apprentissage;40;32031409;32031409;FAUX;32211031409;1
0371700X;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;259;Apprentissage;70;32031213;32031213;FAUX;32211031213;1
0371700X;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;274;Apprentissage;65;32031212;32031212;FAUX;32211031212;1
0371761N;BTS - Services - Gestion des transports et logistique associée - en apprentissage;32211031103;81;Apprentissage;30;32031103;32031103;FAUX;32211031103;1
0371793Y;BTS - Services - Gestion des transports et logistique associée - en apprentissage;32211031103;43;Apprentissage;12;32031103;32031103;FAUX;32211031103;1
0371798D;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;131;Apprentissage;25;32031213;32031213;FAUX;32211031213;1
0371798D;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;93;Apprentissage;25;32031212;32031212;FAUX;32211031212;1
0371799E;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;45;Apprentissage;25;32031213;32031213;FAUX;32211031213;1
0371799E;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;71;Apprentissage;25;32031212;32031212;FAUX;32211031212;1
0371813V;BTS - Agricole - Viticulture-Oenologie - en apprentissage;32212021112;53;Apprentissage;20;32021112;32021112;FAUX;32212021112;1
0380008C;BTS - Production - Maintenance des systèmes - option A Systèmes de production;32211025014;189;Scolaire;24;32025014;32025014;FAUX;32211025014;1
0380008C;BTS - Production - Maintenance des systèmes - option A Systèmes de production - en apprentissage;32211025014;10;Apprentissage;12;32025014;32025014;FAUX;32211025014;2
0380008C;BTS - Production - Maintenance des systèmes - option A Systèmes de production - en apprentissage;32211025014;142;Apprentissage;12;32025014;32025014;FAUX;32211025014;2
0380008C;BTS - Services - Comptabilité et gestion (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première);32211031408;322;Scolaire;24;32031408;32031408;FAUX;32211031408;1
0380008C;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;407;Apprentissage;20;32031213;32031213;FAUX;32211031213;1
0380008C;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;598;Scolaire;34;32031212;32031212;FAUX;32211031212;1
0380008C;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;378;Apprentissage;16;32031212;32031212;FAUX;32211031212;1
0380010E;BTS - Services - Gestion de la PME - en apprentissage;32211031409;301;Apprentissage;10;32031409;32031409;FAUX;32211031409;1
0380018N;BTS - Services - Commerce International;32211031215;477;Scolaire;32;32031215;32031215;FAUX;32211031215;1
0380018N;BTS - Services - Economie sociale familiale;32211033206;273;Scolaire;32;32033206;32033206;FAUX;32211033206;1
0380018N;BTS - Services - Management Commercial Opérationnel;32211031213;326;Scolaire;34;32031213;32031213;FAUX;32211031213;1
0380018N;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;138;Apprentissage;10;32031213;32031213;FAUX;32211031213;1
0380032D;BTS - Services - Management Commercial Opérationnel (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première);32211031213;888;Scolaire;34;32031213;32031213;FAUX;32211031213;1
0380033E;BTS - Production - Conception et Réalisation de Systèmes Automatiques (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première);32211020111;314;Scolaire;28;32020111;32020111;FAUX;32211020111;1
0380033E;BTS - Production - Maintenance des systèmes - option A Systèmes de production - en apprentissage;32211025014;205;Apprentissage;8;32025014;32025014;FAUX;32211025014;1
0380033E;BTS - Production - Maintenance des systèmes - option A Systèmes de production (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première);32211025014;257;Scolaire;28;32025014;32025014;FAUX;32211025014;1
0380033E;BTS - Services - Conseil et commercialisation de solutions techniques;32211031216;264;Scolaire;34;32031216;32031216;FAUX;32211031216;1
0380034F;BTS - Production - Bioanalyses et contrôles;32211022207;751;Scolaire;30;32022207;32022207;FAUX;32211022207;1
0380034F;BTS - Production - Biotechnologies;32211022104;461;Scolaire;15;32022104;32022104;FAUX;32211022104;1
0380034F;BTS - Services - Analyses de biologie médicale;32211033109;1459;Scolaire;30;32033109;32033109;FAUX;32211033109;1
0380034F;BTS - Services - Banque conseiller de clientèle;32211031310;532;Scolaire;32;32031310;32031310;FAUX;32211031310;1
0380034F;BTS - Services - Banque conseiller de clientèle - en apprentissage;32211031310;299;Apprentissage;18;32031310;32031310;FAUX;32211031310;1
0380034F;BTS - Services - Commerce International;32211031215;1451;Scolaire;48;32031215;32031215;FAUX;32211031215;1
0380034F;BTS - Services - Economie sociale familiale;32211033206;558;Scolaire;26;32033206;32033206;FAUX;32211033206;1
0380034F;BTS - Services - Gestion de la PME;32211031409;998;Scolaire;32;32031409;32031409;FAUX;32211031409;1
0380034F;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;809;Apprentissage;16;32031212;32031212;FAUX;32211031212;1
0380034F;BTS - Services - Professions immobilières - en apprentissage;32211031309;724;Apprentissage;18;32031309;32031309;FAUX;32211031309;1
0380034F;BTS - Services - Services informatiques aux organisations;32211032612;626;Scolaire;32;32032612;32032612;FAUX;32211032612;1
0380034F;BTS - Services - Support à l'action managériale;32211032409;434;Scolaire;32;32032409;32032409;FAUX;32211032409;1
0380035G;BTS - Services - Management en hôtellerie restauration - en apprentissage;32211033422;179;Apprentissage;36;32033422;32033422;FAUX;32211033422;1
0380035G;BTS - Services - Management en hôtellerie restauration (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première);32211033422;346;Scolaire;59;32033422;32033422;FAUX;32211033422;1
0380035G;BTS - Services - Tourisme (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première);32211033426;925;Scolaire;56;32033426;32033426;FAUX;32211033426;1
0380081G;BTS - Services - Communication (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première);32211032003;1095;Scolaire;34;32032003;32032003;FAUX;32211032003;1
0380081G;BTS - Services - Comptabilité et gestion (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première);32211031408;230;Scolaire;34;32031408;32031408;FAUX;32211031408;1
0380081G;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;309;Apprentissage;12;32031213;32031213;FAUX;32211031213;1
0380081G;BTS - Services - Services informatiques aux organisations (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première);32211032612;336;Scolaire;32;32032612;32032612;FAUX;32211032612;1
0380081G;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;108;Apprentissage;8;32032409;32032409;FAUX;32211032409;1
0380081G;BTS - Services - Support à l'action managériale (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première);32211032409;246;Scolaire;32;32032409;32032409;FAUX;32211032409;1
0380083J;BTS - Production - Electrotechnique;32211025520;213;Scolaire;24;32025520;32025520;FAUX;32211025520;1
0380083J;BTS - Production - Fluide, énergie, domotique - option C domotique et bâtiment communicants (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première);32211022711;285;Scolaire;30;32022711;32022711;FAUX;32211022711;1
0380083J;BTS - Production - Métiers de la chimie - en apprentissage;32211022208;164;Apprentissage;14;32022208;32022208;FAUX;32211022208;1
0380083J;BTS - Production - Métiers de la chimie (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première);32211022208;289;Scolaire;12;32022208;32022208;FAUX;32211022208;1
0380083J;BTS - Production - Pilotage des procédés - en apprentissage;32211022003;79;Apprentissage;14;32022003;32022003;FAUX;32211022003;1
0380089R;BTS - Production - Contrôle industriel et régulation automatique;32211020113;174;Scolaire;26;32020113;32020113;FAUX;32211020113;1
0380089R;BTS - Production - Contrôle industriel et régulation automatique - en apprentissage;32211020113;69;Apprentissage;4;32020113;32020113;FAUX;32211020113;1
0380089R;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux - en apprentissage;32211025521;81;Apprentissage;4;32025521;32025521;FAUX;32211025521;1
0380089R;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première);32211025521;241;Scolaire;24;32025521;32025521;FAUX;32211025521;1
0380091T;BTS - Services - Comptabilité et gestion - en apprentissage;32211031408;73;Apprentissage;2;32031408;32031408;FAUX;32211031408;1
0380091T;BTS - Services - Comptabilité et gestion (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première);32211031408;417;Scolaire;21;32031408;32031408;FAUX;32211031408;1
0380091T;BTS - Services - Management Commercial Opérationnel;32211031213;445;Scolaire;30;32031213;32031213;FAUX;32211031213;1
0380091T;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;128;Apprentissage;5;32031213;32031213;FAUX;32211031213;1
0380092U;BTS - Production - Conception de produits industriels;32211020009;354;Scolaire;26;32020009;32020009;FAUX;32211020009;1
0380092U;BTS - Production - Conception de produits industriels - en apprentissage;32211020009;71;Apprentissage;3;32020009;32020009;FAUX;32211020009;1
0380092U;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);32211022316;186;Scolaire;18;32022316;32022316;FAUX;32211022316;1
0380092U;BTS - Production - Conception des processus de réalisation de produits (1ère année commune) - en apprentissage;32211022316;61;Apprentissage;6;32022316;32022316;FAUX;32211022316;1
0380092U;BTS - Production - Etude et réalisation d'agencement - en apprentissage;32211023305;416;Apprentissage;15;32023305;32023305;FAUX;32211023305;1
0381603L;BTS - Production - Métiers de la chimie - en apprentissage;32211022208;125;Apprentissage;16;32022208;32022208;FAUX;32211022208;1
0381603L;BTS - Production - Métiers de la mode-vêtements (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première);32211024207;443;Scolaire;30;32024207;32024207;FAUX;32211024207;1
0381603L;BTS - Production - Systèmes photoniques (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première);32211025519;165;Scolaire;24;32025519;32025519;FAUX;32211025519;1
0381603L;BTS - Services - Etudes de réalisation d'un projet de communication - 1ère année commune (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première);32211032209;406;Scolaire;38;32032209;32032209;FAUX;32211032209;1
0381603L;BTS - Services - Opticien-Lunetier (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première);32211033107;687;Scolaire;30;32033107;32033107;FAUX;32211033107;1
0381629P;BTS - Services - Diététique - Entièrement en distanciel;32211033103;1085;Scolaire;3400;32033103;32033103;FAUX;32211033103;1
