UAI;LIBELLÉFORMATION;MEFSTAT11_old;NB_VOEUX_CONFIRMES;STATUT;CAPACITEPSUP;CFD;CFD rectifié;Rectif;MEFSTAT11;nb_apparitions
0010878Z;BTS - Services - Professions immobilières - en apprentissage;32211031309;75;Apprentissage;15;32031309;32031309;FAUX;32211031309;1
0010965U;BTS - Production - Fluide, énergie, domotique - option A génie climatique et fluidique - en apprentissage;32211022709;99;Apprentissage;15;32022709;32022709;FAUX;32211022709;1
0010965U;BTS - Production - Travaux publics - en apprentissage;32211023206;95;Apprentissage;15;32023206;32023206;FAUX;32211023206;1
0011058V;BTS - Services - Economie sociale familiale - en apprentissage;32211033206;61;Apprentissage;15;32033206;32033206;FAUX;32211033206;1
0011073L;BTS - Agricole - Aménagements paysagers - en apprentissage;32212021401;54;Apprentissage;20;32021401;32021401;FAUX;32212021401;1
0011073L;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;104;Apprentissage;20;32031213;32031213;FAUX;32211031213;1
0011074M;BTS - Agricole - Agronomie et cultures durables - en apprentissage;32212021115;21;Apprentissage;20;32021115;32021115;FAUX;32212021115;1
0011074M;BTS - Agricole - productions animales - en apprentissage;32212021205;4;Apprentissage;20;32021205;32021205;FAUX;32212021205;1
0011118K;BTS - Services - Gestion des transports et logistique associée;32211031103;470;Scolaire;34;32031103;32031103;FAUX;32211031103;1
0011119L;BTS - Production - Conception de produits industriels;32211020009;134;Scolaire;17;32020009;32020009;FAUX;32211020009;1
0011119L;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);32211022316;73;Scolaire;15;32022316;32022316;FAUX;32211022316;1
0011119L;BTS - Production - Conception des processus de réalisation de produits (1ère année commune) - en apprentissage;32211022316;44;Apprentissage;16;32022316;32022316;FAUX;32211022316;1
0011119L;BTS - Production - Europlastics et composites à référentiel commun européen - option Conception d'Outillage;32211022505;24;Scolaire;8;32022505;32022505;FAUX;32211022505;1
0011119L;BTS - Production - Europlastics et composites à référentiel commun européen - option Conception d'Outillage - en apprentissage;32211022505;7;Apprentissage;15;32022505;32022505;FAUX;32211022505;1
0011119L;BTS - Production - Europlastics et composites à référentiel commun européen - option Pilotage et Optimisation de la production;32211022506;30;Scolaire;8;32022506;32022506;FAUX;32211022506;1
0011119L;BTS - Production - Europlastics et composites à référentiel commun européen - option Pilotage et Optimisation de la production - en apprentissage;32211022506;22;Apprentissage;15;32022506;32022506;FAUX;32211022506;1
0011170S;BTS - Agricole - Développement, animation des territoires ruraux;32212030001;49;Scolaire;20;32030001;32030001;FAUX;32212030001;1
0011170S;BTS - Agricole - Développement, animation des territoires ruraux - en apprentissage;32212030001;29;Apprentissage;15;32030001;32030001;FAUX;32212030001;1
0011194T;BTS - Production - Bioanalyses et contrôles;32211022207;693;Scolaire;24;32022207;32022207;FAUX;32211022207;1
0011194T;BTS - Production - Conception et Réalisation de Systèmes Automatiques;32211020111;343;Scolaire;26;32020111;32020111;FAUX;32211020111;1
0011194T;BTS - Services - Conseil et commercialisation de solutions techniques;32211031216;325;Scolaire;26;32031216;32031216;FAUX;32211031216;1
0011256K;BTS - Services - Métiers de la coiffure - en apprentissage;32211033607;9;Apprentissage;10;32033607;32033607;FAUX;32211033607;1
0011256K;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie - en apprentissage;32211033608;50;Apprentissage;10;32033608;32033608;FAUX;32211033608;1
0011276G;BTS - Production - Electrotechnique;32211025520;147;Scolaire;15;32025520;32025520;FAUX;32211025520;1
0011276G;BTS - Production - Electrotechnique - en apprentissage;32211025520;154;Apprentissage;15;32025520;32025520;FAUX;32211025520;1
0011276G;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;401;Apprentissage;15;32031212;32031212;FAUX;32211031212;1
0011324J;BTS - Production - Systèmes constructifs bois et habitat - en apprentissage;32211023412;73;Apprentissage;22;32023412;32023412;FAUX;32211023412;1
