Etablissement d'accueil;Sigle de l'établissement d'accueil;Libellé de l'établissement d'accueil;Commune de l'établissement d'accueil;Département de l'établissement d'accueil;Libellé du MEF national de rattachement;Type de MEF;Code Ministère;Secteur ;Palier minimum autorisé pour la saisie du voeu;Voeu de recensement O/N;Statut Offre de formation;Capacité carte scolaire;Capacité d'affectation;Demandes vœux 1;Affectés voeu 1;Affectés tous vœux
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERPRO MENUISERIE ALUMINIUM-VERRE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;19;15;15
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERPRO METIERS ELECT. ENVIRON. CONNECTES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;19;15;15
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERPRO SYST.NUM.OPT.C RES.INF.SYST.COMM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;22;15;15
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERPRO ASSISTANC.GEST.ORGANIS.ACTIVITES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;28;28;27;26;28
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERPRO LOGISTIQUE (Nouveau);National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;16;16;20;16;16
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERPRO ORGANIS. TRANSPORT MARCHANDISES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;16;16;11;11;16
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;14;23;29;18;23
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERPRO MET.COM.VEN.OP.B PR.CL.VA.OF.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;14;1;12;1;1
0011010T;LP;DU BUGEY;BELLEY;AIN;1ERPRO METIERS ELECT. ENVIRON. CONNECTES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;14;14;14
0011119L;LPO LYC METIER;ARBEZ CARME;BELLIGNAT;AIN;1ERPRO SYST.NUM.OPT.C RES.INF.SYST.COMM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;16;15;15
0011119L;LPO LYC METIER;ARBEZ CARME;BELLIGNAT;AIN;1ERPRO REAL.PR.IMPR.PLURI.OPTA.PR.GRAPH.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;0;0;0;0;0
0011119L;LPO LYC METIER;ARBEZ CARME;BELLIGNAT;AIN;1ERPRO REAL.PR.IMPR.PLURI.OPTB.PR.IMPR.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;30;30;30;28;30
0011118K;LP LYC METIER;GABRIEL VOISIN;BOURG-EN-BRESSE;AIN;1ERPRO MAINT.VEHIC.OPTA VOIT.PARTICUL.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;40;40;45;39;40
0011118K;LP LYC METIER;GABRIEL VOISIN;BOURG-EN-BRESSE;AIN;1ERPRO MAINT.VEHIC.OPTB VEHIC.TRANS.ROUT;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;20;20;17;16;18
0011118K;LP LYC METIER;GABRIEL VOISIN;BOURG-EN-BRESSE;AIN;1ERPRO LOGISTIQUE (Nouveau);National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;16;16;16;11;16
0011118K;LP LYC METIER;GABRIEL VOISIN;BOURG-EN-BRESSE;AIN;1ERPRO ORGANIS. TRANSPORT MARCHANDISES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;16;16;12;11;14
0010021T;LP LYC METIER;MARCELLE PARDE;BOURG-EN-BRESSE;AIN;1ERPRO ASSISTANC.GEST.ORGANIS.ACTIVITES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;32;32;40;30;32
0010021T;LP LYC METIER;MARCELLE PARDE;BOURG-EN-BRESSE;AIN;1ERPRO METIERS DE L'ACCUEIL;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;16;16;11;9;11
0010021T;LP LYC METIER;MARCELLE PARDE;BOURG-EN-BRESSE;AIN;1ERPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;17;17;26;15;17
0010021T;LP LYC METIER;MARCELLE PARDE;BOURG-EN-BRESSE;AIN;1ERPRO MET.COM.VEN.OP.B PR.CL.VA.OF.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;17;17;16;10;17
0010021T;LP LYC METIER;MARCELLE PARDE;BOURG-EN-BRESSE;AIN;1ERPRO ESTHETIQUE COSMETIQUE PARFUMERIE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;32;32;37;31;32
0010016M;LPO;JOSEPH-MARIE CARRIAT;BOURG-EN-BRESSE;AIN;1ERPRO TECHNICIEN BAT. : ORG.REAL.GROS O;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;17;15;15
0010016M;LPO;JOSEPH-MARIE CARRIAT;BOURG-EN-BRESSE;AIN;1ERPRO TECHNICIEN MENUISIER AGENCEUR;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;28;28;27;24;24
0010016M;LPO;JOSEPH-MARIE CARRIAT;BOURG-EN-BRESSE;AIN;1ERPRO METIERS ELECT. ENVIRON. CONNECTES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;30;30;30;28;28
0010020S;LP LYC METIER;GEORGES CHARPAK;CHATILLON-SUR-CHALARONNE;AIN;1ERPRO MAINT.MATERIELS OPT.A AGRICOLES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;30;30;32;30;30
0010020S;LP LYC METIER;GEORGES CHARPAK;CHATILLON-SUR-CHALARONNE;AIN;1ERPRO MAINT.MATERIELS OPT.B CONS.MANUT.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;20;20;21;18;20
0010020S;LP LYC METIER;GEORGES CHARPAK;CHATILLON-SUR-CHALARONNE;AIN;1ERPRO MAINT.MATERIELS OPT.C ESP. VERTS;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;10;10;8;7;10
0010072Y;LPO;INTERNATIONAL;FERNEY-VOLTAIRE;AIN;1ERPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;16;30;33;27;27
0010072Y;LPO;INTERNATIONAL;FERNEY-VOLTAIRE;AIN;1ERPRO MET.COM.VEN.OP.B PR.CL.VA.OF.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;16;2;4;1;2
0010034G;LPO;PAUL PAINLEVE;OYONNAX;AIN;1ERPRO ASSISTANC.GEST.ORGANIS.ACTIVITES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;24;24;31;24;24
0010034G;LPO;PAUL PAINLEVE;OYONNAX;AIN;1ERPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;12;29;29;23;29
0010034G;LPO;PAUL PAINLEVE;OYONNAX;AIN;1ERPRO MET.COM.VEN.OP.B PR.CL.VA.OF.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;20;3;4;2;3
0010006B;LPO LYC METIER;SAINT-EXUPERY;VALSERHONE;AIN;1ERPRO CUISINE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;12;12;14;12;12
0010006B;LPO LYC METIER;SAINT-EXUPERY;VALSERHONE;AIN;1ERPRO METIERS ELECT. ENVIRON. CONNECTES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;30;30;20;19;29
0010006B;LPO LYC METIER;SAINT-EXUPERY;VALSERHONE;AIN;1ERPRO ASSISTANC.GEST.ORGANIS.ACTIVITES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;16;16;15;12;16
0010006B;LPO LYC METIER;SAINT-EXUPERY;VALSERHONE;AIN;1ERPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM.;Academique;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;16;16;11;9;16
0010006B;LPO LYC METIER;SAINT-EXUPERY;VALSERHONE;AIN;1ERPRO COMMERC. SERVICES EN RESTAURATION;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;12;12;11;10;11
0020012C;LPO LYC METIER;JEAN DE LA FONTAINE;CHATEAU-THIERRY;AISNE;1ERPRO ASSISTANC.GEST.ORGANIS.ACTIVITES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;18;18;26;18;18
0020012C;LPO LYC METIER;JEAN DE LA FONTAINE;CHATEAU-THIERRY;AISNE;1ERPRO METIERS DE L'ACCUEIL;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;18;15;10;10;13
0020012C;LPO LYC METIER;JEAN DE LA FONTAINE;CHATEAU-THIERRY;AISNE;1ERPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;35;35;49;35;35
0020012C;LPO LYC METIER;JEAN DE LA FONTAINE;CHATEAU-THIERRY;AISNE;1ERPRO MET.COM.VEN.OP.B PR.CL.VA.OF.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;18;18;21;17;18
0021939X;LPO LYC METIER;JULES VERNE;CHATEAU-THIERRY;AISNE;1ERPRO METIERS ELECT. ENVIRON. CONNECTES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;30;30;24;24;26
0021939X;LPO LYC METIER;JULES VERNE;CHATEAU-THIERRY;AISNE;1ERPRO SYST.NUM.OPT.A SURETE SECURITE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;9;9;10
0021939X;LPO LYC METIER;JULES VERNE;CHATEAU-THIERRY;AISNE;1ERPRO SYST.NUM.OPT.B AUD.RES.EQUIP.DOM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;21;15;15
0022008X;LP LYC METIER;JEAN MACE;CHAUNY;AISNE;1ERPRO METIERS ELECT. ENVIRON. CONNECTES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;30;30;16;16;17
0022008X;LP LYC METIER;JEAN MACE;CHAUNY;AISNE;1ERPRO ASSISTANC.GEST.ORGANIS.ACTIVITES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;18;16;19;14;16
0022008X;LP LYC METIER;JEAN MACE;CHAUNY;AISNE;1ERPRO METIERS DE L'ACCUEIL;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;18;18;14;14;18
0022008X;LP LYC METIER;JEAN MACE;CHAUNY;AISNE;1ERPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;35;35;53;34;35
0022008X;LP LYC METIER;JEAN MACE;CHAUNY;AISNE;1ERPRO MET.COM.VEN.OP.B PR.CL.VA.OF.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;18;18;23;18;18
0021479X;LP LYC METIER;FRANCOISE DOLTO;GUISE;AISNE;1ERPRO METIERS DE L'ACCUEIL;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;18;18;14;14;15
0021479X;LP LYC METIER;FRANCOISE DOLTO;GUISE;AISNE;1ERPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;35;32;24;24;25
0020089L;LP LYC METIER;FREDERIC ET IRENE JOLIOT CURIE;HIRSON;AISNE;1ERPRO METIERS ELECT. ENVIRON. CONNECTES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;12;12;13
0020089L;LP LYC METIER;FREDERIC ET IRENE JOLIOT CURIE;HIRSON;AISNE;1ERPRO ASSISTANC.GEST.ORGANIS.ACTIVITES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;18;18;18;18;18
0020089L;LP LYC METIER;FREDERIC ET IRENE JOLIOT CURIE;HIRSON;AISNE;1ERPRO METIERS DE L'ACCUEIL;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;18;18;6;6;9
0020089L;LP LYC METIER;FREDERIC ET IRENE JOLIOT CURIE;HIRSON;AISNE;1ERPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;18;18;16;16;17
0020022N;LP;JEAN MONNET;LA FERE;AISNE;1ERPRO BOUCHER-CHARCUTIER-TRAITEUR;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;12;12;11;11;11
0020022N;LP;JEAN MONNET;LA FERE;AISNE;1ERPRO ESTHETIQUE COSMETIQUE PARFUMERIE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;32;32;21;21;29
0020022N;LP;JEAN MONNET;LA FERE;AISNE;1ERPRO METIERS DE LA COIFFURE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;26;15;15
0020025S;LP LYC METIER;CHATEAU POTEL;LA FERTE-MILON;AISNE;1ERPRO MAINT.VEHIC.OPTB VEHIC.TRANS.ROUT;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;30;30;17;17;17
0020025S;LP LYC METIER;CHATEAU POTEL;LA FERTE-MILON;AISNE;1ERPRO MAINT.MATERIELS OPT.A AGRICOLES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;30;30;22;22;22
0020025S;LP LYC METIER;CHATEAU POTEL;LA FERTE-MILON;AISNE;1ERPRO MAINT.MATERIELS OPT.B CONS.MANUT.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;20;20;7;7;7
0020078Z;LP;JULIE DAUBIE;LAON;AISNE;1ERPRO ASSISTANC.GEST.ORGANIS.ACTIVITES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;35;35;23;23;25
0020078Z;LP;JULIE DAUBIE;LAON;AISNE;1ERPRO METIERS DE L'ACCUEIL;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;18;18;12;12;14
0020078Z;LP;JULIE DAUBIE;LAON;AISNE;1ERPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;35;35;39;33;35
0020078Z;LP;JULIE DAUBIE;LAON;AISNE;1ERPRO MET.COM.VEN.OP.B PR.CL.VA.OF.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;18;18;14;14;18
0020034B;LPO;PIERRE MECHAIN;LAON;AISNE;1ERPRO METIERS ELECT. ENVIRON. CONNECTES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;30;30;34;29;30
0020034B;LPO;PIERRE MECHAIN;LAON;AISNE;1ERPRO SYST.NUM.OPT.B AUD.RES.EQUIP.DOM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;9;9;10
0020034B;LPO;PIERRE MECHAIN;LAON;AISNE;1ERPRO SYST.NUM.OPT.C RES.INF.SYST.COMM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;15;15;15
0020052W;LP LYC METIER;COLARD NOEL;SAINT-QUENTIN;AISNE;1ERPRO CUISINE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;24;24;28;21;24
0020052W;LP LYC METIER;COLARD NOEL;SAINT-QUENTIN;AISNE;1ERPRO TECHNICIEN BAT. : ORG.REAL.GROS O;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;12;12;15
0020052W;LP LYC METIER;COLARD NOEL;SAINT-QUENTIN;AISNE;1ERPRO AMENAGEMENT FINITION BATIMENT;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;20;14;15
0020052W;LP LYC METIER;COLARD NOEL;SAINT-QUENTIN;AISNE;1ERPRO TECHNICIEN MENUISIER AGENCEUR;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;10;10;13
0020052W;LP LYC METIER;COLARD NOEL;SAINT-QUENTIN;AISNE;1ERPRO METIERS ELECT. ENVIRON. CONNECTES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;12;12;15
0020052W;LP LYC METIER;COLARD NOEL;SAINT-QUENTIN;AISNE;1ERPRO COMMERC. SERVICES EN RESTAURATION;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;24;24;23;22;24
0020079A;LP LYC METIER;CONDORCET;SAINT-QUENTIN;AISNE;1ERPRO MAINT.VEHIC.OPTA VOIT.PARTICUL.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;20;20;31;19;20
0020079A;LP LYC METIER;CONDORCET;SAINT-QUENTIN;AISNE;1ERPRO MAINT.VEHIC.OPTC MOTOCYCLES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;10;7;9;5;7
0020079A;LP LYC METIER;CONDORCET;SAINT-QUENTIN;AISNE;1ERPRO TECH.CHAUDRONNERIE INDUSTRIELLE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;16;13;15
0020079A;LP LYC METIER;CONDORCET;SAINT-QUENTIN;AISNE;1ERPRO METIERS ELECT. ENVIRON. CONNECTES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;45;45;36;36;40
0020079A;LP LYC METIER;CONDORCET;SAINT-QUENTIN;AISNE;1ERPRO ASSISTANC.GEST.ORGANIS.ACTIVITES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;35;35;27;22;35
0020079A;LP LYC METIER;CONDORCET;SAINT-QUENTIN;AISNE;1ERPRO LOGISTIQUE (Nouveau);National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;35;35;59;32;35
0020079A;LP LYC METIER;CONDORCET;SAINT-QUENTIN;AISNE;1ERPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;53;53;77;50;53
0020088K;LP LYC METIER;CAMILLE CLAUDEL;SOISSONS;AISNE;1ERPRO ASSISTANC.GEST.ORGANIS.ACTIVITES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;35;35;35;33;35
0020088K;LP LYC METIER;CAMILLE CLAUDEL;SOISSONS;AISNE;1ERPRO METIERS DE L'ACCUEIL;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;18;17;8;8;15
0020088K;LP LYC METIER;CAMILLE CLAUDEL;SOISSONS;AISNE;1ERPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;35;35;47;32;35
0020088K;LP LYC METIER;CAMILLE CLAUDEL;SOISSONS;AISNE;1ERPRO MET.COM.VEN.OP.B PR.CL.VA.OF.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;18;18;25;18;18
0022044L;LPO LYC METIER;LE CORBUSIER;SOISSONS;AISNE;1ERPRO CUISINE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;24;24;26;23;24
0022044L;LPO LYC METIER;LE CORBUSIER;SOISSONS;AISNE;1ERPRO TECHN. ETUDES BAT.A ETUDES & ECO.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;6;6;6
0022044L;LPO LYC METIER;LE CORBUSIER;SOISSONS;AISNE;1ERPRO TECHNICIEN BAT. : ORG.REAL.GROS O;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;9;9;10
0022044L;LPO LYC METIER;LE CORBUSIER;SOISSONS;AISNE;1ERPRO COMMERC. SERVICES EN RESTAURATION;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;24;24;16;16;17
0021476U;LPO LYC METIER;LEONARD DE VINCI;SOISSONS;AISNE;1ERPRO TECHNICIEN MODELEUR;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;10;10;10
0021476U;LPO LYC METIER;LEONARD DE VINCI;SOISSONS;AISNE;1ERPRO MAINT.VEHIC.OPTA VOIT.PARTICUL.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;30;30;30;30;30
0021476U;LPO LYC METIER;LEONARD DE VINCI;SOISSONS;AISNE;1ERPRO TECH.CHAUDRONNERIE INDUSTRIELLE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;15;15;15
0021476U;LPO LYC METIER;LEONARD DE VINCI;SOISSONS;AISNE;1ERPRO METIERS ELECT. ENVIRON. CONNECTES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;30;30;24;24;26
0030061A;LP LYC METIER;ALBERT LONDRES;CUSSET;ALLIER;1ERPRO TECHNICIEN MENUISIER AGENCEUR;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;21;13;15
0030061A;LP LYC METIER;ALBERT LONDRES;CUSSET;ALLIER;1ERPRO METIERS ELECT. ENVIRON. CONNECTES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;24;24;24;22;24
0030061A;LP LYC METIER;ALBERT LONDRES;CUSSET;ALLIER;1ERPRO METIERS DE L'ACCUEIL;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;30;30;32;30;30
0031082K;LPO;VALERY LARBAUD;CUSSET;ALLIER;1ERPRO CUISINE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;24;24;32;22;24
0031082K;LPO;VALERY LARBAUD;CUSSET;ALLIER;1ERPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;50;50;64;48;50
0031082K;LPO;VALERY LARBAUD;CUSSET;ALLIER;1ERPRO MET.COM.VEN.OP.B PR.CL.VA.OF.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;10;10;10;8;10
0031082K;LPO;VALERY LARBAUD;CUSSET;ALLIER;1ERPRO COMMERC. SERVICES EN RESTAURATION;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;24;24;16;15;24
0030905T;LP LYC METIER;GUSTAVE EIFFEL;GANNAT;ALLIER;1ERPRO MAINT.MATERIELS OPT.A AGRICOLES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;24;24;24;24;24
0030905T;LP LYC METIER;GUSTAVE EIFFEL;GANNAT;ALLIER;1ERPRO MAINT.MATERIELS OPT.B CONS.MANUT.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;12;12;8;8;12
0030905T;LP LYC METIER;GUSTAVE EIFFEL;GANNAT;ALLIER;1ERPRO MAINT.MATERIELS OPT.C ESP. VERTS;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;12;12;9;9;10
0030905T;LP LYC METIER;GUSTAVE EIFFEL;GANNAT;ALLIER;1ERPRO LOGISTIQUE (Nouveau);National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;18;15;15
0031043T;LPO LYC METIER;ALBERT EINSTEIN;MONTLUCON;ALLIER;1ERPRO MAINT.VEHIC.OPTA VOIT.PARTICUL.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;20;20;25;19;20
0031043T;LPO LYC METIER;ALBERT EINSTEIN;MONTLUCON;ALLIER;1ERPRO SYST.NUM.OPT.B AUD.RES.EQUIP.DOM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;12;12;8;7;12
0031043T;LPO LYC METIER;ALBERT EINSTEIN;MONTLUCON;ALLIER;1ERPRO SYST.NUM.OPT.C RES.INF.SYST.COMM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;18;18;24;15;18
0030026M;LPO LYC METIER;PAUL CONSTANS;MONTLUCON;ALLIER;1ERPRO TECH.CHAUDRONNERIE INDUSTRIELLE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;24;24;17;17;21
0030026M;LPO LYC METIER;PAUL CONSTANS;MONTLUCON;ALLIER;1ERPRO METIERS ELECT. ENVIRON. CONNECTES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;25;25;24;19;25
0030026M;LPO LYC METIER;PAUL CONSTANS;MONTLUCON;ALLIER;1ERPRO ASSISTANC.GEST.ORGANIS.ACTIVITES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;25;13;15
0030026M;LPO LYC METIER;PAUL CONSTANS;MONTLUCON;ALLIER;1ERPRO ORGANIS. TRANSPORT MARCHANDISES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;5;5;11
0030026M;LPO LYC METIER;PAUL CONSTANS;MONTLUCON;ALLIER;1ERPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;30;30;62;29;30
0030026M;LPO LYC METIER;PAUL CONSTANS;MONTLUCON;ALLIER;1ERPRO MET.COM.VEN.OP.B PR.CL.VA.OF.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;30;30;36;22;30
0030105Y;LP PR;SAINT-JOSEPH;MONTLUCON;ALLIER;1ERPRO CUISINE;National;MINISTERE DE L'EDUCATION NATIONALE;PRIVE;2nde;N;ST;12;12;2;0;0
