Commission professionnelle consultative;Secteur;Sous-secteur;Niveau;Code diplôme;Diplôme;Intitulé de la spécialité (et options);Code RNCP;Date de l'arrêté de création;Première session;Dernière session;Commentaire
CPC Construction;Secteur Bois et dérivés;Sous-secteur;Niveau 3;500-23449 S;CAP;Menuisier installateur;35974;2020-11-20;2023;;Remplace le n°500-23442
CPC Arts, spectacles et médias;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 3;500-24241 S;CAP;Métiers de la mode - vêtement tailleur;37246;2011-04-08;2013;;.
CPC Industrie;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 3;500-24007 T;CAP;Métiers de l’entretien des textiles, option A : blanchisserie;35808;2020-12-11;2023;;Remplace le n°500-24006
CPC Sport et animation;Secteur Commercialisation et distribution;Sous-secteur;Niveau 3;500-33501 T;CAP;Métiers du football;619;1977-07-13;1978;;rénovation en cours
CPC Services aux entreprises;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 3;500-23005 S;CAP;Monteur de structures mobiles;636;1997-09-17;1999;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;500-22715 S;CAP;Monteur en installations thermiques;30951;2018-04-11;2020;;.
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 3;500-22141 S;CAP;Pâtissier;35316;2019-03-06;2021;;.
CPC Industrie;Secteur;Sous-secteur;Niveau 3;50025441S;CAP;Peintre automobile;;2022-12-30;2025;;remplace le 500-25433 S
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 3;500-25433 S;CAP;Peinture en carrosserie;4933;2007-03-20;2009;2024;remplacé par le 50025441S Session supplémentaire 2025
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 3;500-22142 M;CAP;Production et service en restaurations (rapide, collective, cafétéria);35317;2019-10-29;2022;;Remplace le n°50022129
CPC Services aux entreprises;Secteur Chimie, bio-industrie, environnement;Sous-secteur Chimie, bio-industrie, environnement;Niveau 3;500-22005 U;CAP;Propreté de l'environnement urbain - collecte et recyclage;24650;2015-03-10;2017;;rénovation en cours
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 3;500-25438 S;CAP;Réalisations industrielles en chaudronnerie ou soudage option b - soudage;27470;2017-01-03;2019;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Art textile et mode;Niveau 3;500-24126 S;CAP;Rentrayeur option b - tapisserie;715;1975-05-30;1976;;.
CPC Mer et navigation intérieure;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 3;500-25217 R;CAP;Réparation entretien des embarcations de plaisance;4937;2007-03-20;2009;2024;remplacé par le 500-25224 R
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du feu;Niveau 3;500-22430 V;CAP;Souffleur de verre option verrerie scientifique;6603;2009-05-12;2011;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Environnement;Niveau 3;500-23311 V;CAP;Staffeur ornemaniste;36427;1993-03-05;1995;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur;Niveau 3;500-23114 S;certificat (autre que diplôme);Certificat de préposé au tir;en cours;1997-05-26;1998;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Spectacles;Niveau 4;420-32306 V;Diplôme;Technicien des métiers du spectacle option machiniste constructeur;806;1997-03-10;1998;;.
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 5;321-32207 V;DMA;Arts graphiques option : illustration;827;1998-07-30;2000;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Spectacles;Niveau 5;321-24204 S;DMA;Costumier réalisateur;842;1991-07-16;1995;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du feu;Niveau 5;321-22402 V;DMA;Décor architectural option arts du verre et du cristal;5291;2007-06-19;2009;;.
