Commission professionnelle consultative;Secteur;Sous-secteur;Niveau;Code diplôme;Diplôme;Intitulé de la spécialité (et options);Code RNCP;Date de l'arrêté de création;Première session;Dernière session;Commentaire
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 3;500-25123 U;CAP;Décolletage : opérateur régleur en décolletage;557;1990-01-09;1991;;.
CPC Mobilité et logistique;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 3;500-31119 T;CAP;Déménageur sur véhicule utilitaire léger;31455;2010-06-10;2012;;.
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Matériaux;Niveau 3;500-22002 S;CAP;Employé technique de laboratoire;570;1974-09-25;1975;;
CPC Services et produits de consommation;Secteur Coiffure, esthétique et services connexes;Sous-secteur;Niveau 3;500-33615 T;CAP;Esthétique cosmétique parfumerie;31041;2018-06-25;2020;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;500-25436 S;CAP;Ferronnier d'art;24652;2015-01-07;2017;;.
CPC Arts, spectacles et médias;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 3;500-24315 S;CAP;Fourrure;37243;1998-11-17;2000;;.
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 3;500-22138 S;CAP;Glacier fabricant;37534;2014-02-21;2016;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 3;500-25222 R;CAP;Maintenance des matériels option B -matériels de construction et de manutention;29655;2016-03-24;2018;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 3;500-25219 R;CAP;Maintenance des véhicules option B - véhicules de transport routier;19118;2014-04-22;2016;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 3;500-25220 R;CAP;Maintenance des véhicules option C - motocycles;19118;2014-04-22;2016;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 3;500-23221 S;CAP;Marbrier du bâtiment et de la décoration;16128;2013-02-06;2015;;.
CPC Industrie;Secteur Bois et dérivés;Sous-secteur;Niveau 3;500-22609 S;CAP;Mécanicien conducteur des scieries et des industries mécaniques du bois option b - mécanicien affûteur de sciage, tranchage, déroulage;605;1969-10-07;1971;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Gravure;Niveau 3;500-32220 S;CAP;Métiers de la gravure option A - gravure d'ornementation;620;1993-03-09;1995;;.
CPC Arts, spectacles et médias;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 3;500-24240 S;CAP;Métiers de la mode - vêtement flou;37245;2011-04-08;2013;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;500-22324 S;CAP;Mouleur noyauteur - cuivre et bronze;637;1951-02-22;1953;;.
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 3;500-31123 M;CAP;Opérateur/opératrice de service - relation client et livraison;29262;2017-05-30;2018;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;500-23327 S;CAP;Peintre applicateur de revêtements;30956;2019-04-08;2021;;-
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 3;500-25437 S;CAP;Réalisations industrielles en chaudronnerie ou soudage option a - chaudronnerie;27468;2017-01-03;2019;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 3;500-25434 S;CAP;Réparation des carrosseries;4935;2007-03-19;2009;2024;est remplace par le 50025440S session supplémentaire 2025
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 3;500-23220 S;CAP;Tailleur de pierre;16129;2013-02-06;2015;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du bois;Niveau 3;500-24239 S;CAP;Tapissier -tapissière d’ameublement en décor;37247;2004-07-29;2007;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du feu;Niveau 3;500-22421 V;CAP;Tournage en céramique;36337;1993-08-20;1995;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Spectacles;Niveau 4;420-24210 V;Diplôme;Technicien des métiers du spectacle option techniques de l'habillage;1136;1997-03-10;1998;;
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 5;321-32205 V;DMA;Arts graphiques option : gravure;826;1998-07-30;2000;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 5;321-25401 V;DMA;Facture instrumentale option instruments à vent;6899;2009-04-08;2011;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Spectacles;Niveau 5;321-32313 V;DMA;Marionnette;839;1990-09-12;1993;;.
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 6;322-33109 T;DTS;Imagerie médicale et radiologie thérapeutique;34541;2012-08-24;2015;;
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 3;010-22109 T;MC3;Art de la cuisine allégée;37567;2006-03-24;2007;2024;Abrogation en cours. session supplémentaire 2025
CPC Arts, spectacles et médias;Secteur;Sous-secteur;Niveau 3;01022307V;MC3;Bijoux de mode;37381;2022-12-29;2024;;
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 3;010-22107 S;MC3;Boulangerie spécialisée;37313;2003-04-16;2004;;.
CPC Services et produits de consommation;Secteur Coiffure, esthétique et services connexes;Sous-secteur;Niveau 3;010-33605 T;MC3;Coiffure coupe couleur;29025;2015-03-23;2016;;.
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 3;010-33411 T;MC3;Employé barman;37379;1997-05-16;1998;;rénovation en cours.
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 3;010-22110 S;MC3;Pâtisserie, glacerie, chocolaterie, confiserie spécialisées;37316;2009-04-09;2010;;Rénovation en cours
CPC Mobilité et logistique;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 4;010-31101 W;MC4;Accueil dans les transports;953;1997-11-26;1998;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Aviation;Niveau 4;010-25308 R;MC4;Aéronautique option avions à moteurs à turbines;37924;2015-02-18;2016;;.
CPC Mer et navigation intérieure;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 4;010-25003 R;MC4;Mécatronique navale;37570;2015-11-26;2017;;.
CPC Mer et navigation intérieure;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 4;010-25004 R;MC4;Opérateur polyvalent en interventions subaquatiques;36816;2021-04-30;2022;;Création
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 4;010-23306 W;MC4;Vendeur conseil en produits techniques pour l'habitat;21466;2014-12-17;2016;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Aviation;Niveau 4;400-25302 M;BAC PRO;Aéronautique option avionique;37928;2013-04-12;2016;;.
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 4;400-33006 M;BAC PRO;Animation - enfance et personnes âgées;34605;2019-07-22;2023;;Remplace le n°400-33002
CPC Services aux entreprises;Secteur Services administratifs et financiers;Sous-secteur;Niveau 4;400-30004 T;BAC PRO;Assistance à la gestion des organisations et de leurs activités;34606;2020-02-18;2023;;Remplace le n°400-30001
CPC Industrie;Secteur Métallurgie;Sous-secteur Aviation;Niveau 4;400-25305 M;BAC PRO;Aviation générale;37914;2013-04-12;2016;;.
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 4;400-22104 S;BAC PRO;Boucher charcutier traiteur;37602;2009-06-24;2011;;
CPC Services aux entreprises;Secteur Chimie, bio-industrie, environnement;Sous-secteur Chimie, bio-industrie, environnement;Niveau 4;400-34304 T;BAC PRO;Hygiène, propreté et stérilisation;14893;2012-07-17;2016;;en rénovation.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;400-22707 S;BAC PRO;Installateur en chauffage, climatisation et énergies renouvelables;35845;2021-06-29;2024;;Remplace le n°400-22703
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;400-23207 B;BAC PRO;Interventions sur le patrimoine bâti option C - couverture;5534;2006-05-09;2008;;.
CPC Mobilité et logistique;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 4;400-31106 M;BAC PRO;Logistique;32999;2010-06-03;2012;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 4;400-25216 R;BAC PRO;Maintenance des véhicules option C - motocycles;19117;2014-03-19;2017;;.
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 4;400-31212 M;BAC PRO;Métiers de l'accueil;32049;2018-12-17;2022;;Remplace le n°40031210
CPC Industrie;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 4;400-24005 T;BAC PRO;Métiers de l'entretien des textiles, option A : blanchisserie;35807;2020-12-11;2024;;Remplace le n° 400-24002 et le n°450-24004
CPC Services aux entreprises;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 4;400-34403 T;BAC PRO;Métiers de la sécurité;33069;2014-03-19;2017;;.
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 4;400-31213 T;BAC PRO;Métiers du commerce et de la vente option A animation et gestion de l'espace commercial;32208;2018-12-17;2022;;Remplace le n°40031202
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 4;400-25517 R;BAC PRO;Métiers du froid et des Energies renouvelables;35846;2021-03-10;2024;;Remplace le n°400-25509 R
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 4;400-23208 V;BAC PRO;Métiers et arts de la pierre;35638;2015-06-24;2018;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;400-25406 B;BAC PRO;Ouvrage du bâtiment : métallerie;4432;2006-05-09;2008;;.
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Chimie, bio-industrie, environnement;Niveau 4;400-22004 U;BAC PRO;Procédés de la chimie, de l'eau et des papiers-cartons;14901;2012-04-13;2015;;.
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 4;400-32207 S;BAC PRO;Réalisation de produits imprimés et pluri média option A - productions graphiques;18394;2014-03-12;2017;;.
CPC Industrie;Secteur Bois et dérivés;Sous-secteur;Niveau 4;400-23406 S;BAC PRO;Technicien de scierie;4098;2006-02-22;2008;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 4;400-23203 S;BAC PRO;Technicien du bâtiment : organisation et réalisation du gros œuvre;4888;1997-09-03;1998;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts de la reliure;Niveau 4;401-32208 V;BMA;Art de la reliure et de la dorure;35195;2019-04-19;2021;;-
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Art textile et mode;Niveau 4;401-24107 V;BMA;Arts de la dentelle option fuseaux;5290;2007-03-20;2009;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 4;401-25401 V;BMA;Technicien en facture instrumentale option instruments à vents;36340;2003-07-08;2005;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du feu;Niveau 4;401-22409 V;BMA;Verrier décorateur;en attente valid;2011-04-05;2013;;.
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 4;450-22108 S;BP;Boulanger;37491;2012-02-15;2014;;.
CPC Services et produits de consommation;Secteur Coiffure, esthétique et services connexes;Sous-secteur;Niveau 4;450-33608 T;BP;Coiffure;12281;2011-03-28;2013;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 4;450-25516 S;BP;Electricien;27774;2017-01-12;2019;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 4;450-23317 S;BP;Etanchéité du bâtiment et des travaux publics;31066;2018-04-03;2020;;-
CPC Arts, spectacles et médias;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 4;450-24214 S;BP;Vêtement sur mesure option couture flou;37937;1994-11-21;1995;;.
CPC Arts, spectacles et médias;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 4;450-24216 S;BP;Vêtement sur mesure option tailleur homme;37937;1994-11-21;1995;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 5;320-25001 P;BTS;Assistance technique d'ingénieur;1029;1998-07-30;1999;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 5;320-25414 S;BTS;Conception des processus de découpe et d'emboutissage;37378;2017-02-13;2019;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 5;320-25411 M;BTS;Conception et réalisation de carrosserie;1041;2013-04-08;2015;;Rénovation en cours
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 5;32020116M;BTS;Cybersécurité, Informatique et réseaux, Electronique option A informatique et réseaux;37391;2023-01-25;2025;;REMPLACE LE 320-20112 M
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 5;32025521M;BTS;Cybersécurité, Informatique et réseaux, Electronique option B électronique et réseaux;37391;2023-01-25;2025;;remplace le 320 25516 M
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 5;320-33206 T;BTS;Economie sociale et familiale;36938;2022-01-24;2024;;Remplace le n°320-33204 T
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 5;320-32210 S;BTS;Etudes de réalisation d'un projet de communication option A études de réalisation de produits pluri média;35474;2016-06-07;2019;;.
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Matériaux;Niveau 5;320-22505 S;BTS;Europlastics et composites à référentiel commun européen option conception outillage;35333;2016-02-29;2018;;.
CPC Industrie;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 5;320-24111 S;BTS;Innovation textile option A structures;37962;2014-05-13;2016;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 5;320-25014 R;BTS;Maintenance des systèmes option A systèmes de production;36968;2022-01-24;2024;;Remplace le n°320-25010 R
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 5;320-25016 R;BTS;Maintenance des systèmes option C systèmes éoliens;36968;2022-01-24;2024;;Remplace le n°320-25012 R
CPC Services aux entreprises;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 5;320-34401 T;BTS;Management opérationnel de la sécurité;35393;2020-03-02;2022;;Création
CPC Services et produits de consommation;Secteur Coiffure, esthétique et services connexes;Sous-secteur;Niveau 5;320-33611 T;BTS;Métiers de l'esthétique-cosmétique-parfumerie, option C cosmétologie;37375;2022-12-09;2025;;remplace le 320-33605 T
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 5;320-20115 R;BTS;Métiers de la mesure;35803;2020-12-18;2023;;Remplace le n°320-22002 R
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 5;320-33108 S;BTS;Podo-orthésiste;1088;1997-07-28;1998;;REMPLACEMENT ANNEXE 2 ET 3  EN 2023
CPC Cohésion sociale et santé;Secteur;Sous-secteur;Niveau 5;32033111;BTS;Prothésiste dentaire;37376;2023-01-25;2025;;REMPLACE celui de 2012   320-33110 S
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 5;320-33104 S;BTS;Prothésiste orthésiste;1097;1997-07-28;1998;;remplacement  annexe 2 et 3 en 2023
CPC Services aux entreprises;Secteur Services administratifs et financiers;Sous-secteur;Niveau 5;320-32409 T;BTS;Support à l'action managériale;34029;2018-02-16;2020;;.
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 5;320-33426 M;BTS;Tourisme;37890;2019-03-05;2021;;-
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Spectacles;Niveau 3;500-32307 V;CAP;Accessoiriste réalisateur;37299;1993-08-26;1995;;.
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 3;500-33205 T;CAP;Accompagnant éducatif petite enfance;28048;2020-11-30;2021;;-
CPC Cohésion sociale et santé;Secteur;Sous-secteur;Niveau 3;50033002T;CAP;Agent accompagnant au grand age;37669;2023-02-06;2025;;remplace le 500-33411 T
CPC Mobilité et logistique;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 3;500-31114 T;CAP;Agent d'accueil et de conduite routière, transport de voyageurs;2714;1998-08-21;2000;2024;Remplacé par le 50031124U session supplémentaire 2025
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Contrôle;Niveau 3;500-34303 T;CAP;Agent d'assainissement et de collecte des déchets liquides spéciaux;503;1994-03-11;1996;;abrogation.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du bois;Niveau 3;500-23430 V;CAP;Arts du bois option A - sculpteur ornemaniste;37301;1983-05-27;1985;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 3;500-23450 V;CAP;Assistant luthier du quatuor;35699;2021-05-03;2023;;Remplace le n°500-23428
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 3;500-32310 V;CAP;Assistant technique en instruments de musique option accordéon;36255;2001-09-05;2003;;.
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 3;500-22137 S;CAP;Boulanger;37537;2014-02-21;2016;;.
CPC Arts, spectacles et médias;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 3;500-24316 S;CAP;Chaussure;37241;1998-12-08;2000;;
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 3;500-33412 T;CAP;Commercialisation et services en hôtel-café-restaurant;37554;2017-02-27;2019;;Rénovation en cours
CPC Industrie;Secteur Métallurgie;Sous-secteur;Niveau 3;500-20101 U;CAP;Conducteur d'installations de production;36429;2012-03-30;2014;;.
CPC Mobilité et logistique;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 3;500-31118 T;CAP;Conducteur livreur de marchandises;17131;2010-06-18;2012;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 3;500-23222 S;CAP;Constructeur d'ouvrages en béton armé;34742;2019-04-08;2021;;-
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 3;500-23119 S;CAP;Constructeur de réseaux de canalisations de travaux publics;35321;2019-04-15;2021;;-
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 3;500-22139 T;CAP;Cuisine;37553;2016-03-17;2018;;Rénovation en cours
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du feu;Niveau 3;500-22422 V;CAP;Décoration en céramique;36338;1993-08-20;1995;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du bois;Niveau 3;500-23445 S;CAP;Ebéniste;37538;2017-02-27;2019;;.
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 3;500-31224 T;CAP;Equipier polyvalent du commerce;34947;2019-10-29;2022;;Remplace les n° 500-31214, 500-31215, 500-31216, 500-31217, 500-31219, 500-31220
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 3;500-23321 S;CAP;Etancheur du bâtiment et des travaux publics;37892;2002-10-25;2004;2024;remplacé par le 50023328S
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;500-25137 V;CAP;Horlogerie;37896;2007-06-26;2009;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;500-22343 V;CAP;Lapidaire option B - pierres de couleur;596;1974-09-20;1976;;.
CPC Agriculture, agroalimentaire et aménagement des espaces;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 3;500-25223 R;CAP;Maintenance des matériels option C: matériels d'espaces verts;29638;2016-03-24;2018;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;50023329S;CAP;Menuisier aluminium-verre;37893;2022-08-29;2025;;Remplace le 500-23322 S
CPC Services et produits de consommation;Secteur Coiffure, esthétique et services connexes;Sous-secteur;Niveau 3;500-33616 T;CAP;Métiers de la coiffure;34670;2019-06-05;2021;;-
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Gravure;Niveau 3;500-32221 S;CAP;Métiers de la gravure option B - gravure d'impression;621;1993-03-09;1995;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Gravure;Niveau 3;500-32222 S;CAP;Métiers de la gravure option C - gravure en modèle;622;1993-03-09;1995;;.
CPC Industrie;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 3;500-24008 T;CAP;Métiers de l’entretien des textiles, option B : pressing;35808;2020-12-11;2023;;Remplace le n°500-24005
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;500-23326 S;CAP;Métiers du plâtre et de l'isolation;35319;2019-04-15;2021;;-
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 3;500-25421 S;CAP;Mise en forme des matériaux;658;1988-08-31;1989;;.
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Matériaux;Niveau 3;500-22505 S;CAP;Mise en œuvre des caoutchoucs et des élastomères thermoplastiques;628;1987-06-22;1988;;abrogation à la CPC industrie septembre 2023
CPC Arts, spectacles et médias;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 3;500-22420 S;CAP;Modèles et moules céramiques;631;1991-08-29;1993;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;500-23324 S;CAP;Monteur en installations sanitaires;30952;2018-04-11;2020;;.
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 3;500-33107 S;CAP;Opérateur en appareillage orthopédique Spécialité podo-orthèse;37487;1994-08-25;1996;;Les mots : « certificat d'aptitude professionnelle podo orthésiste » sont remplacés par les mots : « certificat d'aptitude professionnelle opérateur en appareillage orthopédique-spécialité podo-orthèse.
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 3;500-25425 S;CAP;Outillages en moules métalliques;645;1991-08-29;1993;;.
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 3;500-31222 T;CAP;Primeur;37604;2017-07-04;2020;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Art textile et mode;Niveau 3;500-24125 S;CAP;Rentrayeur option a - tapis;1132;1975-05-30;1976;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du feu;Niveau 3;500-22429 V;CAP;Souffleur de verre option enseigne lumineuse;7332;2009-05-12;2011;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du bois;Niveau 3;500-24238 S;CAP;Tapissier -tapissière d’ameublement en siège;37248;2004-07-29;2007;;.
CPC Mer et navigation intérieure;Secteur;Sous-secteur;Niveau 3;;CAP;transport fluvial;;2023-07-18;2026;;remplace 500-31121 U
CPC Mer et navigation intérieure;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 3;500-31121 U;CAP;Transport fluvial;37906;2011-04-26;2013;2025;Rénovation en cours
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 3;50025138U;CAP;Transports par câbles et remontées mécaniques;37306;2022-12-21;2025;;Remplace le 500-25134 U
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Spectacles;Niveau 4;420-32305 V;Diplôme;Brevet artistique des techniques du cirque;23909;1989-10-27;1992;;-
CPC Mer et navigation intérieure;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 4;420-25404 N;Diplôme;Traceur en construction navale;en cours;1985-07-31;1986;;.
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 5;321-32208 V;DMA;Arts graphiques option : typographie;829;1998-07-30;2000;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Spectacles;Niveau 5;321-32301 V;DMA;Arts du cirque;838;1989-10-27;1992;;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Environnement;Niveau 5;321-23003 V;DMA;Décor architectural option A : domaine du traitement plastique et de la transparence;845;1987-07-16;1989;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Environnement;Niveau 5;321-23006 V;DMA;Décor architectural option D : domaine des matériaux de synthèse;844;1987-07-16;1989;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 5;321-23411 V;DMA;Facture instrumentale option accordéon;6899;2009-04-08;2011;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 5;321-23412 V;DMA;Facture instrumentale option guitare;6899;2009-04-08;2011;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts de la reliure;Niveau 3;010-34201 M;MC3;Entretien des collections du patrimoine;37314;2008-03-04;2009;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;010-22304 V;MC3;Joaillerie;36684;2002-01-08;2003;;.
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 3;010-22108 S;MC3;Pâtisserie boulangère;37315;2004-05-04;2005;;Rénovation en cours
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;01023307S;MC3;Plâtrier;37198;2022-08-30;2024;;Remplace le 010-23302 S
CPC Industrie;Secteur Métallurgie;Sous-secteur Aviation;Niveau 4;010-25309 R;MC4;Aéronautique option avions à moteurs à pistons;37924;2015-02-18;2016;;.
CPC Sport et animation;Secteur;Sous-secteur;Niveau 4;010-33502 M;MC4;Encadrement secteur sportif option activités physiques pour tous;36328;2022-01-14;2023;;
CPC Services aux entreprises;Secteur Services administratifs et financiers;Sous-secteur;Niveau 4;010-32601 M;MC4;Services numériques aux organisations;35517;2020-12-14;2022;;Création
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;010-22705 S;MC4;Technicien en énergies renouvelables option B - énergie thermique;15009;2010-04-20;2011;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 4;010-25508 S;MC4;Technicien en réseaux électriques;27235;2012-02-10;2013;;.
