code_rome;code_fiche_metier;code_ogr;libelle_rome;transition_eco;transition_num;transition_demo;emploi_reglemente;emploi_cadre;code_rome_parent
K2201;489;416;Blanchisserie industrielle;;;;;;
K2202;488;417;Lavage de vitres;;;;;;
K2203;487;418;Management et inspection en propreté de locaux;;;;;;
K2204;591;419;Nettoyage de locaux;;;;;;
K2301;491;420;Distribution et assainissement d'eau;;;;;;
K2302;494;421;Management et inspection en environnement urbain;;;;;;
K2303;490;422;Nettoyage des espaces urbains;;;;;;
K2304;497;423;Revalorisation de produits industriels;;;;;;
K2305;493;424;Salubrité et traitement de nuisibles;;;;;;
K2306;516;425;Supervision d'exploitation éco-industrielle;;;;;;
K2401;498;426;Recherche en sciences de l'homme et de la société;;;;;;
K2402;500;427;Recherche en sciences de l'univers, de la matière et du vivant;;O;;;;
K2501;503;428;Gardiennage de locaux;;;;;;
K2502;507;429;Management de sécurité privée;;;;;;
K2503;505;430;Sécurité et surveillance privées;;;;;;
K2601;509;431;Conduite d'opérations funéraires;;;;;;
K2602;511;432;Conseil en services funéraires;;;;;;
K2603;513;433;Thanatopraxie;;;;;;
L1101;417;435;Animation musicale et scénique;;;;;;
L1102;418;436;Mannequinat et pose artistique;;;;;;
L1103;415;437;Présentation de spectacles ou d'émissions;;;;;;
L1201;424;438;Danse;;;;;;
L1202;422;439;Musique et chant;;;;;;
L1203;420;440;Art dramatique;;;;;;
L1204;425;441;Arts du cirque et arts visuels;;;;;;
L1301;429;442;Mise en scène de spectacles vivants;;;;;;
L1302;431;443;Production et administration spectacle, cinéma et audiovisuel;;;;;;
L1303;433;444;Promotion d'artistes et de spectacles;;;;;;
L1304;427;445;Réalisation cinématographique et audiovisuelle;;;;;;
L1401;30023;446;Sportif professionnel / Sportive professionnelle;;N;N;N;N;L1401
L1501;453;447;Coiffure et maquillage spectacle;;;;;;
L1502;450;448;Costume et habillage spectacle;;;;;;
L1503;446;449;Décor et accessoires spectacle;;;;;;
L1504;443;450;Éclairage spectacle;;;;;;
L1505;441;451;Image cinématographique et télévisuelle;;;;;;
L1506;447;452;Machinerie spectacle;;;;;;
L1507;455;453;Montage audiovisuel et post-production;;;;;;
L1508;439;454;Prise de son et sonorisation;;;;;;
L1509;456;455;Régie générale;;;;;;
L1510;17377;39022;Films d'animation et effets spéciaux;;;;;;
M1101;460;456;Achats;;;;;;
M1102;463;457;Direction des achats;;;;;;
M1201;477;458;Analyse et ingénierie financière;;;;;;
M1202;471;459;Audit et contrôle comptables et financiers;;;;;;
M1203;467;460;Comptabilité;;;;;;
M1204;479;461;Contrôle de gestion;;;;;;
M1205;473;462;Direction administrative et financière;;;;;;
M1206;469;463;Management de groupe ou de service comptable;;;;;;
M1207;475;464;Trésorerie et financement;;;;;;
M1301;484;465;Direction de grande entreprise ou d'établissement public;;;;;;
M1302;481;466;Direction de petite ou moyenne entreprise;;;;;;
M1401;486;467;Conduite d'enquêtes;;;;;;
M1402;496;468;Conseil en organisation et management d'entreprise;;;;;;
M1403;499;469;Études et prospectives socio-économiques;;;;;;
M1404;492;470;Management et gestion d'enquêtes;;;;;;
M1405;30060;404047;Data Scientist;;O;N;N;O;M1403
M1501;501;471;Assistanat en ressources humaines;;;;;;
M1502;504;472;Développement des ressources humaines;;;;;;
M1503;502;473;Management des ressources humaines;;;;;;
M1601;508;474;Accueil et renseignements;;;;;;
M1602;512;475;Opérations administratives;;;;;;
M1603;506;476;Distribution de documents;;;;;;
M1604;524;477;Assistanat de direction;;;;;;
M1605;522;478;Assistanat technique et administratif;;;;;;
M1606;510;479;Saisie de données;;;;;;
M1607;514;480;Secrétariat;;;;;;
M1608;519;481;Secrétariat comptable;;;;;;
M1609;517;482;Secrétariat et assistanat médical ou médico-social;;;O;;;
M1701;538;483;Administration des ventes;;;;;;
M1702;526;484;Analyse de tendance;;;;;;
M1703;532;485;Management et gestion de produit;;;;;;
M1704;537;486;Management relation clientèle;;;;;;
M1705;529;487;Marketing;;;;;;
M1706;534;488;Promotion des ventes;;;;;;
M1707;541;489;Stratégie commerciale;;;;;;
M1801;551;490;Administration de systèmes d'information;;O;;;;
M1802;571;491;Expertise et support en systèmes d'information;;O;;;;
M1803;574;492;Direction des systèmes d'information;;O;;;;
M1804;569;493;Études et développement de réseaux de télécoms;;O;;;;
M1805;567;494;Études et développement informatique;;O;;;;
M1806;545;495;Conseil et maîtrise d'ouvrage en systèmes d'information;;O;;;;
M1807;575;496;Exploitation de systèmes de communication et de commandement;;;;;;
M1808;577;497;Information géographique;;;;;;
M1809;576;498;Information météorologique;;;;;;
M1810;565;499;Production et exploitation de systèmes d'information;;O;;;;
M1811;30069;404048;Data engineer;;O;;;O;M1802
M1812;30070;404049;Responsable de la Sécurité des Systèmes d'Information (RSSI);;O;;;O;M1803
M1813;30061;404050;Intégrateur / Intégratrice logiciels métiers;;O;N;N;N;M1805
N1101;521;500;Conduite d'engins de déplacement des charges;;;;;;
N1102;525;501;Déménagement;;;;;;
N1103;520;502;Magasinage et préparation de commandes;;;;;;
N1104;518;503;Manoeuvre et conduite d'engins lourds de manutention;;;;;;
N1105;523;504;Manutention manuelle de charges;;;;;;
N1201;527;505;Affrètement transport;;;;;;
N1202;528;506;Gestion des opérations de circulation internationale des marchandises;;;;;;
N1301;535;507;Conception et organisation de la chaîne logistique;;;;;;
N1302;536;508;Direction de site logistique;;;;;;
N1303;533;509;Intervention technique d'exploitation logistique;;;;;;
N2101;540;510;Navigation commerciale aérienne;;;;;;
N2102;542;511;Pilotage et navigation technique aérienne;;;;;;
N2201;544;512;Personnel d'escale aéroportuaire;;;;;;
N2202;547;513;Contrôle de la navigation aérienne;;;;;;
N2203;543;514;Exploitation des pistes aéroportuaires;;;;;;
N2204;546;515;Préparation des vols;;;;;;
N2205;548;516;Direction d'escale et exploitation aéroportuaire;;;;;;
N3101;552;517;Encadrement de la navigation maritime;;;;;;
N3102;549;518;Équipage de la navigation maritime;;;;;;
N3103;550;519;Navigation fluviale;;;;;;
N3201;554;520;Exploitation des opérations portuaires et du transport maritime;;;;;;
N3202;593;521;Exploitation du transport fluvial;;;;;;
N3203;553;522;Manutention portuaire;;;;;;
N4101;573;523;Conduite de transport de marchandises sur longue distance;;;;;;
N4102;566;524;Conduite de transport de particuliers;;;;;;
N4103;568;525;Conduite de transport en commun sur route;;;;;;
N4104;572;526;Courses et livraisons express;;;;;;
N4105;570;527;Conduite et livraison par tournées sur courte distance;;;;;;
N4201;564;528;Direction d'exploitation des transports routiers de marchandises;;;;;;
N4202;562;529;Direction d'exploitation des transports routiers de personnes;;;;;;
N4203;563;530;Intervention technique d'exploitation des transports routiers de marchandises;;;;;;
N4204;561;531;Intervention technique d'exploitation des transports routiers de personnes;;;;;;
N4301;559;532;Conduite sur rails;;;;;;
N4302;558;533;Contrôle des transports en commun;;;;;;
N4401;555;534;Circulation du réseau ferré;;;;;;
N4402;556;535;Exploitation et manoeuvre des remontées mécaniques;;;;;;
N4403;557;536;Manoeuvre du réseau ferré;;;;;;
