code_rome;code_fiche_metier;code_ogr;libelle_rome;transition_eco;transition_num;transition_demo;emploi_reglemente;emploi_cadre;code_rome_parent
D1403;127;104;Relation commerciale auprès de particuliers;;;;;;
D1404;129;105;Relation commerciale en vente de véhicules;;;;;;
D1405;131;106;Conseil en information médicale;;;;;;
D1406;135;107;Management en force de vente;;;;;;
D1407;30030;108;Technico-commercial / Technico-commerciale;;N;N;N;O;D1407
D1408;122;109;Téléconseil et télévente;;;;;;
D1409;125;403074;Gestion administrative des ventes;;;;;;D1401
D1410;30034;403086;Attaché commercial / Attachée commerciale;;N;N;N;O;D1401
D1501;30035;110;Animateur / Animatrice des ventes;;N;N;N;N;D1501
D1502;141;111;Management/gestion de rayon produits alimentaires;;;;;;
D1503;142;112;Management/gestion de rayon produits non alimentaires;;;;;;
D1504;150;113;Direction de magasin de grande distribution;;;;;;
D1505;139;114;Personnel de caisse;;;;;;
D1506;152;115;Marchandisage;;;;;;
D1507;137;116;Mise en rayon libre-service;;;;;;
D1508;144;117;Encadrement du personnel de caisses;;;;;;
D1509;148;118;Responsable grande distribution;;;;;;D1509
D1510;30038;403087;Chef / Cheffe de secteur commercial;;N;N;N;O;D1509
E1101;112;119;Animation de site multimédia;;O;;;;
E1102;110;120;Écriture d'ouvrages, de livres;;;;;;
E1103;121;121;Chargé / Chargée de communication;;O;;;;E1103
E1104;119;122;Conception de contenus multimédias;;;;;;
E1105;123;123;Coordination d'édition;;;;;;
E1106;116;124;Journalisme et information média;;;;;;
E1107;30037;125;Chef / Cheffe de projet événementiel;;O;N;N;O;E1107
E1108;126;126;Traduction, interprétariat;;;;;;
E1109;30039;403088;Directeur / Directrice de la communication;;N;N;N;O;E1103
E1201;128;127;Photographie;;;;;;
E1202;138;128;Production en laboratoire cinématographique;;;;;;
E1203;136;129;Production en laboratoire photographique;;;;;;
E1204;582;130;Projection cinéma;;;;;;
E1205;134;131;Réalisation de contenus multimédias;;O;;;;
E1206;30071;404036;UX - UI Designer;;O;;;;E1205
E1301;149;132;Conduite de machines d'impression;;;;;;
E1302;140;133;Conduite de machines de façonnage routage;;;;;;
E1303;153;134;Encadrement des industries graphiques;;;;;;
E1304;151;135;Façonnage et routage;;;;;;
E1305;145;136;Préparation et correction en édition et presse;;;;;;
E1306;147;137;Prépresse;;;;;;
E1307;143;138;Reprographie;;;;;;
E1308;154;139;Intervention technique en industrie graphique;;;;;;
E1401;156;140;Développement et promotion publicitaire;;;;;;
E1402;157;141;Élaboration de plan média;;;;;;
F1101;161;142;Architecture du BTP et du paysage;;;;;;
F1102;30040;143;Architecte d'intérieur;;O;N;N;O;F1102
F1103;169;144;Contrôle et diagnostic technique du bâtiment;;;;;;
F1104;163;145;Dessin BTP et paysage;;;;;;
F1105;172;146;Études géologiques;;;;;;
F1106;167;147;Ingénierie et études du BTP;;;;;;
F1107;30043;148;Géomètre-topographe;;O;N;O;O;F1107
F1108;171;149;Métré de la construction;;;;;;
F1109;165;403075;Mesures topographiques;;;;;;F1107
F1110;30024;403079;Dessinateur / Dessinatrice enveloppe du bâtiment;;;;;;F1104
F1111;30041;403089;Ingénieur / Ingénieure génie civil;;O;N;N;O;F1106
F1112;30042;403090;Ingénieur / Ingénieure calcul et structure;;O;N;N;O;F1106
F1201;30044;150;Conducteur / Conductrice de travaux;;N;N;N;O;F1201
F1202;30045;151;Chef / Cheffe de chantier;;O;N;N;O;F1202
F1203;180;152;Direction et ingénierie d'exploitation de gisements et de carrières;;;;;;
F1204;174;153;Qualité Sécurité Environnement et protection santé du BTP;;;;;;
F1205;178;403076;Responsable de travaux BTP;;;;;;F1201
F1301;184;154;Conduite de grue;;;;;;
F1302;182;155;Conduite d'engins de terrassement et de carrière;;;;;;
F1401;187;156;Extraction liquide et gazeuse;;;;;;
F1402;185;157;Extraction solide;;;;;;
F1501;190;158;Montage de structures et de charpentes bois;;;;;;
F1502;188;159;Montage de structures métalliques;;;;;;
F1503;192;160;Réalisation - installation d'ossatures bois;;;;;;
F1601;220;161;Application et décoration en plâtre, stuc et staff;;;;;;
F1602;199;162;Électricité bâtiment;;;;;;
F1603;204;163;Installation d'équipements sanitaires et thermiques;;;;;;
F1604;207;164;Montage d'agencements;;;;;;
F1605;201;165;Montage de réseaux électriques et télécoms;;O;;;;
F1606;212;166;Peintre en bâtiment;;;;;;F1606
F1607;30029;167;Menuisier / Menuisière aluminium;;;;;;F1607
F1608;209;168;Pose de revêtements rigides;;;;;;
F1609;211;169;Pose de revêtements souples;;;;;;
F1610;196;170;Pose et restauration de couvertures;;;;;;
F1611;215;171;Réalisation et restauration de façades;;;;;;
F1612;217;172;Taille et décoration de pierres;;;;;;
F1613;197;173;Travaux d'étanchéité et d'isolation;;;;;;
F1614;206;403073;Poseur / Poseuse en fermetures de bâtiment;;;;;;F1607
F1615;30025;403080;Poseur / Poseuse de cloisons démontables et mobiles;;;;;;F1604
F1616;30026;403081;Poseur / Poseuse de menuiseries extérieures;;;;;;F1607
F1617;30028;403082;Poseur / Poseuse de véranda;;;;;;F1607
F1618;30027;403083;Poseur / Poseuse de façade vitrée;;;;;;F1611
F1619;30062;404037;Couvreur / Couvreuse;;;;O;;F1610
F1701;227;174;Construction en béton;;;;;;
F1702;224;175;Construction de routes et voies;;;;;;
F1703;229;176;Maçonnerie;;;;;;
F1704;222;177;Préparation du gros oeuvre et des travaux publics;;;;;;
F1705;225;178;Pose de canalisations;;;;;;
F1706;231;179;Préfabrication en béton industriel;;;;;;
F1707;30048;403952;Maçon / Maçonne du paysage;;;;;;F1703
F1708;30049;403954;Installateur-poseur / Installatrice-poseuse de piscines préfabriquées;;;;;;F1703
F1709;30057;404038;Démolisseur / Démolisseuse;;;;N;;F1704
G1101;160;180;Accueil touristique;;;;;;
G1102;162;181;Promotion du tourisme local;;;;;;
G1201;175;182;Accompagnement de voyages, d'activités culturelles ou sportives;;;;;;
G1202;166;183;Animation d'activités culturelles ou ludiques;;;;;;
G1203;164;184;Animation de loisirs auprès d'enfants ou d'adolescents;;;;;;
G1204;30020;185;Éducateur sportif / Éducatrice sportive;;N;N;O;N;G1204
G1205;170;186;Personnel d'attractions ou de structures de loisirs;;;;;;
G1206;173;187;Personnel technique des jeux;;;;;;
G1207;168;403072;Moniteur / Monitrice de sport;;;;;;G1204
G1208;30021;403077;Entraîneur / Entraîneure de sport professionnel et de haut niveau;;N;N;O;N;G1204
