Rentrée scolaire;UAI;Mef Bcp 11;Nombre d'élèves : Total
2020;0131606A;23810033605;12
2020;0131606A;23820024203;32
2020;0131606A;23820031212;23
2020;0131606A;23830033603;10
2020;0131675A;23210022139;9
2020;0131675A;23210033412;5
2020;0131675A;23220022139;9
2020;0131675A;23830031206;19
2020;0131681G;32211022208;28
2020;0131684K;32211032002;44
2020;0131684K;32221031213;53
2020;0131747D;23830030001;40
2020;0131862D;32221031408;15
2020;0132193N;23210033204;22
2020;0132193N;23220033204;22
2020;0132193N;23820033004;62
2020;0132193N;23830030001;35
2020;0132211H;23820025406;14
2020;0132276D;23820025007;28
2020;0132280H;23220033204;36
2020;0132280H;23810030003;26
2020;0132280H;23810033005;19
2020;0132280H;23810033605;16
2020;0132319A;23210031224;15
2020;0132319A;23830031202;32
2020;0132319A;23830031206;27
2020;0132343B;23210031223;15
2020;0132343B;23210033412;14
2020;0132343B;23221021405;14
2020;0132410Z;32221031212;27
2020;0132733A;23220025524;10
2020;0132790M;23210025218;25
2020;0132790M;23220022714;15
2020;0132828D;23820033403;4
2020;0132828D;32211031211;34
2020;0132828D;32221031212;30
2020;0132828D;32A21031403;37
2020;0132974M;23220022137;8
2020;0132974M;23220022141;12
2020;0132974M;23830022106;23
2020;0132974M;23910033410;11
2020;0132974M;32221033425;24
2020;0133015G;23210025305;12
2020;0133015G;23820025304;10
2020;0133015G;23830025302;12
2020;0133015G;23830025304;9
2020;0133015G;23910025308;8
2020;0133015G;32211025005;26
2020;0133244F;23810025516;15
2020;0133244F;32221025515;18
2020;0133274N;23820031213;32
2020;0133274N;32211031213;40
2020;0133288D;23210031224;14
2020;0133288D;23220031215;12
2020;0133305X;32211031408;23
2020;0133395V;23820030001;19
2020;0133395V;23820031108;13
2020;0133395V;23820031214;33
2020;0133396W;23810025516;25
2020;0133396W;23810032210;25
2020;0133396W;23820022704;9
2020;0133396W;23820032207;18
2020;0133396W;23820032303;15
2020;0133396W;23830025515;13
2020;0133396W;23830032207;14
2020;0133406G;23210033411;12
2020;0133406G;23220022129;6
2020;0133406G;23810025516;15
2020;0133406G;23810033404;23
2020;0133406G;23820025515;15
2020;0133406G;23830022106;9
2020;0133406G;23830025515;13
2020;0133424B;23210033204;18
2020;0133424B;23220031122;7
2020;0133424B;23830030001;16
2020;0133424B;23830031108;11
2020;0133425C;23210033204;18
2020;0133425C;23220022129;7
2020;0133425C;23810033005;35
2020;0133425C;23820031214;13
2020;0133425C;23830030001;19
2020;0133425C;23830033003;15
2020;0133425C;23830033004;18
2020;0133474F;23820033004;43
2020;0133474F;23830033004;42
2020;0134101M;23210024241;15
2020;0134101M;23810030003;24
2020;0134101M;23830031202;25
2020;0134101M;23830031210;7
2020;0840001V;23220022129;7
2020;0840001V;23830030001;13
2020;0840004Y;32211031212;49
2020;0840004Y;32A21031403;38
2020;0840005Z;32211025215;12
2020;0840005Z;32221025216;9
2020;0840005Z;32221033204;21
2020;0840015K;23220025524;15
2020;0840015K;23810025007;14
2020;0840015K;32221020111;9
2020;0840016L;32211032409;25
2020;0840016L;32221031409;17
2020;0840021S;23820034403;25
2020;0840021S;32211020112;17
2020;0840039L;23820023004;14
2020;0840039L;23820025220;12
2020;0840039L;23820025221;6
2020;0840039L;23820031107;12
2020;0840039L;23830031107;12
2020;0840041N;23810031211;91
2020;0840041N;23820031213;28
2020;0840041N;23830031202;27
2020;0840041N;23830031206;26
2020;0840041N;23830033603;12
2020;0840042P;23210025524;12
2020;0840042P;23220025218;10
2020;0840042P;23810025510;36
2020;0840042P;23820025214;22
2020;0840042P;23830025514;21
2020;0840044S;23220033204;14
2020;0840044S;23820031213;30
2020;0840044S;23830031210;25
2020;0840046U;23220022129;10
2020;0840046U;23810033006;14
2020;0840046U;23820031213;24
2020;0840046U;23820031214;14
2020;0840046U;23830031202;24
2020;0840082H;23210031224;17
2020;0840082H;23220034405;15
2020;0840082H;23810034403;21
2020;0840082H;23820030001;64
2020;0840082H;23820031213;39
2020;0840082H;23820034403;23
2020;0840082H;23830031202;55
2020;0840082H;23830033004;16
2020;0840082H;23830034403;21
2020;0840096Y;23220034307;12
2020;0840113S;23220022139;14
2020;0840113S;23220033412;11
2020;0840113S;23820025214;11
2020;0840113S;23820031106;13
2020;0840113S;23830022106;11
2020;0840700E;23220025524;11
2020;0840700E;23810025510;11
2020;0840700E;23810033404;21
2020;0840700E;23830025007;7
2020;0840700E;23830033403;6
2020;0840763Y;23110025433;7
2020;0840763Y;23220025437;8
2020;0840763Y;23820025216;9
2020;0840763Y;23830025408;12
2020;0840763Y;23830025513;7
2020;0840763Y;23830025515;14
2020;0840935K;23210024005;10
2020;0840935K;23210033411;11
2020;0840935K;23220022129;11
2020;0840935K;23810024203;12
2020;0840935K;23810033006;12
2020;0840935K;23820024203;15
2020;0840935K;23830033003;11
2020;0840940R;23220025524;12
2020;0840940R;23830025510;27
2020;0840940R;32211020112;14
2020;0840940R;32221020112;11
2020;0841078R;23210022714;15
2020;0841078R;23810025007;11
2020;0841078R;23830025007;8
2020;0250001R;23210020101;12
2020;0250001R;23210031224;24
2020;0250001R;23210033411;12
2020;0250001R;23210034307;11
2020;0250001R;23220034307;10
2020;0250001R;23810033404;37
2020;0250001R;23820022503;10
2020;0250001R;23820025510;23
2020;0250001R;23820031213;30
2020;0250001R;23820033403;18
2020;0250001R;23830025510;22
2020;0250001R;23830033403;9
2020;0250001R;32221034304;8
2020;0250010A;32211032612;35
2020;0250010A;32A21031403;29
2020;0250010A;32A31031403;37
2020;0250011B;23810025006;48
2020;0250011B;23810025106;8
2020;0250011B;23830025005;6
2020;0250011B;23830025107;6
2020;0250011B;23830025510;19
2020;0250011B;32211020112;27
2020;0250013D;23820023004;14
2020;0250013D;23820023203;7
2020;0250013D;23830023102;11
2020;0250013D;23830023304;10
2020;0250014E;23210033412;12
2020;0250014E;23220022139;16
2020;0250014E;23220033411;17
2020;0250014E;23220033412;11
2020;0250014E;23820022106;20
2020;0250043L;23210031224;10
2020;0250043L;23830031202;28
2020;0250043L;32221031408;8
2020;0250063H;23220033411;9
2020;0250063H;23810025007;21
2020;0250063H;23820033003;12
2020;0250063H;23830025007;14
2020;0250067M;23210022363;12
2020;0250067M;23220022363;13
2020;0250067M;23810024304;15
2020;0250067M;23810033005;29
2020;0250067M;23830031206;13
2020;0250067M;32211031311;20
2020;0251021Z;32221020009;10
2020;0251028G;32221031408;19
2020;0251035P;23820030001;13
2020;0251079M;23830034403;15
2020;0251112Y;23810034403;20
2020;0251112Y;23830025514;4
2020;0251349F;23110022141;6
2020;0251349F;23220023440;6
2020;0251349F;23810023405;25
2020;0251349F;23820033004;24
2020;0251349F;23830025007;12
2020;0251371E;23210025431;4
2020;0251592V;23210023445;11
2020;0251592V;23810023405;25
2020;0251592V;23820023405;24
2020;0251592V;23820025513;12
2020;0251592V;23830025510;10
2020;0251671F;23210022361;29
2020;0251671F;23220022361;19
2020;0251671F;23810025106;23
2020;0251671F;23820025106;24
2020;0251671F;23830025006;21
2020;0251671F;23830025106;18
2020;0251671F;23C20022316;15
2020;0251671F;23C20025101;27
2020;0251671F;32211025005;24
2020;0251671F;32710013401;30
2020;0251671F;32730013401;30
2020;0251711Z;32211031310;22
2020;0251711Z;32211031311;17
2020;0251711Z;32221031309;16
2020;0251711Z;32720013401;15
2020;0251994G;23810025218;57
2020;0251994G;23820025408;18
2020;0251994G;23830025214;38
2020;0251994G;32211031213;32
2020;0251994G;32211032332;12
2020;0251994G;32221025515;17
2020;0251994G;32221031212;27
2020;0251994G;32221031213;23
2020;0251994G;32221032331;12
2020;0251994G;32A11031403;34
2020;0390013C;23210023441;13
2020;0390013C;23830025510;31
2020;0390015E;23820033603;21
2020;0390015E;23830033603;23
2020;0390019J;32211031408;15
2020;0390020K;23210022715;6
2020;0390020K;23210023327;11
2020;0390021L;23210031224;31
2020;0390021L;23220031214;11
2020;0390021L;23220031215;9
2020;0390021L;23810030003;30
2020;0390021L;23810031211;30
2020;0390021L;23820031213;30
2020;0390024P;23C10023412;16
2020;0390024P;32720013401;13
2020;0390027T;23810033101;28
2020;0390027T;23820025006;22
2020;0390027T;32221025519;23
2020;0390029V;23820023407;27
2020;0390029V;23830023407;22
2020;0390029V;32221020008;10
2020;0390029V;32221023411;19
2020;0390033Z;23210022139;7
2020;0390033Z;23820022106;40
2020;0390033Z;32211033204;24
2020;0390033Z;32221033424;21
2020;0390055Y;23210023327;4
2020;0390786T;23810025007;5
2020;0390786T;23830025510;10
2020;0390914G;23210025436;9
2020;0391001B;23210031224;5
2020;0391001B;23220031214;3
2020;0391001B;23810031211;22
2020;0391001B;23830031210;10
2020;0391092A;23210025123;8
2020;0391092A;23810025106;15
2020;0391092A;32211022316;10
2020;0391131T;23220023439;11
2020;0391131T;23810022703;10
2020;0391131T;23820023405;17
2020;0391131T;23830022703;2
2020;0391146J;23810033005;41
2020;0391146J;23820030001;17
2020;0391146J;32211032612;34
2020;0700011G;23110025433;7
2020;0700011G;23830025216;17
2020;0700018P;23210025524;9
2020;0700018P;23810025007;21
2020;0700018P;23830025510;17
2020;0700038L;23210025437;6
2020;0700038L;23210025438;6
2020;0700038L;23810025007;12
2020;0700038L;23810025509;10
2020;0700038L;23830025411;11
2020;0700076C;23830033004;17
2020;0700077D;23210033204;18
2020;0700882D;23220022139;10
2020;0700882D;23810033005;31
2020;0700882D;23820030001;13
2020;0700882D;23830031206;13
2020;0700905D;32211022316;21
2020;0701001H;23220031216;13
2020;0701001H;23830031202;13
2020;0701035V;23810022704;13
2020;0701035V;23820022703;13
2020;0701035V;23830022704;14
2020;0701035V;32221022710;8
2020;0701052N;32221031212;22
2020;0701052N;32221032409;17
2020;0701078S;23210023325;10
2020;0701078S;23810023407;5
2020;0701078S;23810031211;31
2020;0701078S;23820023405;7
2020;0701078S;23820023407;4
2020;0701078S;23820030001;14
2020;0701078S;23830022106;12
2020;0701078S;23830023407;4
2020;0701078S;23830033003;14
2020;0900002N;32221031211;25
2020;0900004R;32221031408;22
2020;0900019G;23820030001;16
2020;0900019G;23830033004;16
2020;0900029T;32211032409;31
2020;0900029T;32221031213;32
2020;0900236T;23820030001;30
2020;0900236T;23820031214;20
2020;0900236T;23830033004;31
2020;0900355X;23810025006;33
2020;0900355X;23810025106;1
2020;0900355X;23830025106;20
2020;0900355X;23830025515;25
2020;0900425Y;23220031216;20
2020;0900425Y;23810030003;21
2020;0900425Y;23830031202;29
2020;0240006B;23810022004;13
2020;0240006B;32211025213;16
2020;0240006B;32211025415;13
2020;0240007C;23210033412;10
2020;0240007C;23810033404;36
2020;0240007C;23820033003;14
2020;0240007C;23830022106;17
2020;0240007C;23830030001;20
2020;0240007C;23830031202;24
2020;0240007C;23830033403;10
2020;0240012H;23220023327;7
2020;0240012H;23810023007;2
2020;0240012H;23830022703;1
2020;0240012H;23830023004;5
2020;0240021T;23810033005;14
2020;0240021T;23830030001;11
2020;0240025X;32221031212;58
2020;0240026Y;23810025218;42
2020;0240026Y;23820025216;20
2020;0240026Y;32211022316;14
2020;0240026Y;32211025215;26
2020;0240028A;23810030003;25
2020;0240028A;23810033006;27
2020;0240028A;23820033003;14
2020;0240028A;23830033002;27
2020;0240028A;23830033004;12
2020;0240039M;23210023441;13
2020;0240039M;23210024322;14
2020;0240039M;23220023441;4
2020;0240048X;23210025524;3
2020;0240048X;23220031216;12
2020;0240050Z;23810030003;14
2020;0240050Z;23810031211;15
2020;0240081H;23220033616;10
2020;0240081H;23810033005;16
2020;0240081H;23910033605;7
2020;0240089S;23810033605;18
2020;0240089S;23820030001;16
2020;0240089S;23820033004;17
2020;0240089S;23820033603;14
2020;0240092V;32221033423;6
2020;0240092V;32420033421;19
2020;0240094X;23210022142;10
2020;0240094X;23810022703;13
2020;0240112S;23210023441;7
2020;0240112S;23220025431;8
2020;0240984P;23210022142;13
2020;0240984P;23820034304;6
2020;0241137F;32221033001;18
2020;0330003Z;32211032612;16
2020;0330011H;23820030001;13
2020;0330011H;23830031202;15
2020;0330011H;23830033004;14
2020;0330018R;23210023118;18
2020;0330018R;23210023324;14
2020;0330018R;23210023441;10
2020;0330018R;23220023324;10
2020;0330018R;23820023208;6
2020;0330018R;23820023304;13
2020;0330018R;23820023405;24
2020;0330018R;23820025220;19
2020;0330018R;23830022703;17
2020;0330018R;23830023304;11
2020;0330027A;32211031408;33
2020;0330027A;32221031212;28
2020;0330028B;32221031408;26
2020;0330028B;32221032611;30
2020;0330028B;32A31031403;37
2020;0330028B;32B11031401;6
2020;0330029C;32211031211;69
2020;0330029C;32221032409;27
2020;0330031E;23220024240;15
2020;0330031E;23810024203;30
2020;0330031E;23820033102;15
2020;0330031E;23830023003;13
2020;0330032F;23810031211;59
2020;0330032F;23820031213;29
2020;0330032F;23830031206;33
2020;0330033G;23810031211;51
2020;0330060L;23210031223;18
2020;0330060L;23210033411;12
2020;0330060L;23210033412;6
2020;0330060L;23220031223;27
2020;0330060L;23810031211;30
2020;0330069W;23220033411;23
2020;0330069W;23810033006;30
2020;0330069W;23820033004;15
2020;0330069W;23830030001;30
2020;0330069W;23830033004;14
2020;0330069W;32211033606;43
2020;0330069W;32221033605;13
2020;0330076D;23210025524;21
2020;0330076D;23820020002;13
2020;0330082K;23810023404;13
2020;0330082K;23820025007;14
2020;0330082K;23820025510;27
