UAI;LIBELLÉFORMATION;MEFSTAT11_old;NB_VOEUX_CONFIRMES;STATUT;CAPACITEPSUP;CFD;CFD rectifié;Rectif;MEFSTAT11;;
0590065A;BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air;32211022710;159;Scolaire;30;32022710;32022710;FALSE;32211022710;;
0590065A;BTS - Production - Electrotechnique;32211025520;171;Scolaire;30;32025520;32025520;FALSE;32211025520;;
9720932F;BTS - Services - Management opérationnel de la sécurité - en apprentissage;32211034401;32;Apprentissage;30;32034401;32034401;FALSE;32211034401;;
0610694Y;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie - en apprentissage;32211033606;52;Apprentissage;5;32033606;32033606;FALSE;32211033606;;
0290018M;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole - en apprentissage;32212021014;60;Apprentissage;26;32321014;32321014;FALSE;32212021014;;
0755662X;BTS - Services - Assurance - en apprentissage;32211031311;177;Apprentissage;;32031311;32031311;FALSE;32211031311;;
0755662X;BTS - Services - Banque conseiller de clientèle - en apprentissage;32211031310;387;Apprentissage;;32031310;32031310;FALSE;32211031310;;
0755662X;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;102;Apprentissage;;32031213;32031213;FALSE;32211031213;;
0755662X;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;138;Apprentissage;;32031212;32031212;FALSE;32211031212;;
0755662X;BTS - Services - Collaborateur juriste notarial - en apprentissage;32211034502;297;Apprentissage;;32034502;32034501;TRUE;32211034501;;
0755662X;BTS - Services - Gestion de la PME - en apprentissage;32211031409;102;Apprentissage;;32031409;32031409;FALSE;32211031409;;
9711278M;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;49;Apprentissage;4;32032409;32032409;FALSE;32211032409;;
0590071G;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;360;Scolaire;35;32031212;32031212;FALSE;32211031212;;
0590071G;BTS - Services - Services informatiques aux organisations;32211032612;679;Scolaire;35;32032612;32032612;FALSE;32211032612;;
0590072H;BTS - Production - Conception et Réalisation de Systèmes Automatiques;32211020111;131;Scolaire;15;32020111;32020111;FALSE;32211020111;;
0590072H;BTS - Production - Systèmes numériques - Option informatique et réseaux;32211020112;1202;Scolaire;45;32020112;32020112;FALSE;32211020112;;
0590072H;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);32211022316;113;Scolaire;15;32022316;32022316;FALSE;32211022316;;
0590072H;BTS - Production - Conception et réalisation en chaudronnerie industrielle;32211025415;193;Scolaire;15;32025415;32025415;FALSE;32211025415;;
0590072H;BTS - Production - Electrotechnique;32211025520;319;Scolaire;30;32025520;32025520;FALSE;32211025520;;
0590072H;BTS - Production - Systèmes numériques - Option informatique et réseaux - en apprentissage;32211020112;128;Apprentissage;15;32020112;32020112;FALSE;32211020112;;
0590072H;BTS - Production - Conception et réalisation en chaudronnerie industrielle - en apprentissage;32211025415;56;Apprentissage;15;32025415;32025415;FALSE;32211025415;;
0590072H;BTS - Production - Electrotechnique - en apprentissage;32211025520;82;Apprentissage;15;32025520;32025520;FALSE;32211025520;;
0590073J;BTS - Services - Commerce International;32211031215;611;Scolaire;35;32031215;32031215;FALSE;32211031215;;
0590073J;BTS - Services - Management Commercial Opérationnel;32211031213;368;Scolaire;35;32031213;32031213;FALSE;32211031213;;
0590073J;BTS - Services - Comptabilité et gestion;32211031408;328;Scolaire;35;32031408;32031408;FALSE;32211031408;;
0590083V;BTS - Production - Assistance technique d'ingénieur;32211025001;144;Scolaire;15;32025001;32025001;FALSE;32211025001;;
0590083V;BTS - Production - Traitement des matériaux - en apprentissage;32211022310;16;Apprentissage;10;32022310;32022310;FALSE;32211022310;;
0590083V;BTS - Services - Comptabilité et gestion;32211031408;82;Scolaire;24;32031408;32031408;FALSE;32211031408;;
0590093F;BTS - Production - Europlastics et composites à référentiel commun européen - option Pilotage et Optimisation de la production;32211022506;45;Scolaire;17;32022506;32022506;FALSE;32211022506;;
0590258K;BTS - Services - Gestion des transports et logistique associée - en apprentissage;32211031103;261;Apprentissage;15;32031103;32031103;FALSE;32211031103;;
0590101P;BTS - Services - Management Commercial Opérationnel;32211031213;311;Scolaire;24;32031213;32031213;FALSE;32211031213;;
0590101P;BTS - Services - Comptabilité et gestion;32211031408;143;Scolaire;22;32031408;32031408;FALSE;32211031408;;
0590102R;BTS - Production - Techniques et services en matériels agricoles - en apprentissage;32211025213;33;Apprentissage;15;32025213;32025213;FALSE;32211025213;;
0590102R;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;155;Apprentissage;15;32031212;32031212;FALSE;32211031212;;
0590110Z;BTS - Services - Management Commercial Opérationnel;32211031213;671;Scolaire;35;32031213;32031213;FALSE;32211031213;;
0590110Z;BTS - Services - Comptabilité et gestion;32211031408;573;Scolaire;24;32031408;32031408;FALSE;32211031408;;
0590112B;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;638;Scolaire;33;32031212;32031212;FALSE;32211031212;;
0590117G;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;1513;Scolaire;35;32031212;32031212;FALSE;32211031212;;
0590117G;BTS - Services - Professions immobilières;32211031309;2326;Scolaire;59;32031309;32031309;FALSE;32211031309;;
0333440K;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;226;Apprentissage;20;32031213;32031213;FALSE;32211031213;;
0332868N;BTS - Services - Prothésiste dentaire - en apprentissage;32211033110;42;Apprentissage;15;32033110;32033110;FALSE;32211033110;;
0590121L;BTS - Production - Conception de produits industriels;32211020009;315;Scolaire;15;32020009;32020009;FALSE;32211020009;;
0590121L;BTS - Production - Conception et Réalisation de Systèmes Automatiques;32211020111;206;Scolaire;15;32020111;32020111;FALSE;32211020111;;
0590121L;BTS - Production - Fluide, énergie, domotique - option A génie climatique et fluidique;32211022709;226;Scolaire;30;32022709;32022709;FALSE;32211022709;;
0590121L;BTS - Production - Maintenance des systèmes - option B Systèmes énergétiques et fluidiques;32211025015;266;Scolaire;15;32025015;32025011;TRUE;32211025011;;
0590121L;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);32211022316;149;Scolaire;15;32022316;32022316;FALSE;32211022316;;
0590121L;BTS - Production - Electrotechnique;32211025520;357;Scolaire;30;32025520;32025520;FALSE;32211025520;;
0590121L;BTS - Production - Systèmes numériques - Option électronique et communication;32211025516;233;Scolaire;15;32025516;32025516;FALSE;32211025516;;
0590121L;BTS - Production - Fluide, énergie, domotique - option A génie climatique et fluidique - en apprentissage;32211022709;127;Apprentissage;13;32022709;32022709;FALSE;32211022709;;
0590121L;BTS - Production - Maintenance des systèmes - option B Systèmes énergétiques et fluidiques - en apprentissage;32211025015;100;Apprentissage;13;32025015;32025011;TRUE;32211025011;;
0590121L;BTS - Services - Etudes de réalisation d'un projet de communication - 1ère année commune;32211032209;814;Scolaire;45;32032209;32032209;FALSE;32211032209;;
0692955M;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;785;Apprentissage;48;32031213;32031213;FALSE;32211031213;;
0692955M;BTS - Services - Gestion de la PME - en apprentissage;32211031409;317;Apprentissage;32;32031409;32031409;FALSE;32211031409;;
0694365V;BTS - Services - Tourisme - en apprentissage;32211033426;301;Apprentissage;20;32033426;32033426;FALSE;32211033426;;
0831770Y;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;166;Apprentissage;25;32031213;32031213;FALSE;32211031213;;
0831770Y;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;33;Apprentissage;15;32032409;32032409;FALSE;32211032409;;
0831769X;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;58;Apprentissage;15;32031213;32031213;FALSE;32211031213;;
0831769X;BTS - Services - Gestion des transports et logistique associée - en apprentissage;32211031103;32;Apprentissage;10;32031103;32031103;FALSE;32211031103;;
0333405X;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;210;Apprentissage;25;32031212;32031212;FALSE;32211031212;;
0942461P;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;552;Apprentissage;25;32031213;32031213;FALSE;32211031213;;
0942461P;BTS - Services - Professions immobilières - en apprentissage;32211031309;429;Apprentissage;25;32031309;32031309;FALSE;32211031309;;
0942461P;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;255;Apprentissage;25;32032409;32032409;FALSE;32211032409;;
9740679V;BTS - Services - Tourisme;32211033426;162;Scolaire;15;32033426;32033426;FALSE;32211033426;;
0632002J;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie - en apprentissage;32211033606;78;Apprentissage;30;32033606;32033606;FALSE;32211033606;;
0401016M;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;93;Apprentissage;20;32031212;32031212;FALSE;32211031212;;
0672959C;BTS - Services - Services informatiques aux organisations - en apprentissage;32211032612;105;Apprentissage;5;32032612;32032612;FALSE;32211032612;;
0672959C;BTS - Services - Gestion de la PME - en apprentissage;32211031409;28;Apprentissage;4;32031409;32031409;FALSE;32211031409;;
0672959C;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;54;Apprentissage;5;32031213;32031213;FALSE;32211031213;;
0682064Z;BTS - Services - Gestion des transports et logistique associée - en apprentissage;32211031103;48;Apprentissage;20;32031103;32031103;FALSE;32211031103;;
0101039A;BTS - Production - Assistance technique d'ingénieur - en apprentissage;32211025001;16;Apprentissage;30;32025001;32025001;FALSE;32211025001;;
0573801X;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;48;Apprentissage;10;32031213;32031213;FALSE;32211031213;;
0490018D;BTS - Services - Gestion des transports et logistique associée - en apprentissage;32211031103;106;Apprentissage;12;32031103;32031103;FALSE;32211031103;;
0380034F;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;795;Apprentissage;16;32031212;32031212;FALSE;32211031212;;
0590258K;BTS - Services - Conseil et commercialisation de solutions techniques - en apprentissage;32211031216;136;Apprentissage;15;32031216;32031216;FALSE;32211031216;;
0590121L;BTS - Services - Etudes de réalisation d'un projet de communication - 1ère année commune - en apprentissage;32211032209;166;Apprentissage;13;32032209;32032209;FALSE;32211032209;;
0590122M;BTS - Production - Bioanalyses et contrôles;32211022207;570;Scolaire;30;32022207;32022207;FALSE;32211022207;;
0590122M;BTS - Production - Biotechnologies;32211022104;495;Scolaire;30;32022104;32022104;FALSE;32211022104;;
0590122M;BTS - Services - Service et prestation des secteurs sanitaire et social;32211033002;747;Scolaire;30;32033002;32033001;TRUE;32211033001;;
0590122M;BTS - Services - Analyses de biologie médicale;32211033109;1937;Scolaire;30;32033109;32033109;FALSE;32211033109;;
0590125R;BTS - Services - Management en hôtellerie restauration - en apprentissage;32211033422;181;Apprentissage;33;32033422;32033422;FALSE;32211033422;;
0590149S;BTS - Production - Conception et réalisation en chaudronnerie industrielle;32211025415;58;Scolaire;15;32025415;32025415;FALSE;32211025415;;
0590149S;BTS - Production - Electrotechnique;32211025520;261;Scolaire;30;32025520;32025520;FALSE;32211025520;;
0590184E;BTS - Production - Systèmes numériques - Option informatique et réseaux;32211020112;608;Scolaire;30;32020112;32020112;FALSE;32211020112;;
0590184E;BTS - Production - Systèmes numériques - Option informatique et réseaux - en apprentissage;32211020112;178;Apprentissage;10;32020112;32020112;FALSE;32211020112;;
0590184E;BTS - Services - Photographie;32211032325;426;Scolaire;26;32032325;32032325;FALSE;32211032325;;
0590184E;BTS - Services - Métiers de l'audio-visuel opt : métiers de l'image;32211032329;956;Scolaire;13;32032329;32032329;FALSE;32211032329;;
0590184E;BTS - Services - Métiers de l'audio-visuel opt : métiers du son;32211032330;779;Scolaire;13;32032330;32032330;FALSE;32211032330;;
0590184E;BTS - Services - Métiers de l'audio-visuel opt : montage et post-production;32211032332;1020;Scolaire;13;32032332;32032332;FALSE;32211032332;;
0590184E;BTS - Services - Métiers de l'audio-visuel opt : techn. d'ingeniérie et exploit. équipements;32211032331;266;Scolaire;13;32032331;32032331;FALSE;32211032331;;
0590184E;BTS - Services - Métiers de l'audio-visuel opt : gestion de la production;32211032328;469;Scolaire;13;32032328;32032328;FALSE;32211032328;;
0590185F;BTS - Services - Support à l'action managériale;32211032409;445;Scolaire;32;32032409;32032409;FALSE;32211032409;;
0590185F;BTS - Services - Management Commercial Opérationnel;32211031213;852;Scolaire;32;32031213;32031213;FALSE;32211031213;;
0590185F;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;736;Scolaire;32;32031212;32031212;FALSE;32211031212;;
0590185F;BTS - Services - Assurance;32211031311;596;Scolaire;32;32031311;32031311;FALSE;32211031311;;
0590185F;BTS - Services - Comptabilité et gestion;32211031408;425;Scolaire;32;32031408;32031408;FALSE;32211031408;;
0590192N;BTS - Services - Comptabilité et gestion;32211031408;402;Scolaire;35;32031408;32031408;FALSE;32211031408;;
0741710G;BTS - Services - Gestion de la PME - en apprentissage;32211031409;76;Apprentissage;20;32031409;32031409;FALSE;32211031409;;
0741710G;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;140;Apprentissage;25;32031212;32031212;FALSE;32211031212;;
0300002P;BTS - Production - Conception des processus de réalisation de produits (1ère année commune) - en apprentissage;32211022316;26;Apprentissage;12;32022316;32022316;FALSE;32211022316;;
0731519E;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;40;Apprentissage;20;32031213;32031213;FALSE;32211031213;;
0741781J;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;88;Apprentissage;10;32031212;32031212;FALSE;32211031212;;
0061610T;BTS - Services - Comptabilité et gestion - en apprentissage;32211031408;65;Apprentissage;20;32031408;32031408;FALSE;32211031408;;
0061610T;BTS - Services - Gestion de la PME - en apprentissage;32211031409;79;Apprentissage;20;32031409;32031409;FALSE;32211031409;;
0061610T;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;151;Apprentissage;20;32031213;32031213;FALSE;32211031213;;
0061610T;BTS - Services - Commerce International - en apprentissage;32211031215;225;Apprentissage;10;32031215;32031215;FALSE;32211031215;;
0061610T;BTS - Services - Professions immobilières - en apprentissage;32211031309;327;Apprentissage;20;32031309;32031309;FALSE;32211031309;;
0831774C;BTS - Services - Management opérationnel de la sécurité - en apprentissage;32211034401;94;Apprentissage;30;32034401;32034401;FALSE;32211034401;;
0830662U;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;116;Apprentissage;40;32031212;32031212;FALSE;32211031212;;
0830662U;BTS - Services - Services informatiques aux organisations - en apprentissage;32211032612;67;Apprentissage;40;32032612;32032612;FALSE;32211032612;;
0830662U;BTS - Services - Collaborateur juriste notarial - en apprentissage;32211034502;87;Apprentissage;40;32034502;32034501;TRUE;32211034501;;
0062201K;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;127;Apprentissage;40;32031212;32031212;FALSE;32211031212;;
0062201K;BTS - Services - Services informatiques aux organisations - en apprentissage;32211032612;102;Apprentissage;40;32032612;32032612;FALSE;32211032612;;
0062173E;BTS - Services - Communication - en apprentissage;32211032002;194;Apprentissage;30;32032002;32032002;FALSE;32211032002;;
0831693P;BTS - Services - Assurance - en apprentissage;32211031311;49;Apprentissage;15;32031311;32031311;FALSE;32211031311;;
0580555N;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;36;Apprentissage;20;32031213;32031213;FALSE;32211031213;;
0081059H;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;42;Apprentissage;30;32031213;32031213;FALSE;32211031213;;
0312550D;BTS - Services - Service et prestation des secteurs sanitaire et social - en apprentissage;32211033002;120;Apprentissage;45;32033002;32033001;TRUE;32211033001;;
0672866B;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;227;Apprentissage;50;32031212;32031212;FALSE;32211031212;;
0672866B;BTS - Services - Gestion de la PME - en apprentissage;32211031409;173;Apprentissage;50;32031409;32031409;FALSE;32211031409;;
0672866B;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;228;Apprentissage;60;32031213;32031213;FALSE;32211031213;;
0672959C;BTS - Services - Professions immobilières - en apprentissage;32211031309;95;Apprentissage;5;32031309;32031309;FALSE;32211031309;;
0672735J;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;162;Apprentissage;35;32031212;32031212;FALSE;32211031212;;
0672735J;BTS - Services - Gestion de la PME - en apprentissage;32211031409;203;Apprentissage;35;32031409;32031409;FALSE;32211031409;;
0672877N;BTS - Services - Communication - en apprentissage;32211032002;253;Apprentissage;35;32032002;32032002;FALSE;32211032002;;
0672877N;BTS - Services - Tourisme - en apprentissage;32211033426;158;Apprentissage;35;32033426;32033426;FALSE;32211033426;;
0030935A;BTS - Services - Banque conseiller de clientèle;32211031310;196;Scolaire;18;32031310;32031310;FALSE;32211031310;;
0851461B;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;203;Apprentissage;40;32031212;32031212;FALSE;32211031212;;
0851461B;BTS - Services - Gestion de la PME - en apprentissage;32211031409;74;Apprentissage;40;32031409;32031409;FALSE;32211031409;;
0134296Z;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;62;Apprentissage;20;32031212;32031212;FALSE;32211031212;;
0134296Z;BTS - Services - Gestion des transports et logistique associée - en apprentissage;32211031103;48;Apprentissage;18;32031103;32031103;FALSE;32211031103;;
0261505V;BTS - Production - Systèmes numériques - Option informatique et réseaux - en apprentissage;32211020112;96;Apprentissage;3;32020112;32020112;FALSE;32211020112;;
0261505V;BTS - Production - Systèmes numériques - Option électronique et communication - en apprentissage;32211025516;41;Apprentissage;3;32025516;32025516;FALSE;32211025516;;
0442770X;BTS - Services - Opticien-Lunetier - en apprentissage;32211033107;165;Apprentissage;20;32033107;32033107;FALSE;32211033107;;
