UAI;LIBELLÉFORMATION;MEFSTAT11_old;NB_VOEUX_CONFIRMES;STATUT;CAPACITEPSUP;CFD;CFD rectifié;Rectif;MEFSTAT11;;
0930126G;BTS - Services - Services informatiques aux organisations;32211032612;1860;Scolaire;24;32032612;32032612;FALSE;32211032612;;
0572590F;BTS - Production - Enveloppe des bâtiments : conception et réalisation;32211023205;150;Scolaire;15;32023205;32023205;FALSE;32211023205;;
0572590F;BTS - Production - Fluide, énergie, domotique - option A génie climatique et fluidique;32211022709;192;Scolaire;24;32022709;32022709;FALSE;32211022709;;
0572590F;BTS - Production - Travaux publics;32211023107;241;Scolaire;15;32023107;32023107;FALSE;32211023107;;
0572590F;BTS - Production - Motorisations toutes énergies;32211025219;136;Scolaire;10;32025219;32025214;TRUE;32211025214;;
0572590F;BTS - Production - Maintenance des véhicules option voitures particulières;32211025215;149;Scolaire;24;32025215;32025215;FALSE;32211025215;;
0570057C;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;718;Apprentissage;60;32031213;32031213;FALSE;32211031213;;
0570057C;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;650;Apprentissage;30;32031212;32031212;FALSE;32211031212;;
0570057C;BTS - Services - Services informatiques aux organisations - en apprentissage;32211032612;290;Apprentissage;30;32032612;32032612;FALSE;32211032612;;
0570057C;BTS - Services - Tourisme - en apprentissage;32211033426;392;Apprentissage;30;32033426;32033426;FALSE;32211033426;;
0572757M;BTS - Production - Bioanalyses et contrôles;32211022207;624;Scolaire;15;32022207;32022207;FALSE;32211022207;;
0572757M;BTS - Services - Economie sociale familiale;32211033206;795;Scolaire;59;32033206;32033204;TRUE;32211033204;;
0573227Y;BTS - Production - Electrotechnique;32211025520;291;Scolaire;30;32025520;32025520;FALSE;32211025520;;
0573231C;BTS - Production - Systèmes numériques - Option informatique et réseaux;32211020112;129;Scolaire;15;32020112;32020112;FALSE;32211020112;;
0573231C;BTS - Production - Systèmes numériques - Option électronique et communication;32211025516;293;Scolaire;15;32025516;32025516;FALSE;32211025516;;
0573281G;BTS - Production - Systèmes numériques - Option électronique et communication;32211025516;410;Scolaire;24;32025516;32025516;FALSE;32211025516;;
0573281G;BTS - Services - Communication;32211032002;2256;Scolaire;30;32032002;32032002;FALSE;32211032002;;
0573281G;BTS - Services - Métiers de l'audio-visuel opt : métiers de l'image;32211032329;828;Scolaire;6;32032329;32032329;FALSE;32211032329;;
0573281G;BTS - Services - Métiers de l'audio-visuel opt : métiers du son;32211032330;599;Scolaire;6;32032330;32032330;FALSE;32211032330;;
0573281G;BTS - Services - Métiers de l'audio-visuel opt : montage et post-production;32211032332;771;Scolaire;6;32032332;32032332;FALSE;32211032332;;
0573281G;BTS - Services - Métiers de l'audio-visuel opt : techn. d'ingeniérie et exploit. équipements;32211032331;273;Scolaire;6;32032331;32032331;FALSE;32211032331;;
0573320Z;BTS - Services - Management en hôtellerie restauration;32211033422;260;Scolaire;60;32033422;32033422;FALSE;32211033422;;
0596868V;BTS - Services - Opticien-Lunetier - en apprentissage;32211033107;352;Apprentissage;20;32033107;32033107;FALSE;32211033107;;
0573519R;BTS - Services - Opticien-Lunetier;32211033107;180;Scolaire;48;32033107;32033107;FALSE;32211033107;;
0573770N;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie;32211033606;97;Scolaire;35;32033606;32033606;FALSE;32211033606;;
0580014A;BTS - Production - Métiers de l'eau;32211020114;243;Scolaire;24;32020114;32020114;FALSE;32211020114;;
0580031U;BTS - Production - Conception et Réalisation de Systèmes Automatiques;32211020111;131;Scolaire;24;32020111;32020111;FALSE;32211020111;;
0580031U;BTS - Production - Electrotechnique;32211025520;390;Scolaire;15;32025520;32025520;FALSE;32211025520;;
0580032V;BTS - Services - Support à l'action managériale;32211032409;129;Scolaire;24;32032409;32032409;FALSE;32211032409;;
0580032V;BTS - Services - Management Commercial Opérationnel;32211031213;252;Scolaire;24;32031213;32031213;FALSE;32211031213;;
0593063J;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;50;Apprentissage;12;32031212;32031212;FALSE;32211031212;;
0690279D;BTS - Agricole - Analyses agricoles biologiques et biotechnologiques - en apprentissage;32212022111;338;Apprentissage;28;32322111;32322111;FALSE;32212022111;;
0593117T;BTS - Services - Professions immobilières - en apprentissage;32211031309;393;Apprentissage;20;32031309;32031309;FALSE;32211031309;;
0593117T;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;231;Apprentissage;20;32031213;32031213;FALSE;32211031213;;
0592965C;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;96;Apprentissage;;32031212;32031212;FALSE;32211031212;;
0594278E;BTS - Production - Assistance technique d'ingénieur - en apprentissage;32211025001;17;Apprentissage;;32025001;32025001;FALSE;32211025001;;
0680073K;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;69;Apprentissage;4;32032409;32032409;FALSE;32211032409;;
0580032V;BTS - Services - Comptabilité et gestion;32211031408;359;Scolaire;18;32031408;32031408;FALSE;32211031408;;
0580032V;BTS - Services - Services informatiques aux organisations;32211032612;420;Scolaire;24;32032612;32032612;FALSE;32211032612;;
0580055V;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole;32212021014;315;Scolaire;19;32321014;32321014;FALSE;32212021014;;
0580055V;BTS - Agricole - productions animales;32212021205;403;Scolaire;34;32321205;32321205;FALSE;32212021205;;
0580055V;BTS - Agricole - Gestion et maitrise de l'eau;32212034302;269;Scolaire;29;32334302;32334302;FALSE;32212034302;;
0580071M;BTS - Services - Support à l'action managériale;32211032409;79;Scolaire;24;32032409;32032409;FALSE;32211032409;;
0580071M;BTS - Services - Service et prestation des secteurs sanitaire et social;32211033002;119;Scolaire;23;32033002;32033001;TRUE;32211033001;;
0580071M;BTS - Services - Management Commercial Opérationnel;32211031213;195;Scolaire;24;32031213;32031213;FALSE;32211031213;;
0580552K;BTS - Services - Tourisme;32211033426;149;Scolaire;24;32033426;32033426;FALSE;32211033426;;
0580582T;BTS - Agricole - Aquaculture;32212021206;200;Scolaire;27;32321206;32321206;FALSE;32212021206;;
0580739N;BTS - Agricole - Aménagements paysagers - en apprentissage;32212021401;54;Apprentissage;24;32321401;32321401;FALSE;32212021401;;
0741710G;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;140;Apprentissage;40;32031213;32031213;FALSE;32211031213;;
0580761M;BTS - Services - Gestion de la PME;32211031409;82;Scolaire;18;32031409;32031409;FALSE;32211031409;;
0891185E;BTS - Production - Maintenance des systèmes - option A Systèmes de production - en apprentissage;32211025014;18;Apprentissage;20;32025014;32025010;TRUE;32211025010;;
0580071M;BTS - Production - Maintenance des véhicules option voitures particulières;32211025215;124;Scolaire;12;32025215;32025215;FALSE;32211025215;;
0590010R;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;587;Scolaire;33;32031212;32031212;FALSE;32211031212;;
0590010R;BTS - Services - Gestion de la PME;32211031409;541;Scolaire;33;32031409;32031409;FALSE;32211031409;;
0590010R;BTS - Services - Comptabilité et gestion;32211031408;160;Scolaire;23;32031408;32031408;FALSE;32211031408;;
0590011S;BTS - Production - Fonderie;32211022314;75;Scolaire;18;32022314;32022314;FALSE;32211022314;;
0590258K;BTS - Services - Communication - en apprentissage;32211032002;704;Apprentissage;15;32032002;32032002;FALSE;32211032002;;
0590011S;BTS - Production - Conception de produits industriels;32211020009;128;Scolaire;18;32020009;32020009;FALSE;32211020009;;
0590011S;BTS - Production - Systèmes numériques - Option informatique et réseaux;32211020112;354;Scolaire;35;32020112;32020112;FALSE;32211020112;;
0590011S;BTS - Production - Métiers de la mesure;32211020115;65;Scolaire;18;32020115;32020115;FALSE;32211020115;;
0590011S;BTS - Production - Métiers de la chimie;32211022208;384;Scolaire;35;32022208;32022208;FALSE;32211022208;;
0590011S;BTS - Production - Assistance technique d'ingénieur;32211025001;195;Scolaire;18;32025001;32025001;FALSE;32211025001;;
0590011S;BTS - Production - Systèmes numériques - Option électronique et communication;32211025516;236;Scolaire;18;32025516;32025516;FALSE;32211025516;;
0590018Z;BTS - Services - Management en hôtellerie restauration;32211033422;97;Scolaire;36;32033422;32033422;FALSE;32211033422;;
0590034S;BTS - Production - Electrotechnique;32211025520;449;Scolaire;30;32025520;32025520;FALSE;32211025520;;
0590034S;BTS - Services - Management Commercial Opérationnel;32211031213;425;Scolaire;35;32031213;32031213;FALSE;32211031213;;
0590034S;BTS - Services - Professions immobilières;32211031309;671;Scolaire;24;32031309;32031309;FALSE;32211031309;;
0590034S;BTS - Services - Comptabilité et gestion;32211031408;180;Scolaire;35;32031408;32031408;FALSE;32211031408;;
0590035T;BTS - Services - Support à l'action managériale;32211032409;245;Scolaire;24;32032409;32032409;FALSE;32211032409;;
0590035T;BTS - Services - Commerce International;32211031215;313;Scolaire;24;32031215;32031215;FALSE;32211031215;;
0590035T;BTS - Services - Tourisme;32211033426;459;Scolaire;36;32033426;32033426;FALSE;32211033426;;
0590042A;BTS - Services - Gestion de la PME;32211031409;104;Scolaire;35;32031409;32031409;FALSE;32211031409;;
0590060V;BTS - Production - Maintenance des systèmes - option A Systèmes de production;32211025014;134;Scolaire;18;32025014;32025010;TRUE;32211025010;;
0590060V;BTS - Production - Conception et industrialisation en microtechniques;32211025005;205;Scolaire;18;32025005;32025005;FALSE;32211025005;;
0590060V;BTS - Services - Conseil et commercialisation de solutions techniques;32211031216;515;Scolaire;38;32031216;32031216;FALSE;32211031216;;
0590064Z;BTS - Services - Support à l'action managériale;32211032409;250;Scolaire;22;32032409;32032409;FALSE;32211032409;;
0590064Z;BTS - Services - Commerce International;32211031215;872;Scolaire;33;32031215;32031215;FALSE;32211031215;;
0590064Z;BTS - Services - Management Commercial Opérationnel;32211031213;721;Scolaire;33;32031213;32031213;FALSE;32211031213;;
0590065A;BTS - Production - Systèmes numériques - Option informatique et réseaux;32211020112;285;Scolaire;30;32020112;32020112;FALSE;32211020112;;
