Etablissement d'accueil;Sigle de l'établissement d'accueil;Libellé de l'établissement d'accueil;Commune de l'établissement d'accueil;Département de l'établissement d'accueil;Libellé voie d’orientation;Mnémonique MEF national de rattachement;Code spécialité du MEF national de rattachement;MEF STAT 11;Libellé du MEF national de rattachement;Type de MEF;Code Ministère;Secteur ;Palier minimum autorisé pour la saisie du voeu;Voeu de recensement O/N;Statut Offre de formation;Capacité carte scolaire;Capacité d'affectation;Taux de pression (Total demandes vœux 1 / Capacité carte scolaire);Demandes vœux 1;Demandes tous vœux;Affectés voeu 1;Affectés tous vœux
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERE PROFESSIONNELLE;1ERPRO;22707.0;23820022707;1ERPRO INSTAL.CHAUF.CLIMAT.ENERG.RENOUV.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;1,4;21;51;13;15
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERE PROFESSIONNELLE;1ERPRO;23303.0;23820023303;1ERPRO MENUISERIE ALUMINIUM-VERRE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;0,87;13;17;13;15
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERE PROFESSIONNELLE;1ERPRO;23404.0;23820023404;1ERPRO TECHNICIEN CONSTRUCTEUR BOIS;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;0,93;14;18;13;15
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERE PROFESSIONNELLE;1ERPRO;25012.0;23820025012;1ERPRO MAINTENANCE SYST.PRODUC.CONNECTES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;0,93;14;27;12;15
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERE PROFESSIONNELLE;1ERPRO;25411.0;23820025411;1ERPRO TECH.CHAUDRONNERIE INDUSTRIELLE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;1,47;22;27;13;15
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERE PROFESSIONNELLE;1ERPRO;25520.0;23820025520;1ERPRO METIERS ELECT. ENVIRON. CONNECTES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;1,47;22;64;14;15
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERE PROFESSIONNELLE;1ERPRO;30004.0;23820030004;1ERPRO ASSISTANC.GEST.ORGANIS.ACTIVITES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;28;28;1,25;35;85;26;28
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERE PROFESSIONNELLE;1ERPRO;31106.0;23820031106;1ERPRO LOGISTIQUE (Nouveau);National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;16;16;1,63;26;81;12;16
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERE PROFESSIONNELLE;1ERPRO;31114.0;23820031114;1ERPRO ORGANIS. TRANSPORT MARCHANDISES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;16;16;1,19;19;69;15;16
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERE PROFESSIONNELLE;1ERPRO;31213.0;23820031213;1ERPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;14;28;3,57;50;90;27;28
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;1ERE PROFESSIONNELLE;1ERPRO;31214.0;23820031214;1ERPRO MET.COM.VEN.OP.B PR.CL.VA.OF.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;14;1;0,71;10;63;0;0
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;CAP;1CAP2;22715.0;23210022715;1CAP2  MONTEUR INSTALLATIONS THERMIQUES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;15;16;0,73;11;108;4;16
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;CAP;1CAP2;23446.0;23210023446;1CAP2  CHARPENTIER BOIS;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;15;16;0,53;8;56;7;16
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;CAP;1CAP2;25524.0;23210025524;1CAP2  ELECTRICIEN;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;12;12;2,25;27;120;7;12
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;CAP;1CAP2;31122.0;23210031122;1CAP2  OPERATEUR/OPERATRICE LOGISTIQUE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;15;15;1,33;20;101;11;15
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;CAP;1CAP2;31224.0;23210031224;1CAP2  EQUIPIER POLYVALENT DU COMMERCE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;15;17;2;30;167;5;17
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;20006.0;23810020006;2NDPRO MET.CON.DUR.BAT.&TRA.PUB.2NDE COM;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;15;16;0,13;2;53;1;16
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;20008.0;23810020008;2NDPRO MET.TRANSIT.NUMER.ENERG.2NDE COMM;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;30;30;1,53;46;167;24;30
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;20103.0;23810020103;2NDPRO MET.REAL.ENS.MEC.IND.2NDE COMMUNE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;15;15;1,8;27;66;11;15
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;20104.0;23810020104;2NDPRO MET.PIL.MAINT.INST.AUTO.2NDE COMM;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;15;15;1,13;17;63;11;15
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;23404.0;23810023404;2NDPRO TECHNICIEN CONSTRUCTEUR BOIS;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;15;16;0,07;1;35;1;14
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;30003.0;23810030003;2NDPRO MET.GEST.ADM.,TRA.&LOG.2NDE COMM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;56;57;0,55;31;151;27;57
0010001W;LP LYC METIER;ALEXANDRE BERARD;AMBERIEU-EN-BUGEY;AIN;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;31211.0;23810031211;2NDPRO MET. RELATION CLIENT 2NDE COMMUNE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;24;26;2,13;51;201;20;26
0010826T;OF CFA AMBERIE;CECOF BERNARD PALISSY;AMBERIEU-EN-BUGEY;AIN;CAP;1CAP2;22137.0;23210022137;1CAP2  BOULANGER;National;MINISTERE DE L'EDUCATION NATIONALE;PRIVE;3eme;N;AP;999;999;0,02;15;32;0;0
0010826T;OF CFA AMBERIE;CECOF BERNARD PALISSY;AMBERIEU-EN-BUGEY;AIN;CAP;1CAP2;22141.0;23210022141;1CAP2  PATISSIER;National;MINISTERE DE L'EDUCATION NATIONALE;PRIVE;3eme;N;AP;999;999;0,03;26;63;0;0
0010826T;OF CFA AMBERIE;CECOF BERNARD PALISSY;AMBERIEU-EN-BUGEY;AIN;CAP;1CAP2;22143.0;23210022143;1CAP2  BOUCHER;National;MINISTERE DE L'EDUCATION NATIONALE;PRIVE;3eme;N;AP;999;999;0,01;14;23;0;0
0010826T;OF CFA AMBERIE;CECOF BERNARD PALISSY;AMBERIEU-EN-BUGEY;AIN;CAP;1CAP2;22144.0;23210022144;1CAP2  CHARCUTERIE-TRAITEUR;National;MINISTERE DE L'EDUCATION NATIONALE;PRIVE;3eme;N;AP;999;999;0,01;7;12;0;0
0010826T;OF CFA AMBERIE;CECOF BERNARD PALISSY;AMBERIEU-EN-BUGEY;AIN;CAP;1CAP2;22146.0;23210022146;1CAP2  CUISINE;National;MINISTERE DE L'EDUCATION NATIONALE;PRIVE;3eme;N;AP;999;999;0,03;30;67;0;0
0010826T;OF CFA AMBERIE;CECOF BERNARD PALISSY;AMBERIEU-EN-BUGEY;AIN;CAP;1CAP2;31223.0;23210031223;1CAP2  FLEURISTE;National;MINISTERE DE L'EDUCATION NATIONALE;PRIVE;3eme;N;AP;999;999;0,01;7;15;0;0
0010826T;OF CFA AMBERIE;CECOF BERNARD PALISSY;AMBERIEU-EN-BUGEY;AIN;CAP;1CAP2;31224.0;23210031224;1CAP2  EQUIPIER POLYVALENT DU COMMERCE;National;MINISTERE DE L'EDUCATION NATIONALE;PRIVE;3eme;N;AP;999;999;0,03;31;90;0;0
0010826T;OF CFA AMBERIE;CECOF BERNARD PALISSY;AMBERIEU-EN-BUGEY;AIN;CAP;1CAP2;33413.0;23210033413;1CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT;National;MINISTERE DE L'EDUCATION NATIONALE;PRIVE;3eme;N;AP;999;999;0,01;11;40;0;0
0010826T;OF CFA AMBERIE;CECOF BERNARD PALISSY;AMBERIEU-EN-BUGEY;AIN;CAP;1CAP2;33616.0;23210033616;1CAP2  METIERS DE LA COIFFURE;National;MINISTERE DE L'EDUCATION NATIONALE;PRIVE;3eme;N;AP;999;999;0,03;32;78;0;0
0010826T;OF CFA AMBERIE;CECOF BERNARD PALISSY;AMBERIEU-EN-BUGEY;AIN;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;31213.0;23810031213;2NDPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PRIVE;3eme;N;AP;999;999;0,01;11;44;0;0
0011074M;MFREO;DE BAGE LE CHATEL;BAGE-LE-CHATEL;AIN;CAP;1CAP2A;21405.0;23211021405;1CAP2A JARDINIER PAYSAGISTE;National;AGRICULTURE;PRIVE;3eme;N;AP;999;999;0,01;12;23;0;0
0011074M;MFREO;DE BAGE LE CHATEL;BAGE-LE-CHATEL;AIN;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2DPROA;21004.0;23811021004;2DPROA CGEA;National;AGRICULTURE;PRIVE;3eme;N;AP;999;999;0,01;9;18;0;0
0011074M;MFREO;DE BAGE LE CHATEL;BAGE-LE-CHATEL;AIN;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2DPROA;21004.0;23811021004;2DPROA CGEA;Affectation;AGRICULTURE;PRIVE;3eme;N;ST;25;7;0,28;7;10;7;7
0011074M;MFREO;DE BAGE LE CHATEL;BAGE-LE-CHATEL;AIN;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2DPROA;21004.0;23811021004;2DPROA CGEA;Affectation;AGRICULTURE;PRIVE;3eme;N;ST;25;6;0,12;3;6;3;4
0011268Y;OF-CFA;FRMFREO BALAN;BALAN;AIN;CAP;1CAP2;22137.0;23210022137;1CAP2  BOULANGER;National;MINISTERE DE L'EDUCATION NATIONALE;PRIVE;3eme;N;AP;999;999;0,02;17;31;0;0
0011268Y;OF-CFA;FRMFREO BALAN;BALAN;AIN;CAP;1CAP2;22141.0;23210022141;1CAP2  PATISSIER;National;MINISTERE DE L'EDUCATION NATIONALE;PRIVE;3eme;N;AP;999;999;0,03;26;46;0;0
0011268Y;OF-CFA;FRMFREO BALAN;BALAN;AIN;CAP;1CAP2;22146.0;23210022146;1CAP2  CUISINE;National;MINISTERE DE L'EDUCATION NATIONALE;PRIVE;3eme;N;AP;999;999;0,04;35;56;0;0
0011268Y;OF-CFA;FRMFREO BALAN;BALAN;AIN;CAP;1CAP2;33413.0;23210033413;1CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT;National;MINISTERE DE L'EDUCATION NATIONALE;PRIVE;3eme;N;AP;999;999;0,01;12;20;0;0
0011446S;CFPPA;DE CIBEINS - MISERIEUX;BELLEY;AIN;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2DPROA;21214.0;23811021214;2DPROA COND ACTIVITE ELEVAGE CANIN FELIN;National;AGRICULTURE;PUBLIC;3eme;N;AP;999;999;0,01;7;19;0;0
0011258M;LP PR;INSTITUTION SAINTE ANNE - LAMA;BELLEY;AIN;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;20008.0;23810020008;2NDPRO MET.TRANSIT.NUMER.ENERG.2NDE COMM;National;MINISTERE DE L'EDUCATION NATIONALE;PRIVE;3eme;N;ST;15;11;0,73;11;20;9;9
0011258M;LP PR;INSTITUTION SAINTE ANNE - LAMA;BELLEY;AIN;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;31211.0;23810031211;2NDPRO MET. RELATION CLIENT 2NDE COMMUNE;National;MINISTERE DE L'EDUCATION NATIONALE;PRIVE;3eme;N;ST;18;15;0,67;12;20;10;11
0011010T;SEP;LPO DU BUGEY;BELLEY;AIN;1ERE PROFESSIONNELLE;1ERPRO;25517.0;23820025517;1ERPRO MET.FROID & ENERGIES RENOUVEL.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;0,27;4;19;4;10
0011010T;SEP;LPO DU BUGEY;BELLEY;AIN;1ERE PROFESSIONNELLE;1ERPRO;25520.0;23820025520;1ERPRO METIERS ELECT. ENVIRON. CONNECTES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;1,4;21;32;13;15
0011010T;SEP;LPO DU BUGEY;BELLEY;AIN;1ERE PROFESSIONNELLE;1ERPRO;33007.0;23820033007;1ERPRO ACCOMP. SOINS-SERVICES PERSONNE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;24;24;1,21;29;33;24;24
0011010T;SEP;LPO DU BUGEY;BELLEY;AIN;CAP;1CAP2;22142.0;23210022142;1CAP2  PROD.SERV.REST. (RAPID,COLL,CAFE);National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;12;12;0,92;11;37;7;12
0011010T;SEP;LPO DU BUGEY;BELLEY;AIN;CAP;1CAP2;25524.0;23210025524;1CAP2  ELECTRICIEN;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;15;16;0,87;13;40;9;16
0011010T;SEP;LPO DU BUGEY;BELLEY;AIN;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;20008.0;23810020008;2NDPRO MET.TRANSIT.NUMER.ENERG.2NDE COMM;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;30;31;0,37;11;42;11;25
0011010T;SEP;LPO DU BUGEY;BELLEY;AIN;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;33007.0;23810033007;2NDPRO ACCOMP. SOINS-SERVICES PERSONNE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;24;24;1,21;29;60;16;24
0011119L;LPO;ARBEZ CARME - PAINLEVE;BELLIGNAT;AIN;1ERE PROFESSIONNELLE;1ERPRO;20009.0;23820020009;1ERPRO MODELISATION ET PROTOTYPAGE 3D;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;0,93;14;22;13;15
0011119L;LPO;ARBEZ CARME - PAINLEVE;BELLIGNAT;AIN;1ERE PROFESSIONNELLE;1ERPRO;22503.0;23820022503;1ERPRO PLASTIQUES ET COMPOSITES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;1,07;16;20;13;15
0011119L;LPO;ARBEZ CARME - PAINLEVE;BELLIGNAT;AIN;1ERE PROFESSIONNELLE;1ERPRO;25012.0;23820025012;1ERPRO MAINTENANCE SYST.PRODUC.CONNECTES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;0,6;9;23;8;15
0011119L;LPO;ARBEZ CARME - PAINLEVE;BELLIGNAT;AIN;1ERE PROFESSIONNELLE;1ERPRO;25013.0;23820025013;1ERPRO TEC.REAL.PR.MEC.OP.REAL.MAI.OUT.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;0,6;9;19;9;14
0011119L;LPO;ARBEZ CARME - PAINLEVE;BELLIGNAT;AIN;1ERE PROFESSIONNELLE;1ERPRO;25519.0;23820025519;1ERPRO CYBER.INFORM.&RESEAUX ELECTRON.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;1,8;27;38;14;15
0011119L;LPO;ARBEZ CARME - PAINLEVE;BELLIGNAT;AIN;1ERE PROFESSIONNELLE;1ERPRO;32208.0;23820032208;1ERPRO REAL.PR.IMPR.PLURI.OPTB.PR.IMPR.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;0,67;10;21;9;15
0011119L;LPO;ARBEZ CARME - PAINLEVE;BELLIGNAT;AIN;1ERE PROFESSIONNELLE;1ERPRO;32303.0;23820032303;1ERPRO ART.& MET.ART:COM.VIS.VIS.PLURI-M;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;1,47;22;40;15;15
0011119L;LPO;ARBEZ CARME - PAINLEVE;BELLIGNAT;AIN;CAP;1CAP2;20101.0;23210020101;1CAP2  CONDUCT. INSTALLATIONS PRODUCTION;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;15;16;0,47;7;40;5;16
0011119L;LPO;ARBEZ CARME - PAINLEVE;BELLIGNAT;AIN;CAP;1CAP2;32225.0;23210032225;1CAP2  SERIGRAPHIE INDUSTRIELLE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;12;12;0,5;6;43;4;12
0011119L;LPO;ARBEZ CARME - PAINLEVE;BELLIGNAT;AIN;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;20008.0;23810020008;2NDPRO MET.TRANSIT.NUMER.ENERG.2NDE COMM;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;15;15;2,93;44;102;15;15
0011119L;LPO;ARBEZ CARME - PAINLEVE;BELLIGNAT;AIN;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;20009.0;23810020009;2NDPRO MODELISATION ET PROTOTYPAGE 3D;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;15;15;0,93;14;65;10;15
0011119L;LPO;ARBEZ CARME - PAINLEVE;BELLIGNAT;AIN;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;20103.0;23810020103;2NDPRO MET.REAL.ENS.MEC.IND.2NDE COMMUNE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;15;15;0,53;8;39;6;15
0011119L;LPO;ARBEZ CARME - PAINLEVE;BELLIGNAT;AIN;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;20104.0;23810020104;2NDPRO MET.PIL.MAINT.INST.AUTO.2NDE COMM;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;15;15;0,73;11;60;6;15
0011119L;LPO;ARBEZ CARME - PAINLEVE;BELLIGNAT;AIN;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;22503.0;23810022503;2NDPRO PLASTIQUES ET COMPOSITES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;15;16;0,53;8;46;7;16
0011119L;LPO;ARBEZ CARME - PAINLEVE;BELLIGNAT;AIN;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;32210.0;23810032210;2NDPRO MET.INDUS.GRAPH.&COMM.2NDE COMM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;15;16;0,33;5;42;4;16
0011119L;LPO;ARBEZ CARME - PAINLEVE;BELLIGNAT;AIN;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;32303.0;23810032303;2NDPRO ART.& MET.ART:COM.VIS.VIS.PLURI-M;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;15;15;2;30;86;15;15
0011444P;CFPPA;DE BOURG EN BRESSE;BOURG-EN-BRESSE;AIN;CAP;1CAP2A;21130.0;23211021130;1CAP2A METIERS DE L'AGRICULTURE;National;AGRICULTURE;PUBLIC;3eme;N;AP;999;999;0,01;11;21;0;0
0011444P;CFPPA;DE BOURG EN BRESSE;BOURG-EN-BRESSE;AIN;CAP;1CAP2A;21405.0;23211021405;1CAP2A JARDINIER PAYSAGISTE;National;AGRICULTURE;PUBLIC;3eme;N;AP;999;999;0,02;15;37;0;0
0011444P;CFPPA;DE BOURG EN BRESSE;BOURG-EN-BRESSE;AIN;CAP;1CAP2A;22108.0;23211022108;1CAP2A OPERATEUR IAA TRANSF PROD ALIM;National;AGRICULTURE;PUBLIC;3eme;N;AP;999;999;0;2;2;0;0
0011444P;CFPPA;DE BOURG EN BRESSE;BOURG-EN-BRESSE;AIN;CAP;1CAP2A;33003.0;23211033003;1CAP2A SERVICES AUX PERS VTE ESP RURAL;National;AGRICULTURE;PUBLIC;3eme;N;AP;999;999;0;1;12;0;0
0011444P;CFPPA;DE BOURG EN BRESSE;BOURG-EN-BRESSE;AIN;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2DPROA;21004.0;23811021004;2DPROA CGEA;National;AGRICULTURE;PUBLIC;3eme;N;AP;999;999;0,01;5;19;0;0
0011444P;CFPPA;DE BOURG EN BRESSE;BOURG-EN-BRESSE;AIN;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;22005.0;23810022005;2NDPRO PROD. INDUS.PHARMAC.ALIM.COSMET.;National;AGRICULTURE;PUBLIC;3eme;N;AP;999;999;0;2;6;0;0
0011256K;ECP PR;SYLVIA TERRADE BOURG-EN-BRESSE;BOURG-EN-BRESSE;AIN;CAP;1CAP2;33615.0;23210033615;1CAP2  ESTHETIQUE COSMETIQUE PARFUMERIE;National;MINISTERE DE L'EDUCATION NATIONALE;PRIVE;3eme;N;AP;999;999;0,01;11;28;0;0
0011256K;ECP PR;SYLVIA TERRADE BOURG-EN-BRESSE;BOURG-EN-BRESSE;AIN;CAP;1CAP2;33616.0;23210033616;1CAP2  METIERS DE LA COIFFURE;National;MINISTERE DE L'EDUCATION NATIONALE;PRIVE;3eme;N;AP;999;999;0,01;13;25;0;0
0010966V;EREA;PHILIBERT COMMERSON;BOURG-EN-BRESSE;AIN;CAP;1CAP2;22142.0;23210022142;1CAP2  PROD.SERV.REST. (RAPID,COLL,CAFE);National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;8;8;2,13;17;91;6;8
0010966V;EREA;PHILIBERT COMMERSON;BOURG-EN-BRESSE;AIN;CAP;1CAP2;23224.0;23210023224;1CAP2  MACON;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;8;9;1,13;9;55;4;9
0010966V;EREA;PHILIBERT COMMERSON;BOURG-EN-BRESSE;AIN;CAP;1CAP2;23324.0;23210023324;1CAP2  MONTEUR INSTALLATIONS SANITAIRES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;8;9;2,88;23;83;5;9
0010966V;EREA;PHILIBERT COMMERSON;BOURG-EN-BRESSE;AIN;CAP;1CAP2;23327.0;23210023327;1CAP2  PEINTRE APPLICATEUR REVETEMENTS;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;8;8;3,13;25;86;6;8
0010966V;EREA;PHILIBERT COMMERSON;BOURG-EN-BRESSE;AIN;CAP;1CAP2;25439.0;23210025439;1CAP2  METALLIER;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;8;8;1,38;11;49;5;8
0010819K;LEGTPA;LES SARDIERES - BOURG EN BRESS;BOURG-EN-BRESSE;AIN;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2DPROA;21112.0;23811021112;2DPROA PRODUCTIONS;National;AGRICULTURE;PUBLIC;3eme;N;ST;32;32;0,75;24;54;19;32
0010819K;LEGTPA;LES SARDIERES - BOURG EN BRESS;BOURG-EN-BRESSE;AIN;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2DPROA;22104.0;23811022104;2DPROA ALIMENTATION BIO-INDUSTRIES LABO;National;AGRICULTURE;PUBLIC;3eme;N;ST;32;32;0,72;23;56;20;32
0011118K;LP LYC METIER;GABRIEL VOISIN;BOURG-EN-BRESSE;AIN;1ERE PROFESSIONNELLE;1ERPRO;25214.0;23820025214;1ERPRO MAINT.VEHIC.OPTA VOIT.PARTICUL.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;40;40;1,2;48;81;37;40
0011118K;LP LYC METIER;GABRIEL VOISIN;BOURG-EN-BRESSE;AIN;1ERE PROFESSIONNELLE;1ERPRO;25215.0;23820025215;1ERPRO MAINT.VEHIC.OPTB VEHIC.TRANS.ROUT;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;20;20;0,8;16;65;16;20
0011118K;LP LYC METIER;GABRIEL VOISIN;BOURG-EN-BRESSE;AIN;1ERE PROFESSIONNELLE;1ERPRO;25412.0;23820025412;1ERPRO CARROSSIER PEINTRE AUTOMOBILE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;20;20;1,2;24;38;16;20
0011118K;LP LYC METIER;GABRIEL VOISIN;BOURG-EN-BRESSE;AIN;1ERE PROFESSIONNELLE;1ERPRO;31106.0;23820031106;1ERPRO LOGISTIQUE (Nouveau);National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;16;16;1;16;49;11;16
