UAI,LIBELLÉFORMATION,MEFSTAT11,NB_VOEUX_CONFIRMES,STATUT,CAPACITEPSUP
0590010R,BTS - Services - Comptabilité et gestion,32211031408,255.0,Scolaire,24.0
0590011S,BTS - Production - Fonderie,32211022314,43.0,Scolaire,15.0
0590258K,BTS - Services - Communication - en apprentissage,32211032003,607.0,Apprentissage,24.0
0590011S,BTS - Production - Conception de produits industriels,32211020009,107.0,Scolaire,15.0
0590011S,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux",32211020116,404.0,Scolaire,30.0
0590011S,BTS - Production - Métiers de la mesure,32211020115,38.0,Scolaire,15.0
0590011S,BTS - Production - Métiers de la chimie,32211022208,281.0,Scolaire,30.0
0590011S,BTS - Production - Assistance technique d'ingénieur,32211025001,107.0,Scolaire,15.0
0590011S,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux",32211025521,309.0,Scolaire,15.0
0590018Z,BTS - Services - Management en hôtellerie restauration,32211033422,45.0,Scolaire,24.0
0590034S,BTS - Production - Electrotechnique,32211025520,159.0,Scolaire,30.0
0590034S,BTS - Services - Management Commercial Opérationnel,32211031213,441.0,Scolaire,35.0
0590034S,BTS - Services - Professions immobilières,32211031312,423.0,Scolaire,24.0
0590034S,BTS - Services - Comptabilité et gestion,32211031408,264.0,Scolaire,35.0
0590035T,BTS - Services - Support à l'action managériale,32211032409,112.0,Scolaire,28.0
0590035T,BTS - Services - Commerce International,32211031215,368.0,Scolaire,28.0
0590035T,BTS - Services - Tourisme,32211033426,508.0,Scolaire,38.0
0590042A,BTS - Services - Gestion de la PME,32211031409,116.0,Scolaire,24.0
0590044C,Certificat de Spécialisation - Techn. en énergies renouvelables opt. a énergie électrique,23K00022704,13.0,Scolaire,15.0
0590060V,BTS - Production - Maintenance des systèmes - option A Systèmes de production,32211025014,88.0,Scolaire,18.0
0590060V,BTS - Services - Conseil et commercialisation de solutions techniques,32211031216,71.0,Scolaire,35.0
0590064Z,BTS - Services - Support à l'action managériale,32211032409,220.0,Scolaire,22.0
0590064Z,BTS - Services - Commerce International,32211031215,656.0,Scolaire,33.0
