Rentrée scolaire;Académie 2020;Académie 2020 Lib L;UAI;Patronyme;Adresse condensée;Code postal;Commune d'implantation;Commune d'implantation Lib L;Commune et arrondissement;Commune et arrondissement Lib L;Secteur d'enseignement Lib L;Mef Bcp 11;Mef Bcp 11 Lib L;Mef Bcp 6;Mef Bcp 6 Lib L;Nombre d'élèves : Total;Nombre d'élèves : Filles;Nombre d'élèves : Garçons
2024;70;NORMANDIE;0762600N;EDOUARD DELAMARE DEBOUTTEVILLE;D. DEBOUTEVILLE R BERTRAND;76440;76276;FORGES-LES-EAUX;76276;FORGES-LES-EAUX;SECTEUR PUBLIC;23830025012;TLEPRO MAINTENANCE SYST.PRODUC.CONNECTES;238300;BAC PRO EN 3 ANS : TERMINALE PRO;20;2;18
2024;70;NORMANDIE;0762601P;GEORGES BRASSENS;G. BRASSENS RTE DE ROCADE;76270;76462;NEUFCHATEL-EN-BRAY;76462;NEUFCHATEL-EN-BRAY;SECTEUR PUBLIC;23830030004;TLEPRO ASSISTANC.GEST.ORGANIS.ACTIVITES;238300;BAC PRO EN 3 ANS : TERMINALE PRO;24;17;7
2024;70;NORMANDIE;0762601P;GEORGES BRASSENS;G. BRASSENS RTE DE ROCADE;76270;76462;NEUFCHATEL-EN-BRAY;76462;NEUFCHATEL-EN-BRAY;SECTEUR PUBLIC;32211032409;1BTS2  SUPPORT A L'ACTION MANAGERIALE;322110;BTS EN 2 ANS : 1ERE ANNEE;16;11;5
2024;70;NORMANDIE;0762602R;DES 4 CANTONS - GRIEU;GRIEU 1 AV DES QUATRE CANTONS;76044;76540;ROUEN;76540;ROUEN;SECTEUR PUBLIC;23830025510;TLE PRO3 METIERS ELECT. ENVIRON. CONNECTES;238300;BAC PRO EN 3 ANS : TERMINALE PRO;25;0;25
2024;70;NORMANDIE;0762602R;DES 4 CANTONS - GRIEU;GRIEU 1 AV DES QUATRE CANTONS;76044;76540;ROUEN;76540;ROUEN;SECTEUR PUBLIC;23830025515;TLE PRO3 SYST.NUM.OPT.C RES.INF.SYST.COMM.;238300;BAC PRO EN 3 ANS : TERMINALE PRO;27;2;25
2024;70;NORMANDIE;0762765T;ANTOINE-LAURENT LAVOISIER;A.L. LAVOISIER R DES MOTEAUX;76620;76351;LE HAVRE;76351;LE HAVRE;SECTEUR PUBLIC;23810025307;2NDPRO MET. DE L'AERONAUTIQUE 2NDE COMM.;238100;BAC PRO EN 3 ANS : 2NDE PRO;15;2;13
2024;70;NORMANDIE;0762765T;ANTOINE-LAURENT LAVOISIER;A.L. LAVOISIER R DES MOTEAUX;76620;76351;LE HAVRE;76351;LE HAVRE;SECTEUR PUBLIC;23810025412;2NDPRO CARROSSIER PEINTRE AUTOMOBILE;238100;BAC PRO EN 3 ANS : 2NDE PRO;18;0;18
2024;70;NORMANDIE;0762765T;ANTOINE-LAURENT LAVOISIER;A.L. LAVOISIER R DES MOTEAUX;76620;76351;LE HAVRE;76351;LE HAVRE;SECTEUR PUBLIC;23810031107;2DE PRO3   CONDUCT. TRANSP.ROUT.MARCHAND;238100;BAC PRO EN 3 ANS : 2NDE PRO;48;2;46
2024;70;NORMANDIE;0762765T;ANTOINE-LAURENT LAVOISIER;A.L. LAVOISIER R DES MOTEAUX;76620;76351;LE HAVRE;76351;LE HAVRE;SECTEUR PUBLIC;23820031107;1RE PRO3 CONDUCT. TRANSP.ROUT.MARCHANDISES;238200;BAC PRO EN 3 ANS : 1ERE PRO;48;3;45
2024;70;NORMANDIE;0762765T;ANTOINE-LAURENT LAVOISIER;A.L. LAVOISIER R DES MOTEAUX;76620;76351;LE HAVRE;76351;LE HAVRE;SECTEUR PUBLIC;23820031114;1ERPRO ORGANIS. TRANSPORT MARCHANDISES;238200;BAC PRO EN 3 ANS : 1ERE PRO;15;9;6
2024;70;NORMANDIE;0762765T;ANTOINE-LAURENT LAVOISIER;A.L. LAVOISIER R DES MOTEAUX;76620;76351;LE HAVRE;76351;LE HAVRE;SECTEUR PUBLIC;23830025214;TLE PRO3 MAINT.VEHIC.OPTA VOIT.PARTICUL.;238300;BAC PRO EN 3 ANS : TERMINALE PRO;19;0;19
2024;70;NORMANDIE;0762765T;ANTOINE-LAURENT LAVOISIER;A.L. LAVOISIER R DES MOTEAUX;76620;76351;LE HAVRE;76351;LE HAVRE;SECTEUR PUBLIC;32211025216;1BTS2  MAINT.VEHIC.OPT.B VEHIC.TR.ROUT.;322110;BTS EN 2 ANS : 1ERE ANNEE;5;0;5
2024;70;NORMANDIE;0762765T;ANTOINE-LAURENT LAVOISIER;A.L. LAVOISIER R DES MOTEAUX;76620;76351;LE HAVRE;76351;LE HAVRE;SECTEUR PUBLIC;32221025216;2BTS2  MAINT.VEHIC.OPT.B VEHIC.TR.ROUT.;322210;BTS EN 2 ANS : 2EME ANNEE;4;0;4
2024;70;NORMANDIE;0762836V;FERNAND LEGER;F. LEGER CH DES COQUEREAUX;76530;76319;GRAND-COURONNE;76319;GRAND-COURONNE;SECTEUR PUBLIC;23110023121;1CAP1  COND.ENGINS TVX PUBLICS&CARRIERES;231100;CAP EN 1 AN;1;0;1
2024;70;NORMANDIE;0762836V;FERNAND LEGER;F. LEGER CH DES COQUEREAUX;76530;76319;GRAND-COURONNE;76319;GRAND-COURONNE;SECTEUR PUBLIC;23110025222;1CAP1  MAINT.MATERIELS OPT.B TP & MANUT.;231100;CAP EN 1 AN;3;0;3
2024;70;NORMANDIE;0762836V;FERNAND LEGER;F. LEGER CH DES COQUEREAUX;76530;76319;GRAND-COURONNE;76319;GRAND-COURONNE;SECTEUR PUBLIC;23210023121;1CAP2  COND.ENGINS TVX PUBLICS&CARRIERES;232100;CAP EN 2 ANS : 1ERE ANNEE;22;1;21
2024;70;NORMANDIE;0762836V;FERNAND LEGER;F. LEGER CH DES COQUEREAUX;76530;76319;GRAND-COURONNE;76319;GRAND-COURONNE;SECTEUR PUBLIC;23210033002;1CAP2  AGENT ACCOMPAGNANT AU GRAND AGE;232100;CAP EN 2 ANS : 1ERE ANNEE;11;11;0
2024;70;NORMANDIE;0762836V;FERNAND LEGER;F. LEGER CH DES COQUEREAUX;76530;76319;GRAND-COURONNE;76319;GRAND-COURONNE;SECTEUR PUBLIC;23220023121;2CAP2  COND.ENGINS TVX PUBLICS&CARRIERES;232200;CAP EN 2 ANS : 2EME ANNEE;22;1;21
2024;70;NORMANDIE;0762836V;FERNAND LEGER;F. LEGER CH DES COQUEREAUX;76530;76319;GRAND-COURONNE;76319;GRAND-COURONNE;SECTEUR PUBLIC;23830023102;TLE PRO3  TRAVAUX PUBLICS;238300;BAC PRO EN 3 ANS : TERMINALE PRO;13;0;13
2024;70;NORMANDIE;0762836V;FERNAND LEGER;F. LEGER CH DES COQUEREAUX;76530;76319;GRAND-COURONNE;76319;GRAND-COURONNE;SECTEUR PUBLIC;23J00033002;CS-3   AIDE A DOMICILE;23J000;CERTIFICAT DE SPECIALISATION DE NIVEAU 3;6;6;0
2024;70;NORMANDIE;0762880T;RAYMOND QUENEAU;R. QUENEAU R DR ZAMENHOF;76194;76758;YVETOT;76758;YVETOT;SECTEUR PUBLIC;23820030004;1ERPRO ASSISTANC.GEST.ORGANIS.ACTIVITES;238200;BAC PRO EN 3 ANS : 1ERE PRO;32;26;6
2024;70;NORMANDIE;0762880T;RAYMOND QUENEAU;R. QUENEAU R DR ZAMENHOF;76194;76758;YVETOT;76758;YVETOT;SECTEUR PUBLIC;23830025510;TLE PRO3 METIERS ELECT. ENVIRON. CONNECTES;238300;BAC PRO EN 3 ANS : TERMINALE PRO;33;2;31
2024;70;NORMANDIE;0762880T;RAYMOND QUENEAU;R. QUENEAU R DR ZAMENHOF;76194;76758;YVETOT;76758;YVETOT;SECTEUR PUBLIC;32221020116;2BTS2  CYB.INF.RES.ELEC. OPT.A INFO.RES.;322210;BTS EN 2 ANS : 2EME ANNEE;6;1;5
2024;70;NORMANDIE;0762880T;RAYMOND QUENEAU;R. QUENEAU R DR ZAMENHOF;76194;76758;YVETOT;76758;YVETOT;SECTEUR PUBLIC;32221025521;2BTS2  CYB.INF.RES.ELEC. OPT.B ELEC.RES.;322210;BTS EN 2 ANS : 2EME ANNEE;6;0;6
2024;70;NORMANDIE;0762911B;GALILEE;GALILEE 461 RTE BELBEUF;76520;76475;FRANQUEVILLE-SAINT-PIERRE;76475;FRANQUEVILLE-SAINT-PIERRE;SECTEUR PUBLIC;23830022004;TLE PRO3 PROC. CHIMIE EAU PAPIERS-CARTONS;238300;BAC PRO EN 3 ANS : TERMINALE PRO;10;1;9
2024;70;NORMANDIE;0762911B;GALILEE;GALILEE 461 RTE BELBEUF;76520;76475;FRANQUEVILLE-SAINT-PIERRE;76475;FRANQUEVILLE-SAINT-PIERRE;SECTEUR PUBLIC;32211022209;1BTS2  BIOANALYSES EN LABOR. DE CONTRÔLE;322110;BTS EN 2 ANS : 1ERE ANNEE;28;17;11
2024;70;NORMANDIE;0762920L;PIERRE DE COUBERTIN;COUBERTIN 130 R CLEMENCEAU;76210;76114;BOLBEC;76114;BOLBEC;SECTEUR PUBLIC;23210025439;1CAP2  METALLIER;232100;CAP EN 2 ANS : 1ERE ANNEE;14;0;14
