id;millesime;code_region_ij;code_region;voie;cfd;mefstat11;nb_annee_term;nb_en_emploi_12_mois;nb_en_emploi_18_mois;nb_en_emploi_24_mois;nb_en_emploi_6_mois;nb_poursuite_etudes;nb_sortant;taux_emploi_12_mois;taux_emploi_18_mois;taux_emploi_24_mois;taux_emploi_6_mois;taux_poursuite_etudes
2020_2021_01_scolaire_23910025308;2020_2021;01;84;scolaire;;23910025308;10;5;4;4;2;1;9;;;;;
2020_2021_01_scolaire_23220023323;2020_2021;01;84;scolaire;;23220023323;50;16;15;17;15;22;28;57;54;61;54;44
2020_2021_01_scolaire_32221031209;2020_2021;01;84;scolaire;;32221031209;805;350;373;367;310;302;503;70;74;73;62;38
2020_2021_01_scolaire_23110034405;2020_2021;01;84;scolaire;;23110034405;19;7;5;6;4;7;12;;;;;
2020_2021_01_scolaire_32221031102;2020_2021;01;84;scolaire;;32221031102;98;59;56;63;48;23;75;79;75;84;64;23
2020_2021_01_scolaire_32221023411;2020_2021;01;84;scolaire;;32221023411;40;24;22;25;21;10;30;80;73;83;70;25
2020_2021_01_scolaire_23830022106;2020_2021;01;84;scolaire;;23830022106;967;269;261;286;202;553;414;65;63;69;49;57
2020_2021_01_scolaire_23220025434;2020_2021;01;84;scolaire;;23220025434;115;22;23;28;19;55;60;37;38;47;32;48
2020_2021_01_scolaire_23830024203;2020_2021;01;84;scolaire;;23830024203;674;140;137;161;96;355;319;44;43;50;30;53
2020_2021_01_scolaire_23220023318;2020_2021;01;84;scolaire;;23220023318;35;17;16;17;14;14;21;81;76;81;67;40
2020_2021_01_scolaire_32221020008;2020_2021;01;84;scolaire;;32221020008;439;198;203;217;189;157;282;70;72;77;67;36
2020_2021_01_scolaire_23830024202;2020_2021;01;84;scolaire;;23830024202;52;7;14;14;4;31;21;33;67;67;19;60
2020_2021_01_scolaire_23110033204;2020_2021;01;84;scolaire;;23110033204;125;56;56;53;40;13;112;50;50;47;36;10
2020_2021_01_scolaire_23910022105;2020_2021;01;84;scolaire;;23910022105;60;39;36;38;30;10;50;78;72;76;60;17
2020_2021_01_scolaire_23220023445;2020_2021;01;84;scolaire;;23220023445;198;25;28;29;16;139;59;42;47;49;27;70
2020_2021_01_scolaire_32221025415;2020_2021;01;84;scolaire;;32221025415;117;64;69;67;56;35;82;78;84;82;68;30
