Code_Scolarité,Code_Rome_1,Code_Rome_2,Code_Rome_3,Code_Rome_4,Code_Rome_5
50022201,H1503,H2301,,,
50025108,H2904,H2905,,,
50022339,B1603,,,,
50022343,B1603,,,,
50021305,D1105,,,,
50022609,H2903,,,,
50023411,H2206,,,,
50032220,B1303,,,,
50032221,B1303,,,,
50032222,B1303,,,,
50032223,B1303,,,,
50033501,L1401,,,,
50025421,H2904,H2905,H2906,,
50022505,H3201,,,,
50022420,H2908,H2910,,,
50023005,F1502,,,,
50032306,F1502,,,,
50023302,F1604,F1613,,,
50022340,B1603,H3401,,,
50022341,B1603,H3401,,,
50022342,B1603,H3401,,,
50022354,B1603,H3401,,,
50025425,H2908,,,,
50025126,H2901,H2906,,,
50023427,B1501,,,,
50022509,H3201,,,,
50024124,B1801,,,,
50024125,B1804,,,,
50024126,B1804,,,,
50024318,B1802,,,,
50032225,E1301,,,,
50023311,F1601,,,,
50024239,B1806,,,,
50024238,B1806,,,,
50022421,B1201,,,,
50023438,B1401,,,,
46321207,A1301,,,,
56321001,A1101,,,,
,H3404,,,,
,I1304,,,,
,H1301,H1506,,,
,H2903,,,,
,H1401,H1403,N1301,N1303,
,H2903,,,,
,K2503,,,,
,H3203,H3401,H3402,H3403,
,,,,,
,G1204,,,,
,G1204,,,,
,,,,,
46T25203,H2903,I1604,,,
26033207,K1403,,,,
,G1204,,,,
,H2201,H2204,H2207,H2208,L1503
,M1302,,,,
46X32410,J1303,M1607,M1609,,
36X33502,D1204,D1404,D1407,M1302,M1704
50021203,A1404,,,,
46321106,A1413,,,,
36321208,A1302,,,,
50023444,F1503,,,,
50024320,D1206,,,,
40022403,H2805,,,,
50022135,D1101,,,,
,,,,,
,,,,,
,H1209,,,,
1701150A,D1407,H1206,H2502,M1302,
,A1202,A1404,H1204,H1303,H2102
,J1102,,,,
,J1102,,,,
,J1102,,,,
,G1403,,,,
,H1102,,,,
,M1201,M1205,M1207,,
,M1803,M1805,,,
,N2205,,,,
,M1205,M1301,M1302,,
,H1206,M1802,,,
,H2502,J1201,,,
,H2502,J1201,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,H1206,,,,
,M1202,M1204,,,
,C1202,C1204,M1201,,
,M1707,,,,
,M1801,,,,
,,,,,
,K2306,,,,
,H1302,,,,
,H1302,,,,
,K1403,,,,
,H1501,H1502,,,
,K2301,,,,
,M1101,M1102,,,
,A1405,,,,
,K2306,,,,
,H1102,,,,
,M1802,,,,
,M1805,,,,
,F1203,,,,
,H1206,,,,
,H2505,,,,
,M1703,M1705,M1707,,
,K2304,K2306,,,
,C1501,F1106,,,
,N2205,,,,
,I1102,,,,
,H1502,,,,
,H1302,,,,
,H1302,H1502,,,
,K2402,,,,
,H1401,H2502,,,
,K2402,,,,
,F1106,,,,
,K1602,,,,
,C1503,K1802,K2302,,
,E1103,M1702,M1705,,
,M1705,,,,
,E1103,M1705,,,
,H1206,,,,
,M1802,,,,
,H1302,,,,
,H1206,,,,
,M1808,,,,
,M1804,M1807,,,
,H1206,M1402,,,
32123001,B1806,H2207,H2208,,
32132313,L1204,,,,
40022402,H2805,,,,
,,,,,
,,,,,
,,,,,
46M25501,H2603,,,,
42032306,L1502,L1503,L1506,,
42024210,L1502,L1503,L1506,,
50032311,B1501,,,,
50021303,A1404,I1605,,,
46321105,A1405,,,,
46321005,A1414,,,,
36321106,A1301,,,,
36331201,D1407,,,,
36331202,D1407,,,,
46321302,A1303,,,,
46333402,G1403,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,A1406,N3101,,,
16531215,M1202,M1302,M1503,M1705,M1707
16531009,M1202,M1205,M1402,M1705,
16531232,M1202,M1402,M1503,M1705,N1301
16531016,D1406,M1204,M1205,M1302,M1705
16531012,M1202,M1205,M1302,M1705,M1707
17020031,H1206,H1401,H1402,H2502,N1301
1702510T,H1206,H1401,H1402,H1502,H2502
17031103,H1206,H1302,H1402,H1502,H2502
17032623,M1801,M1803,M1805,M1806,M1810
,F1103,F1106,F1201,,
,H1206,H1302,H1402,H2502,M1703
,H1102,H1206,H1402,H1502,H2502
,H1206,H1208,H2502,,
,F1105,F1106,F1203,,
,H1206,H1402,H2502,M1402,
17025516,H1102,H1206,H1402,H2502,I1102
17020016,H1206,H1402,H1502,H2502,H2701
,H1206,H2502,M1804,,
,M1803,M1804,M1805,M1806,M1810
17025507,H1102,H1206,H1402,H1502,H2501
,F1106,F1202,K1401,K1802,K2302
,F1105,F1203,K2402,,
17011203,H1206,H1210,H1502,,
,H1102,H1206,H1401,H1402,H2504
,F1107,H1206,M1806,M1808,
17023001,F1103,F1106,F1201,H1102,H1206
,F1106,F1201,,,
,F1203,H1206,H2502,I1102,
17022503,H1206,H1402,H1502,H2502,H2504
17020057,H1102,H1206,H1402,H1502,H2502
,H1102,H1206,H1302,H1502,H2502
,F1103,F1106,F1202,F1204,I1101
