numero_uai,numero_siren_siret_uai,academie,nature_uai,appellation_officielle,adresse_uai,code_postal_uai,secteur_public_prive,date_ouverture,date_fermeture,ministere_tutelle,departement_insee_3_libe
0860444R,21860186200038,13.0,151,Ecole primaire Oyre,15 route de Saint-Sauveur,86220,PU,23/08/1965,,6,Vienne
0860445S,,13.0,151,Ecole primaire,,86220,PU,23/08/1965,31/08/1979,6,Vienne
0860447U,21860187000023,13.0,151,Ecole primaire Paizay le Sec,,86300,PU,23/08/1965,,6,Vienne
0860450X,20008486100091,13.0,151,Ecole primaire des Iles,10 rue des Iles,86700,PU,23/08/1965,,6,Vienne
0860452Z,21860189600028,13.0,151,Ecole primaire de Payroux,18 route du Stade,86350,PU,23/08/1965,,6,Vienne
0860454B,21860190400038,13.0,151,Ecole primaire Persac,Place de la Mairie,86320,PU,23/08/1965,,6,Vienne
0860458F,,13.0,151,Ecole primaire,,86500,PU,23/08/1965,31/08/1979,6,Vienne
0860463L,21860194600294,13.0,153,Ecole Elementaire publique d'application Damien Allard-Jules Ferry,20 rue Jules Ferry,86000,PU,23/08/1965,,6,Vienne
0860466P,21860194600443,13.0,151,Ecole primaire Ernest Pérochon,24 rue Blaise Pascal,86000,PU,23/08/1965,,6,Vienne
0860467R,21860194600401,13.0,151,Ecole primaire Jean Mermoz,8 rue de Larnay,86000,PU,23/08/1965,,6,Vienne
0860469T,,13.0,152,Ecole primaire annexe de l'Ecole Normale 1,10 RUE DU GENERAL DEMARCAY,86000,PU,23/08/1965,31/08/1985,6,Vienne
0860470U,26860086300024,13.0,260,Foyer de l'enfance de Poitiers,189 rue de la Gibauderie,86000,PU,23/08/1965,,35,Vienne
0860471V,21860194600203,13.0,151,Ecole élémentaire Jacques Brel,11 rue du Commerce,86000,PU,23/08/1965,,6,Vienne
0860472W,21860194600575,13.0,151,Ecole élémentaire Marcel Pagnol,25 rue de la Jeunesse,86000,PU,23/08/1965,,6,Vienne
0860473X,21860194600211,13.0,151,Ecole primaire Tony Lainé,5 avenue Rhin-et-Danube,86000,PU,23/08/1965,,6,Vienne
0860474Y,21860194600476,13.0,151,Ecole primaire Charles Perrault,9 avenue Georges Pompidou,86000,PU,23/08/1965,,6,Vienne
0860475Z,21860194600492,13.0,151,Ecole primaire Charles Perrault 2,AVENUE GEORGES POMPIDOU,86000,PU,23/08/1965,31/08/1991,6,Vienne
0860476A,21860194600328,13.0,151,Ecole primaire Saint-Exupéry,13 RUE EVARISTE GALOIS,86000,PU,23/08/1965,31/08/2009,6,Vienne
0860477B,21860194600559,13.0,151,Ecole primaire de La Grange Saint-Pierre,26 rue Olivier de Serres,86000,PU,23/08/1965,,6,Vienne
0860478C,21860194600369,13.0,151,Ecole primaire du Breuil Mingot,6 rue de la Girée,86000,PU,23/08/1965,,6,Vienne
0860479D,78156416600028,13.0,240,Institut médico-éducatif Pierre Garnier - Mignaloux-Beauvoir,16 route de Chauvigny,86550,PR,23/08/1965,,35,Vienne
0860480E,26860002000260,13.0,200,Hôpital de jour René Diatkine,Centre hospitalier Henri Laborit,86021,PU,24/08/1965,,35,Vienne
0860481F,19860051200059,13.0,152,Ecole primaire annexe de l'Ecole Normale 2,20 BIS RUE JULES FERRY,86000,PU,24/08/1965,31/08/1991,6,Vienne
0860482G,21860194600096,13.0,151,Ecole élémentaire Gisèle Halimi,2 rue Paul Bert,86000,PU,24/08/1965,,6,Vienne
0860485K,,13.0,151,Ecole primaire Ernest Pérochon 2,24 RUE BLAISE PASCAL,86000,PU,24/08/1965,08/09/1980,6,Vienne
0860490R,,13.0,151,Ecole primaire La Plaine 2,RUE DU COMMERCE ST CYPRIEN,86000,PU,24/08/1965,31/08/1978,6,Vienne
0860492T,21860194600229,13.0,151,Ecole primaire Les Sables 2,AVENUE RHIN ET DANUBE,86000,PU,24/08/1965,31/08/1989,6,Vienne
0860493U,21860194600526,13.0,101,Ecole maternelle publique Théophraste Renaudot,69 rue Théophraste Renaudot,86000,PU,24/08/1965,,6,Vienne
0860494V,21860194600252,13.0,101,Ecole maternelle Montbernage,51 BOULEVARD DE LA DIGUE,86000,PU,24/08/1965,31/08/1989,6,Vienne
0860495W,21860194600062,13.0,101,Ecole maternelle Paul Blet,24 boulevard François Albert,86000,PU,24/08/1965,31/08/2021,6,Vienne
0860496X,21860194600385,13.0,101,Ecole maternelle Montmidi,2 rue Edouard Boubat,86000,PU,24/08/1965,,6,Vienne
0860497Y,21860194600567,13.0,101,Ecole maternelle Petit Tour,32 rue du Petit Tour,86000,PU,24/08/1965,,6,Vienne
0860498Z,21860194600468,13.0,101,Ecole maternelle Louis Pasteur,15 rue Louis Pasteur,86000,PU,24/08/1965,,6,Vienne
0860499A,21860194600534,13.0,101,Ecole maternelle Les Minimes,116 grand'rue,86000,PU,24/08/1965,,6,Vienne
0860500B,21860194600450,13.0,101,Ecole maternelle Ernest Pérochon,24 rue Blaise Pascal,86000,PU,24/08/1965,,6,Vienne
0860501C,21860194600161,13.0,101,Ecole maternelle Condorcet,67 rue Condorcet,86000,PU,24/08/1965,,6,Vienne
0860502D,21860194600393,13.0,101,Ecole maternelle Jean Mermoz,2 rue de Larnay,86000,PU,25/08/1965,,6,Vienne
0860503E,21860194600195,13.0,101,Ecole maternelle Jacques Brel,13 rue du Commerce,86000,PU,25/08/1965,,6,Vienne
0860504F,21860194600583,13.0,101,Ecole maternelle Marcel Pagnol,25 rue de la Jeunesse,86000,PU,25/08/1965,,6,Vienne
0860505G,21860194600419,13.0,101,Ecole maternelle Les Sables 1,RUE DE L'ANCIEN EMETTEUR,86000,PU,25/08/1965,31/08/1994,6,Vienne
0860506H,21860194600484,13.0,101,Ecole maternelle Charles Perrault,7 AVENUE GEORGES POMPIDOU,86000,PU,25/08/1965,31/08/2005,6,Vienne
0860507J,21860194600336,13.0,101,Ecole maternelle Evariste Galois,2-4 rue Evariste Galois,86000,PU,25/08/1965,,6,Vienne
0860508K,21860194600542,13.0,101,Ecole maternelle de La Grange Saint-Pierre,24 rue Olivier de Serres,86000,PU,25/08/1965,,6,Vienne
0860509L,21860194600435,13.0,101,Ecole maternelle Porte de Paris,3 rue de l'Intendant Le Nain,86000,PU,25/08/1965,,6,Vienne
0860510M,21860195300027,13.0,101,Ecole maternelle de Port-de-Piles,3 rue de la Cordrie,86220,PU,25/08/1965,,6,Vienne
0860512P,21860197900022,13.0,151,Ecole primaire,21,86200,PU,25/08/1965,31/08/2010,6,Vienne
0860513R,21860198700033,13.0,151,Ecole primaire de Pouillé,Route de Jardres,86800,PU,25/08/1965,,6,Vienne
0860515T,,13.0,151,Ecole primaire,ROUTE DE CHARROUX,86460,PU,25/08/1965,02/09/1986,6,Vienne
0860516U,21860200100024,13.0,151,Ecole primaire Pressac,39 rue du Bois de la Jarte,86460,PU,25/08/1965,,6,Vienne
0860517V,,13.0,151,Ecole primaire,,86420,PU,25/08/1965,31/08/1984,6,Vienne
0860518W,21860202700029,13.0,151,Ecole primaire La Puye,21 place de la Mairie,86260,PU,25/08/1965,,6,Vienne
0860520Y,21860203500030,13.0,151,Ecole primaire Queaux,10 rue de la Mairie,86150,PU,25/08/1965,,6,Vienne
0860523B,21860204300026,13.0,101,Ecole maternelle Quinçay,2 place du Champ de la Bataille,86190,PU,25/08/1965,,6,Vienne
0860524C,21860204300034,13.0,151,Ecole primaire Quinçay,4 place du Champ de la Bataille,86190,PU,25/08/1965,,6,Vienne
0860525D,21860205000021,13.0,151,Ecole primaire Ranton,5 rue DE LA MAIRIE,86200,PU,25/08/1965,31/08/2017,6,Vienne
0860528G,21860207600042,13.0,151,Ecole primaire Claire Fontaine,Via Missaglia,86270,PU,25/08/1965,,6,Vienne
0860530J,20006342800052,13.0,151,Ecole primaire Claude Bertaud,1 place Jacques Loiseau,86170,PU,25/08/1965,,6,Vienne
0860531K,21860209200023,13.0,151,Ecole élémentaire La Saulée Roches-Prémarie-Andillé,5 rue des Tourbières,86340,PU,25/08/1965,,6,Vienne
0860532L,21860209200049,13.0,151,Ecole primaire,HAMEAU DE ANDILLE,86340,PU,25/08/1965,31/03/1989,6,Vienne
0860533M,21860210000024,13.0,151,Ecole primaire Georges L. Meritt de Roiffé,11 rue Isaac de Razilly,86120,PU,25/08/1965,,6,Vienne
0860539U,21860213400031,13.0,151,Ecole primaire Robert Domineau,4 place Camille Lombard,86480,PU,25/08/1965,,6,Vienne
0860542X,21860214200059,13.0,151,Ecole élémentaire Irma Jouenne,52 route de Poitiers,86280,PU,25/08/1965,,6,Vienne
0860544Z,21860214200117,13.0,101,Ecole maternelle Bois d'Amour-Ermitage,9 rue des Erables,86280,PU,25/08/1965,,6,Vienne
0860546B,,13.0,151,Ecole primaire,,86230,PU,25/08/1965,31/08/1985,6,Vienne
0860547C,,13.0,151,Ecole primaire,,86330,PU,25/08/1965,31/08/1982,6,Vienne
0860548D,20006453300066,13.0,151,Ecole primaire du Lac,1 rue de la Mairie,86130,PU,25/08/1965,,6,Vienne
0860550F,21860220900023,13.0,151,Ecole primaire St Gaudent,,86400,PU,25/08/1965,31/08/2018,6,Vienne
0860553J,21860294400058,13.0,151,Ecole primaire,HAMEAU DE TRAVERSONNE,86190,PU,30/08/1965,31/08/1993,6,Vienne
0860554K,21860295100038,13.0,151,Ecole primaire de Voulême,2 allée de la Mairie,86400,PU,30/08/1965,,6,Vienne
0860555L,21860296900030,13.0,151,Ecole primaire de Voulon - Anché,13 rue des Trois Rivières,86700,PU,30/08/1965,,6,Vienne
0860556M,21860297700033,13.0,151,Ecole primaire Camille Desmoulins,Rue de la Boivre,86580,PU,30/08/1965,,6,Vienne
0860558P,21860297700066,13.0,151,Ecole primaire Jacques-Yves Cousteau,74 rue Firmin Petit,86580,PU,30/08/1965,,6,Vienne
0860560S,21860298500044,13.0,151,Ecole primaire Marcel Pagnol,2 impasse Marcel Pagnol,86210,PU,30/08/1965,,6,Vienne
0860561T,21860299300030,13.0,151,Ecole primaire des Hirondelles,1 route de Mirebeau,86170,PU,30/08/1965,,6,Vienne
0860564W,,13.0,151,Ecole primaire,15 RUE GAMBETTA,86190,PU,30/08/1965,31/08/1982,6,Vienne
0860566Y,21860221700034,13.0,151,Ecole primaire des Capucines,1 route de Sossay,86140,PU,25/08/1965,,6,Vienne
0860567Z,21860222500052,13.0,151,Ecole élémentaire Marcel Jolliet,1 route de Dissay,86130,PU,25/08/1965,,6,Vienne
0860569B,21860222500045,13.0,151,Ecole primaire,HAMEAU DU PEU,86130,PU,25/08/1965,31/08/1991,6,Vienne
0860572E,21860224100034,13.0,151,Ecole primaire François Rabelais - Pôle éducatif territorial de la Veude,9 rue Jules Edouard Ménard,86230,PU,25/08/1965,,6,Vienne
0860574G,21860225800038,13.0,151,Ecole primaire René Mabileau,3 route de Mazeuil,86330,PU,26/08/1965,,6,Vienne
0860576J,21860226600031,13.0,151,Ecole primaire Théodore Monod,2 place Henri Huyard,86800,PU,26/08/1965,,6,Vienne
0860580N,21860229000023,13.0,151,Ecole primaire Les Tilleuls,9 rue des Ecoliers,86120,PU,26/08/1965,,6,Vienne
0860582R,,13.0,151,Ecole primaire,RUE DE LA TRIMOUILLE,86290,PU,26/08/1965,14/09/1984,6,Vienne
0860583S,20010244000043,13.0,151,Ecole primaire de Saint-Macoux,1,86400,PU,26/08/1965,,6,Vienne
0860584T,21860233200049,13.0,151,Ecole primaire Valdivienne,,86300,PU,26/08/1965,31/08/2014,6,Vienne
0860585U,,13.0,151,Ecole primaire,,86350,PU,26/08/1965,02/09/1986,6,Vienne
0860588X,21860235700038,13.0,151,Ecole primaire Les Tilleuls,58 rue Principale,86160,PU,26/08/1965,,6,Vienne
0860589Y,,13.0,151,Ecole primaire,HAMEAU DU DOGNON,86160,PU,26/08/1965,14/09/1984,6,Vienne
0860590Z,21860236500023,13.0,151,Ecole primaire de Saint-Pierre-de-Maillé,Rue des Varennes,86260,PU,26/08/1965,,6,Vienne
0860591A,,13.0,151,Ecole primaire,,86260,PU,26/08/1965,31/08/1983,6,Vienne
0860592B,21860237300027,13.0,151,Ecole primaire Maurice Giraud,Route de Chaunay,86400,PU,26/08/1965,,6,Vienne
0860594D,21860239900022,13.0,151,Ecole primaire,,86300,PU,26/08/1965,31/08/2011,6,Vienne
0860596F,,13.0,151,Ecole primaire,,86390,PU,26/08/1965,31/08/1985,6,Vienne
0860597G,21860241500034,13.0,151,Ecole primaire de Saint-Rémy-sur-Creuse,2 place André Chicot,86220,PU,26/08/1965,,6,Vienne
0860601L,21860092200056,13.0,151,Ecole élémentaire Louis Pergaud,11 bis route de Vaux,86220,PU,26/08/1965,,6,Vienne
0860603N,21860244900025,13.0,151,Ecole primaire publique de Saint-Sauvant,8 rue Belleroche,86600,PU,26/08/1965,,6,Vienne
0860604P,,13.0,151,Ecole primaire,RUE DES ECOLES,86600,PU,26/08/1965,08/09/1980,6,Vienne
0860608U,20005483100041,13.0,151,Ecole élémentaire de Saint-Sauveur,4 rue de la Côte du Pin,86100,PU,26/08/1965,,6,Vienne
0860611X,20010244000050,13.0,151,Ecole primaire de Saint-Saviol,,86400,PU,26/08/1965,,6,Vienne
0860613Z,21860248000020,13.0,151,Ecole primaire les Hirondelles,6 rue des Ecoles,86350,PU,26/08/1965,,6,Vienne
0860614A,,13.0,151,Ecole primaire,,86350,PU,26/08/1965,08/09/1980,6,Vienne
0860618E,21860233200031,13.0,151,Ecole primaire Salles en Toulon,,86300,PU,26/08/1965,31/08/2014,6,Vienne
0860619F,,13.0,151,Ecole primaire,,86200,PU,26/08/1965,31/08/1985,6,Vienne
0860621H,21860253000030,13.0,151,Ecole primaire Sanxay,Place de la Mairie,86600,PU,26/08/1965,,6,Vienne
0860624L,21860254800024,13.0,151,Ecole primaire de Saulgé,23 rue Bec des Deux Eaux,86500,PU,26/08/1965,,6,Vienne
0860625M,21860255500029,13.0,151,Ecole primaire André Brouillet,1 route de Vergne,86400,PU,28/08/1965,,6,Vienne
0860626N,,13.0,151,Ecole primaire,,86400,PU,28/08/1965,31/08/1978,6,Vienne
0860628R,21860256300023,13.0,151,Ecole primaire Savigny l'Evescault,62 place de la Mairie,86800,PU,28/08/1965,,6,Vienne
0860629S,,13.0,151,Ecole primaire,,86800,PU,28/08/1965,31/08/1978,6,Vienne
0860631U,21860257100026,13.0,151,Ecole primaire Savigny sous Faye,8 rue du Lavoir,86140,PU,28/08/1965,,6,Vienne
0860633W,21860258900036,13.0,151,Ecole élémentaire de la Belle Allée,Place de l'Eglise,86140,PU,28/08/1965,,6,Vienne
0860635Y,20005483100058,13.0,151,Ecole primaire Les Petits Noisetiers de Senillé,2 place de la Mairie,86100,PU,28/08/1965,,6,Vienne
0860637A,21860260500022,13.0,151,Ecole primaire La belle indienne,Hameau 5,86230,PU,28/08/1965,31/08/2019,6,Vienne
0860639C,21860262100029,13.0,151,Ecole primaire du Grand Saule de Sillars,5 rue de la Pompe,86320,PU,28/08/1965,,6,Vienne
0860641E,21860263900021,13.0,151,Ecole primaire Roger Pain,6 rue des Ecoles,86240,PU,28/08/1965,,6,Vienne
0860642F,,13.0,151,Ecole primaire,RUE DES ECOLES,86240,PU,28/08/1965,31/08/1979,6,Vienne
0860643G,21860264700024,13.0,151,Ecole primaire de Sommières-du-Clain,1 place de la Mairie,86160,PU,28/08/1965,,6,Vienne
0860646K,21860265400020,13.0,151,Ecole primaire Sossais,20 route de Lencloître,86230,PU,30/08/1965,31/08/2019,6,Vienne
0860649N,21860066600125,13.0,151,Ecole primaire de Targé,23 rue Paul Fort,86100,PU,30/08/1965,,6,Vienne
0860651R,21860268800028,13.0,151,Ecole primaire Etienne Bureau de Tercé,9 route de Chauvigny,86800,PU,30/08/1965,,6,Vienne
0860653T,,13.0,151,Ecole primaire,,86290,PU,30/08/1965,08/09/1980,6,Vienne
0860655V,21860271200026,13.0,151,Ecole primaire Louise d'Auzay,1 rue de la Gannerie,86110,PU,30/08/1965,,6,Vienne
0860659Z,21860272000052,13.0,151,Ecole primaire Anne Frank,10 rue Anne Frank,86540,PU,30/08/1965,,6,Vienne
0860660A,21860273800021,13.0,151,Ecole primaire publique de La Trimouille,3 rue de la Liberté,86290,PU,30/08/1965,,6,Vienne
0860662C,21860274600032,13.0,151,Ecole primaire Le Chat Perché,1 rue de la Gidelle,86120,PU,30/08/1965,,6,Vienne
0860664E,21860275300020,13.0,151,Ecole primaire Usseau,4 place Maurice Bedel,86230,PU,30/08/1965,,6,Vienne
0860668J,21860277900025,13.0,151,Ecole primaire,,86110,PU,30/08/1965,31/08/1990,6,Vienne
0860669K,,13.0,151,Ecole primaire,,86700,PU,30/08/1965,31/08/1983,6,Vienne
0860672N,21860279500021,13.0,151,Ecole primaire de Vaux-sur-Vienne,15 rue de la Mairie,86220,PU,30/08/1965,,6,Vienne
0860674R,21860280300023,13.0,151,Ecole primaire Pierre Sureau,6 rue des Ecoliers,86230,PU,30/08/1965,,6,Vienne
0860677U,,13.0,151,Ecole primaire,HAMEAU DE LA COUTURE,86380,PU,30/08/1965,31/08/1985,6,Vienne
0860678V,,13.0,151,Ecole primaire,HAMEAU DE LA RIGANE,86380,PU,30/08/1965,31/08/1985,6,Vienne
0860680X,21860284500024,13.0,151,Ecole primaire Vernon,Rue du Château,86340,PU,30/08/1965,,6,Vienne
0860682Z,21860285200020,13.0,151,Groupe scolaire Jules Berry de Verrières,12 place de la Mairie,86410,PU,30/08/1965,,6,Vienne
0860684B,,13.0,151,Ecole primaire,,86420,PU,30/08/1965,31/08/1982,6,Vienne
0860685C,21860287800025,13.0,151,Ecole primaire de Vezières,3 rue de la Croule,86120,PU,30/08/1965,31/08/2024,6,Vienne
0860687E,21860288600028,13.0,151,Ecole primaire de Vicq-sur-Gartempe,20 grand rue,86260,PU,30/08/1965,,6,Vienne
0860689G,21860289400022,13.0,151,Ecole primaire,,86150,PU,30/08/1965,31/08/1991,6,Vienne
0860690H,21860289400030,13.0,151,Ecole primaire du Vigeant,1 route du 4 Août,86150,PU,30/08/1965,,6,Vienne
0860693L,21860290200031,13.0,151,Ecole primaire La Villedieu du Clain,Chemin Bois Vert,86340,PU,30/08/1965,,6,Vienne
0860694M,21860291000034,13.0,151,Ecole primaire,RUE DES ECOLES,86310,PU,30/08/1965,31/08/2008,6,Vienne
0860695N,21860292800036,13.0,151,Ecole primaire Claude Roblin,2 bis rue de la Croix,86190,PU,30/08/1965,,6,Vienne
0860696P,21860293600054,13.0,151,Ecole élémentaire Langevin-Wallon,26 avenue de Paris,86370,PU,30/08/1965,,6,Vienne
0860698S,21860293600047,13.0,101,Ecole maternelle Pierre et Marie Curie,Rue Pierre et Marie Curie,86370,PU,30/08/1965,,6,Vienne
0860699T,21860294400033,13.0,151,Ecole élémentaire Petit Bois,3 rue de Braunsbach,86190,PU,30/08/1965,,6,Vienne
0860700U,18004301001584,13.0,825,Direction territoriale de Nouvelle Aquitaine et Atelier Canopé 86 - Poitiers,6 rue Sainte Catherine,86034,PU,15/02/1967,,6,Vienne
0860701V,19860856400128,13.0,526,Service commune de documentation - Bibliothèque universitaire (SCD),6 rue Jean Carbonnier,86073,PU,15/11/1967,,38,Vienne
0860702W,19860702000015,13.0,340,Collège Jean-Macé,133 rue des Loges,86101,PU,30/07/1966,,6,Vienne
0860703X,19860856400078,13.0,542,Institut universitaire de technologie de l'université de Poitiers,14 allée Jean Monnet,86073,PU,06/05/1971,,38,Vienne
0860708C,21860213400023,13.0,101,Ecole maternelle Olympe de Gouges,6 rue du Pré Chapitre,86480,PU,27/09/1966,,6,Vienne
0860709D,21860207600034,13.0,101,Ecole maternelle Claire Fontaine,VIA MISSAGLIA,86270,PU,27/09/1966,31/08/2006,6,Vienne
0860710E,21860261300026,13.0,151,Ecole élémentaire Albert Jacquard,9 place Dezanneau,86800,PU,27/09/1966,,6,Vienne
0860711F,49015168500057,13.0,240,Institut médico-éducatif Henri Wallon - Châtellerault,2 rue de l'Abbé Lalanne,86100,PR,13/09/1965,,35,Vienne
