numero_uai,numero_siren_siret_uai,academie,nature_uai,appellation_officielle,adresse_uai,code_postal_uai,secteur_public_prive,date_ouverture,date_fermeture,ministere_tutelle,departement_insee_3_libe
0010001W,19010001600012,10.0,320,"Lycée professionnel Alexandre Bérard - Lycée des métiers de l'énergie et de l'habitat, des métiers administratifs et du commerce",223 rue ALEXANDRE BERARD,01500,PU,01/05/1965,,6,Ain
0010002X,19010002400016,10.0,340,Collège Saint-Exupéry,6 rue AGUETANT,01500,PU,01/05/1965,,6,Ain
0010005A,19010005700016,10.0,340,Collège Roger Poulnard,131 rue de la Mairie,01380,PU,01/05/1965,,6,Ain
0010006B,19010006500019,10.0,306,Lycée polyvalent Saint-Exupéry - Lycée des métiers de l'hôtellerie et des services - Lycée des métiers des énergies du bâtiment,15 avenue SAINT-EXUPERY,01200,PU,01/05/1965,,6,Ain
0010007C,19010007300013,10.0,320,Lycée professionnel Brillat Savarin,15 AVENUE SAINT EXUPERY,01206,PU,01/05/1965,31/08/2001,6,Ain
0010008D,19010008100016,10.0,340,Collège Saint-Exupéry,15 avenue Saint Exupéry,01200,PU,01/05/1965,,6,Ain
0010010F,19010010700019,10.0,306,Lycée polyvalent du Bugey,113 rue DU 5E RTM,01306,PU,01/05/1965,,6,Ain
0010013J,19010013100019,10.0,302,Lycée général Lalande,16 rue du Lycée,01011,PU,01/05/1965,,6,Ain
0010014K,19010014900011,10.0,300,Lycée général et technologique Edgar Quinet,5 avenue JEAN MARIE VERNE,01001,PU,01/05/1965,,6,Ain
0010016M,19010016400010,10.0,306,Lycée polyvalent Joseph-Marie Carriat,1 rue DE CROUY,01011,PU,01/05/1965,,6,Ain
0010017N,19010016400010,10.0,334,Section d'enseignement professionnel du Lycée polyvalent Carriat,1 rue DE CROUY,01011,PU,01/05/1965,,6,Ain
0010018P,19010018000016,10.0,340,Collège du Revermont,9 avenue DE JASSERON,01000,PU,01/05/1965,,6,Ain
0010020S,19010020600019,10.0,320,"Lycée professionnel Georges Charpak - Lycée des métiers de la maintenance, de la mécanique et des engins mécaniques",Avenue Charles de Gaulle,01400,PU,01/05/1965,,6,Ain
0010021T,19010021400013,10.0,320,Lycée professionnel Marcelle Pardé - Lycée des métiers des services aux entreprises et aux personnes,47 avenue ALSACE LORRAINE,01011,PU,16/02/1971,,6,Ain
0010022U,19010022200024,10.0,340,Collège Henry Dunant,200 rue CLAUDIUS RICHARD,01350,PU,01/05/1965,,6,Ain
0010024W,19010024800011,10.0,340,Collège Georges Charpak,100 rue GEORGES CHARPAK,01173,PU,01/05/1965,,6,Ain
0010025X,19010025500016,10.0,340,Collège Paul Sixdenier,Rue DES ENFANTS DE L'ESPERANCE,01110,PU,01/05/1965,,6,Ain
0010026Y,19010026300010,10.0,340,Collège Paul Claudel,98 avenue SAINT EXUPERY,01150,PU,01/05/1965,,6,Ain
0010032E,19010032100032,10.0,306,Lycée polyvalent Xavier Bichat,AVENUE DU LAC,01130,PU,01/05/1965,,6,Ain
0010034G,19010034700011,10.0,306,Lycée polyvalent Paul Painlevé,13 place DES DEPORTES DE 1944,01108,PU,01/05/1965,,6,Ain
0010035H,19010035400017,10.0,340,Collège Louis Lumière,61 route de la Forge,01101,PU,01/05/1965,,6,Ain
0010036J,19010036200010,10.0,340,Collège Roger Vailland,Rue PAUL EMILE VICTOR,01450,PU,01/05/1965,,6,Ain
0010037K,19010037000013,10.0,340,Collège Louise de Savoie,5 rue EMILE LE BREUS,01160,PU,01/05/1965,,6,Ain
0010039M,19010039600018,10.0,340,Collège de l'Albarine,48 avenue de l'Europe,01230,PU,01/05/1965,,6,Ain
0010040N,19010040400010,10.0,340,Collège Louis Vuitton,Place du Collège,01560,PU,01/05/1965,,6,Ain
0010041P,19010041200013,10.0,340,Collège Vaugelas,19 avenue DOCTEUR BERTHIER,01800,PU,16/02/1971,,6,Ain
0010042R,19010042000016,10.0,340,Collège Bel Air,583 rue Albert Camus,01140,PU,01/05/1965,,6,Ain
0010046V,19010046100010,10.0,340,Collège du Renon,230 rue DU VERNAY,01540,PU,01/05/1965,,6,Ain
0010050Z,,10.0,320,Lycée professionnel,13 PLACE DES DEPORTES,01100,PU,29/10/1965,31/08/1980,6,Ain
0010051A,17010431900034,10.0,809,Circonscription d'inspection du 1er degré de Jassans Riottier,333 rue de la mairie,01480,PU,09/10/1968,,6,Ain
0010052B,17010431900265,10.0,841,Centre d'information et d'orientation de Bourg-En-Bresse,34 rue GENERAL DELESTRAINT,01003,PU,11/01/1966,,6,Ain
0010053C,17010431900372,10.0,841,Centre d'information et d'orientation d'Etat d'Ambérieu en Bugey,Rue MARCEL PAUL,01500,PU,11/01/1966,,6,Ain
0010054D,19010041200013,10.0,390,Section d'enseignement général et professionnel adapté du Collège Vaugelas,19 avenue DOCTEUR BERTHIER,01800,PU,21/05/1974,,6,Ain
0010055E,17010431900208,10.0,841,Centre d'information et d'orientation d'Etat de Valserhône-Pays de Gex,12 rue JOLIOT CURIE,01200,PU,11/01/1966,,6,Ain
0010056F,17010431900026,10.0,841,Centre d'information et d'orientation d'Etat d'Oyonnax,22 rue Victor Hugo,01101,PU,11/01/1966,,6,Ain
0010057G,17010431900364,10.0,841,Centre d'information et d'orientation de Belley,56 rue du Lieutenant Argenton,01300,PU,11/01/1966,,6,Ain
0010059J,19010059400018,10.0,307,"Lycée d'enseignement général, technologique et professionnel agricole de Cibeins",Domaine de cibeins,01600,PU,20/08/1967,,3,Ain
0010060K,26010004500087,10.0,430,INSTITUT DE FORMATION EN SOINS INFIRMIERS,900 route de Paris,01012,PU,25/02/1967,,35,Ain
0010061L,17010431900125,10.0,809,Circonscription d'inspection du 1er degré de Bourg en Bresse - Adjoint DSDEN,10 rue de la Paix,01001,PU,04/01/1967,,6,Ain
0010062M,17010431900448,10.0,809,Circonscription d'inspection du 1er degré de Bâgé,22 grande rue,01380,PU,04/01/1967,,6,Ain
0010063N,17010431900216,10.0,809,Circonscription d'inspection du 1er degré de Belley,11 boulevard de Verdun,01300,PU,04/01/1967,,6,Ain
0010064P,17010431900273,10.0,809,Circonscription d'inspection du 1er degré d'Ambérieu en Bugey,48 rue Jean Jaurès,01500,PU,04/01/1967,,6,Ain
0010065R,17010431900174,10.0,809,Circonscription d'inspection du 1er degré d'Oyonnax,22 bis rue BRILLAT SAVARIN,01100,PU,04/01/1967,,6,Ain
0010066S,19010066900026,10.0,340,Collège Jean Moulin,1273 route de Trévoux,01600,PU,16/02/1971,,6,Ain
0010067T,17010431900257,10.0,809,Circonscription d'inspection du 1er degré de Montrevel en Bresse,395 rue de la Charrière Basse,01340,PU,04/01/1967,,6,Ain
0010068U,19010985000023,10.0,410,A COMPLETER,40 RUE DU GENERAL DELESTRAINT,01000,PU,14/02/1967,25/06/1992,6,Ain
0010069V,77930082100013,10.0,300,Lycée général et technologique privé Ensemble scolaire Lamartine,41 rue GEORGES GIRERD,01300,PR,23/01/1967,,6,Ain
0010070W,43937112100013,10.0,300,Lycée général et technologique privé Saint Pierre,7  RUE VILLENEUVE,01000,PR,23/01/1967,,6,Ain
0010072Y,19010072700014,10.0,306,Lycée polyvalent international,Avenue des Sports,01210,PU,18/02/1971,,6,Ain
0010075B,77934686500040,10.0,300,Lycée général et technologique privé Saint Joseph,101 rue HENRI GROBON,01700,PR,23/01/1922,,6,Ain
0010076C,77554346500048,10.0,340,Collège privé Sainte Marie,21 RUE DU PENSIONNAT,01500,PR,14/09/1978,,6,Ain
0010079F,77931002800013,10.0,340,Collège privé Saint Joseph,3 bis rue du Lycée,01000,PR,15/09/1978,,6,Ain
0010080G,77930989700022,10.0,340,Collège privé Jeanne d'Arc,35 avenue Jean Jaurès,01000,PR,13/09/1978,,6,Ain
0010082J,43937112100013,10.0,340,Collège privé Saint-Pierre,33 rue SAMARITAINE,01000,PR,18/01/1967,,6,Ain
0010083K,77932547100018,10.0,340,Collège privé Saint Louis,Rue DU PENSIONNAT,01120,PR,18/01/1967,,6,Ain
0010084L,77931844300024,10.0,340,Collège privé Saint Charles,36 RUE PHILIBERT COLLET,01400,PR,12/09/1979,,6,Ain
0010086N,77933011700010,10.0,340,Collège privé Saint Charles,79 rue DE L'EGLISE,01570,PR,19/01/1960,,6,Ain
0010088R,77933350900023,10.0,340,Collège privé Jeanne d'Arc,273 rue DE GENEVE,01170,PR,15/09/1977,,6,Ain
0010089S,77934234400016,10.0,340,Collège privé Saint Pierre,261 route du Collège,01851,PR,19/01/1914,,6,Ain
0010092V,77935943900014,10.0,340,Collège privé Saint Joseph,12 rue Michelet,01100,PR,19/01/1967,,6,Ain
0010093W,77554346500022,10.0,151,Ecole primaire privée Sainte Marie,21 rue du Pensionnat,01500,PR,12/03/1971,,6,Ain
0010095Y,78804176200014,10.0,340,Collège privé Saint Joseph,132 RUE JOSEPH BERLIOZ,01140,PR,20/01/1967,,6,Ain
0010097A,77938595400051,10.0,340,Collège privé de la Sidoine,308 avenue du 1er RFM,01600,PR,01/09/1978,,6,Ain
0010099C,77931002800013,10.0,320,Lycée professionnel privé Saint Joseph,3 bis rue du Lycée,01000,PR,21/02/1942,,6,Ain
0010100D,,10.0,151,Ecole primaire privée Saint Joseph,15 RUE DE GERLAND,01500,PR,12/03/1971,31/08/1981,6,Ain
0010102F,33486461800015,10.0,320,Ecole secondaire professionnelle privée de Commerce,Z. IND. RUE LEON BLUM,01500,PR,24/01/1967,14/09/1995,6,Ain
0010103G,,10.0,320,Ecole technique privée Lombard,27 RUE LAFAYETTE,01200,PR,27/01/1967,31/08/1981,6,Ain
0010105J,21010180400024,10.0,151,Ecole primaire,55 ROUTE DE SAUVERNY,01220,PU,27/10/1966,31/08/2003,6,Ain
0010106K,21010210900027,10.0,151,Ecole élémentaire,111 rue des Lapidaires,01410,PU,27/10/1966,,6,Ain
0010107L,21010399000029,10.0,151,ECOLE LE PETIT PRINCE,Rue de la Velle,01170,PU,27/10/1966,,6,Ain
0010108M,21010436000024,10.0,151,Ecole primaire,Rue du Château,01170,PU,27/10/1966,,6,Ain
0010109N,21010160600064,10.0,151,Ecole primaire Jean Calas,Place de la Mairie,01210,PU,20/10/1966,,6,Ain
0010110P,21010160600031,10.0,151,Ecole primaire Florian,1 avenue des Alpes,01210,PU,20/10/1966,,6,Ain
0010112S,21010281000020,10.0,151,Ecole primaire,Chemin de Bejou,01210,PU,20/10/1966,,6,Ain
0010114U,,10.0,151,Ecole primaire,,01630,PU,20/10/1966,31/08/1979,6,Ain
0010115V,,10.0,151,Ecole primaire,,01630,PU,20/10/1966,31/08/1979,6,Ain
0010116W,21010354500021,10.0,151,Ecole primaire Prégnin,61 rue du Fierney,01630,PU,20/10/1966,,6,Ain
0010117X,21010397400023,10.0,151,Ecole primaire Les Genévriers,Avenue des Genévriers,01220,PU,20/10/1966,,6,Ain
0010118Y,21010401400027,10.0,151,Ecole primaire,316 route de Thoiry,01630,PU,20/10/1966,,6,Ain
0010119Z,21010419600048,10.0,151,Ecole primaire Les Platanes,RUE BRIAND STRESSMANN,01710,PU,20/10/1966,31/08/1990,6,Ain
0010120A,21010419600055,10.0,151,Ecole primaire Les Gentianes,RUE DU BREU,01710,PU,20/10/1966,31/08/1990,6,Ain
0010121B,21010419600022,10.0,151,Ecole primaire Fénières,766 RUE DE FENIERES,01710,PU,27/10/1966,31/08/2008,6,Ain
0010122C,21010435200021,10.0,151,Ecole primaire Yves de Tonnac,145 rue Saint Martin,01210,PU,27/10/1966,,6,Ain
0010123D,21010307300024,10.0,151,Ecole primaire JEAN DE LA FONTAINE,Rue des Prairies,01460,PU,20/10/1966,,6,Ain
0010124E,,10.0,151,Ecole primaire,,01430,PU,20/10/1966,31/08/1980,6,Ain
0010125F,,10.0,151,Ecole primaire,,01430,PU,20/10/1966,31/08/1980,6,Ain
0010128J,21010173900030,10.0,101,Ecole maternelle,Avenue Perdtemps,01170,PU,27/10/1966,31/08/2021,6,Ain
0010129K,21010071500023,10.0,151,Ecole primaire,RUE DE LA MAIRIE,01170,PU,27/10/1966,31/08/2000,6,Ain
0010130L,21010103600023,10.0,151,Ecole primaire Françoise Dolto,253 rue Saint Maurice,01170,PU,27/10/1966,,6,Ain
0010131M,21010135800021,10.0,151,Ecole primaire Les Chardons Bleus,Chemin du Croux,01170,PU,27/10/1966,,6,Ain
0010132N,,10.0,151,Ecole primaire,,01220,PU,27/10/1966,31/08/1978,6,Ain
0010133P,,10.0,151,Ecole primaire,,01220,PU,27/10/1966,31/08/1978,6,Ain
0010134R,21010143200057,10.0,101,Ecole maternelle Centre,138 rue du Mont Blanc,01220,PU,27/10/1966,,6,Ain
0010135S,21010143200081,10.0,151,Ecole primaire Vésenex,649 RUE DE VILLARD,01220,PU,27/10/1966,31/08/2008,6,Ain
0010136T,21010143200065,10.0,151,Ecole élémentaire Les Hameaux,154 RUE DE VESENEX,01220,PU,27/10/1966,31/08/2013,6,Ain
0010137U,21010153100023,10.0,151,Ecole primaire Clément Chazalet,60 rue des Maures,01170,PU,27/10/1966,,6,Ain
0010138V,21010247100047,10.0,151,ECOLE ELEMENTAIRE PUBLIQUE,26 rue Michel HOLLARD,01410,PU,27/10/1966,,6,Ain
0010139W,21010237200021,10.0,151,ECOLE ELEMENTAIRE PUBLIQUE,Rue des Ecoles,01100,PU,27/10/1966,,6,Ain
0010141Y,21010283600165,10.0,151,Ecole primaire,Rue Louis Pergaud,01100,PU,27/10/1966,,6,Ain
0010142Z,21010269500033,10.0,101,Ecole maternelle,10 place d'Armes,01130,PU,20/10/1966,,6,Ain
0010143A,21010011100033,10.0,151,Ecole primaire,,01100,PU,20/10/1966,,6,Ain
0010144B,21010063200020,10.0,151,Ecole primaire,405 rue du Château,01460,PU,20/10/1966,,6,Ain
0010145C,21010087100024,10.0,151,Ecole élémentaire,Village Village d'en Bas,01130,PU,20/10/1966,,6,Ain
0010146D,21010170500023,10.0,151,Ecole primaire,16 impasse de l'Ecole,01460,PU,20/10/1966,,6,Ain
0010149G,21010228100024,10.0,151,ECOLE DES FONTAINES,203 chemin de l'école,01430,PU,20/10/1966,,6,Ain
0010150H,,10.0,151,Ecole primaire,,01460,PU,20/10/1966,31/08/1979,6,Ain
0010151J,,10.0,151,Ecole primaire,,01460,PU,20/10/1966,31/08/1979,6,Ain
0010152K,21010265300024,10.0,101,Ecole maternelle,40 avenue de Douglas,01460,PU,20/10/1966,31/08/2022,6,Ain
0010153L,21010265300040,10.0,101,Ecole maternelle Les Tilleuls,Rue des Tilleuls,01460,PU,20/10/1966,,6,Ain
0010154M,21010274500028,10.0,151,Ecole primaire,Rue de la Devy,01130,PU,20/10/1966,,6,Ain
0010155N,21010300800020,10.0,151,Ecole primaire,,01130,PU,20/10/1966,,6,Ain
0010157R,21010283600157,10.0,101,Ecole maternelle Sud,9 rue de Nierme,01100,PU,27/10/1966,,6,Ain
0010158S,21010283600116,10.0,151,Ecole primaire,87 rue de Geilles,01100,PU,27/10/1966,,6,Ain
0010159T,21010014500023,10.0,151,Ecole élémentaire Le Planet,Rue Jules Ferry,01100,PU,27/10/1966,,6,Ain
0010160U,21010014500064,10.0,151,Ecole élémentaire Bernard Clavel,38 rue Général de Gaulle,01100,PU,27/10/1966,,6,Ain
0010161V,21010035000029,10.0,151,Ecole primaire,,01130,PU,27/10/1966,30/08/2015,6,Ain
0010165Z,21010148100021,10.0,151,Ecole élémentaire,2 rue des Ecoles,01590,PU,27/10/1966,,6,Ain
0010168C,21010152300020,10.0,151,Ecole primaire,,01490,PU,27/10/1966,31/08/1985,6,Ain
0010169D,21010152300038,10.0,151,Ecole primaire,LE FAVILLON,01490,PU,27/10/1966,31/08/1985,6,Ain
0010171F,21010181200027,10.0,151,Ecole primaire,,01100,PU,27/10/1966,,6,Ain
0010172G,21010192900151,10.0,151,Ecole primaire,180 rue de l'Oignin,01580,PU,27/10/1966,,6,Ain
0010175K,21010267900037,10.0,151,Ecole primaire,13 chemin Gare,01460,PU,27/10/1966,,6,Ain
0010178N,21010410500023,10.0,151,ECOLE ELEMTAIRE PUBLIQUE,,01580,PU,27/10/1966,,6,Ain
0010179P,21010267900045,10.0,151,Ecole primaire,VOLOGNAT,01760,PU,27/10/1966,31/08/1985,6,Ain
0010180R,21010283600058,10.0,151,Ecole élémentaire Jean Moulin,Place des Déportés,01100,PU,27/10/1966,,6,Ain
0010181S,21010283600215,10.0,151,Ecole élémentaire La Victoire,3 RUE DE LA VICTOIRE,01100,PU,27/10/1966,,6,Ain
0010182T,21010283600173,10.0,151,Ecole élémentaire Pasteur Nord,11 rue Edgar Quinet,01100,PU,27/10/1966,,6,Ain
0010183U,21010283600132,10.0,151,Ecole élémentaire Pasteur Sud,8 rue Molière,01100,PU,27/10/1966,,6,Ain
0010184V,21010283600140,10.0,101,Ecole maternelle Pasteur,6 rue Molière,01100,PU,27/10/1966,,6,Ain
0010185W,21010283600041,10.0,101,Ecole maternelle Marcel Pagnol,Rue Courteline,01100,PU,27/10/1966,31/08/2019,6,Ain
0010186X,21010283600207,10.0,101,Ecole maternelle Daudet Pagnol,8 rue Courteline,01100,PU,27/10/1966,,6,Ain
0010187Y,21010283600108,10.0,101,Ecole maternelle Simone Veil,9 rue du Maquis,01100,PU,27/10/1966,,6,Ain
0010188Z,21010283600124,10.0,101,Ecole maternelle Centre,17 rue Michelet,01100,PU,27/10/1966,,6,Ain
0010192D,21010372700025,10.0,151,Ecole primaire,14 place des saints martinans,01510,PU,14/10/1966,,6,Ain
0010193E,21010053300087,10.0,151,Ecole primaire Lazare Carnot,1 rue Viala,01000,PU,04/10/1966,,6,Ain
0010194F,21010053300095,10.0,101,Ecole maternelle Lazare Carnot,4 RUE BARRA,01000,PU,06/10/1966,31/08/2005,6,Ain
0010195G,,10.0,151,Ecole primaire Groupe scolaire Charles Robin,PLACE DU MAQUIS,01000,PU,04/10/1966,31/08/1978,6,Ain
0010196H,,10.0,151,Ecole primaire Groupe scolaire Charles Robin,PLACE DU MAQUIS,01000,PU,04/10/1966,31/08/1978,6,Ain
0010197J,21010053300269,10.0,101,Ecole maternelle Charles Robin,Place du Maquis,01000,PU,04/10/1966,,6,Ain
0010198K,21010053300368,10.0,153,Ecole primaire d'application Le Peloux ex garçons,RUE COMTE DE LA TEYSSONNIERE,01000,PU,04/10/1966,31/08/2004,6,Ain
0010199L,21010053300376,10.0,153,Ecole primaire d'application Le Peloux ex filles,RUE COMTE DE LA TEYSSONNIERE,01000,PU,04/10/1966,31/08/2004,6,Ain
0010200M,21010053300384,10.0,103,Ecole maternelle d'application Le Peloux,RUE COMTE DE LA TEYSSONNIERE,01000,PU,04/10/1966,31/08/2011,6,Ain
0010201N,21010053300293,10.0,151,Ecole primaire Les Vennes ex garçons,10 RUE MOLIERE,01000,PU,04/10/1966,31/08/1990,6,Ain
0010202P,21010053300319,10.0,151,Ecole primaire Les Vennes ex filles,2 RUE RACINE,01000,PU,04/10/1966,31/08/1990,6,Ain
0010203R,21010053300236,10.0,103,Ecole maternelle d'application Les Vennes,7 RUE LA FONTAINE,01000,PU,04/10/1966,31/08/2009,6,Ain
0010204S,,10.0,151,Ecole primaire,ROUGEMONT,01110,PU,14/10/1966,31/08/1979,6,Ain
0010205T,20008612200138,10.0,151,Ecole primaire,107 rue Pré la Belle,01110,PU,14/10/1966,,6,Ain
0010207V,20008612200161,10.0,151,Ecole élémentaire de Thézillieu,Route de l'Eglise,01110,PU,14/10/1966,,6,Ain
0010208W,,10.0,151,Ecole primaire,PLACE GAMBETTA,01420,PU,14/10/1966,31/08/1979,6,Ain
0010209X,,10.0,151,Ecole primaire,PLACE GAMBETTA,01420,PU,14/10/1966,31/08/1979,6,Ain
0010210Y,21010010300022,10.0,151,Ecole primaire,Rue Ecoles,01350,PU,14/10/1966,,6,Ain
0010211Z,21010082200027,10.0,151,ECOL EPRIMAIRE PIERRE BORGIS,2 rue des Papillons,01420,PU,14/10/1966,,6,Ain
0010212A,44192191300204,10.0,220,UNITE D'ENSEIGNEMENT DE L'ETABLISSEMENT DE SANTE MGEN DE CHANAY- RATTACHEE AU LYCEE SAINT EXUPERY DE BELLEGARDE SUR VALSERINE,,01420,PR,14/10/1966,,35,Ain
0010213B,21010118400021,10.0,151,ECOLE ES SEPT SAGES,81 rue de la Poste,01420,PU,14/10/1966,,6,Ain
0010214C,21010138200021,10.0,151,Ecole primaire La Reysse,RUE DES ECOLES,01350,PU,14/10/1966,31/08/1990,6,Ain
0010215D,21010138200039,10.0,151,Ecole primaire Milvendre,RUE DES ECOLES,01350,PU,14/10/1966,31/08/1990,6,Ain
0010216E,21010138200047,10.0,101,Ecole maternelle,100 rue de l'Eglise,01350,PU,14/10/1966,,6,Ain
0010217F,21010452700028,10.0,151,Ecole élémentaire Soremont,Route d'Hauteville,01510,PU,14/10/1966,31/08/2018,6,Ain
0010218G,21010452700036,10.0,151,Ecole primaire Les Pelans,Rue des Ecoles,01510,PU,14/10/1966,,6,Ain
0010219H,,10.0,151,Ecole primaire,,01510,PU,14/10/1966,31/08/1978,6,Ain
0010222L,21010073100020,10.0,151,Ecole primaire Anne-Marie Lagrange,60 route de Culoz,01350,PU,14/10/1966,,6,Ain
0010224N,21010116800024,10.0,151,Ecole primaire,45 impasse des Ravens,01300,PU,14/10/1966,,6,Ain
0010225P,21010453500021,10.0,151,Ecole élémentaire,45 A rue de l'Eglise,01260,PU,14/10/1966,,6,Ain
0010226R,20008640300074,10.0,101,Ecole primaire,45 rue de l'école,01260,PU,13/10/1966,,6,Ain
0010227S,21010039200021,10.0,151,ECOLE ELEMENTAIRE PUBLIQUE,2 rue du Clusy,01350,PU,13/10/1966,,6,Ain
0010228T,21010022800035,10.0,151,Ecole élémentaire,Rue des Ecoles,01510,PU,13/10/1966,,6,Ain
0010230V,21010079800029,10.0,151,Ecole primaire,43 rue de la croix rouge,01260,PU,13/10/1966,,6,Ain
0010233Y,20008612200146,10.0,101,Ecole maternelle Centre,Rue Masonod,01110,PU,14/10/1966,,6,Ain
0010234Z,21010185300039,10.0,151,Ecole primaire Lompnès,RUE HENRIETTE D ANGEVILLE,01110,PU,14/10/1966,31/08/2007,6,Ain
0010235A,,10.0,151,Ecole primaire,GROUPE SCOLAIRE DE LOMPNES,01110,PU,14/10/1966,31/08/1980,6,Ain
0010237C,21010012900027,10.0,151,ECOLE ELEMENTAIRE PUBLIQUE,Route d'Evosges,01110,PU,14/10/1966,,6,Ain
0010239E,21010427900067,10.0,151,Ecole élémentaire Béluizon,730 chemin des Corbettes,01600,PU,19/10/1966,,6,Ain
0010240F,21010427900125,10.0,151,GROUPE SCOLAIRE DU FIL D'OR,170 avenue  Guigue,01600,PU,19/10/1966,,6,Ain
0010241G,21010427900059,10.0,101,Ecole maternelle Poyat,20 boulevard Poyat,01600,PU,19/10/1966,31/08/2020,6,Ain
0010242H,,10.0,151,Ecole primaire,,01480,PU,19/10/1966,31/08/1978,6,Ain
0010243J,,10.0,151,Ecole primaire,,01480,PU,19/10/1966,31/08/1978,6,Ain
0010244K,21010105100022,10.0,151,Ecole primaire,Route Bois Ravat,01390,PU,19/10/1966,,6,Ain
0010245L,21010166300024,10.0,151,Ecole primaire Juliette Marcel Merle,Rue des Ecoles,01480,PU,19/10/1966,,6,Ain
0010246M,,10.0,151,Ecole primaire privée,RUE DES ECOLES,01480,PR,12/03/1971,31/08/1979,6,Ain
0010247N,,10.0,151,Ecole primaire privée,,01480,PR,12/03/1971,31/08/1979,6,Ain
0010248P,21010194500066,10.0,151,Ecole primaire ex garçons,RUE DE LA MAIRIE,01480,PU,19/10/1966,31/08/1987,6,Ain
0010249R,21010194500058,10.0,151,Ecole primaire ex filles,RUE DE LA MAIRIE,01480,PU,19/10/1966,31/08/1987,6,Ain
0010250S,21010238000032,10.0,151,Ecole primaire,9 chemin du Petit Bois,01600,PU,19/10/1966,,6,Ain
0010251T,21010248900023,10.0,151,Ecole primaire,Place Alain Chapel,01390,PU,19/10/1966,,6,Ain
0010252U,21010250500026,10.0,151,Ecole primaire,Grande rue,01600,PU,19/10/1966,,6,Ain
0010253V,77929471900017,10.0,151,Ecole primaire privée,380 rue de l'Eglise,01340,PR,12/03/1971,,6,Ain
0010254W,77930081300028,10.0,151,Ecole élémentaire privée Louis Chambard,31 rue des Cordeliers,01300,PR,12/03/1971,30/08/2019,6,Ain
0010255X,21010285100024,10.0,151,Ecole primaire,Allée des Marronniers,01600,PU,19/10/1966,,6,Ain
0010256Y,21010318000027,10.0,101,Ecole de Rancé,88 rue de la mairie,01390,PU,19/10/1966,,6,Ain
0010259B,21010443600030,10.0,151,ECOLE SIMONE VEIL,Place de Verdun,01330,PU,19/10/1966,,6,Ain
0010263F,21010235600032,10.0,151,Ecole primaire,5 place du marché,01240,PU,20/10/1966,,6,Ain
0010264G,21010261200020,10.0,151,Ecole primaire,,01390,PU,20/10/1966,,6,Ain
0010268L,77930081300010,10.0,151,Ecole primaire privée Sainte Anne,47 rue Maurice PONTE,01300,PR,12/03/1971,,6,Ain
0010269M,77930989700014,10.0,151,Ecole primaire privée Jeanne d'Arc,35 avenue Jean Jaurès,01000,PR,12/03/1971,,6,Ain
0010270N,32818617600017,10.0,151,Ecole primaire privée Notre-Dame,8 rue de Varenne,01000,PR,12/03/1971,,6,Ain
0010272R,,10.0,320,Ecole technique privée Pigier,6 RUE LAMARTINE,01000,PR,28/01/1967,11/12/1980,6,Ain
0010273S,77930993900014,10.0,151,Ecole primaire privée Saint Louis,9 RUE BOURGMAYER,01000,PR,12/03/1971,31/08/1992,6,Ain
0010274T,,10.0,151,Ecole primaire privée Saint Nicolas,27 RUE DU DOCTEUR NODET,01000,PR,12/03/1971,31/08/1982,6,Ain
0010277W,21010376800037,10.0,101,Ecole maternelle Saint-Exupéry,Place Charles de Gaulle,01700,PU,18/10/1966,,6,Ain
0010278X,21010418800029,10.0,151,Ecole primaire,Rue Mairie,01120,PU,18/10/1966,,6,Ain
0010279Y,21010249700075,10.0,101,Ecole maternelle Odette Joly,12,01700,PU,14/10/1966,31/08/2010,6,Ain
0010280Z,21010249700042,10.0,151,Ecole primaire Jean de La Fontaine,1451 rue de la Dombes,01700,PU,14/10/1966,,6,Ain
0010281A,21010249700059,10.0,151,Ecole primaire,,01700,PU,14/10/1966,,6,Ain
0010285E,,10.0,151,Ecole primaire,,01700,PU,15/10/1966,31/08/1979,6,Ain
0010286F,,10.0,151,Ecole primaire,,01700,PU,15/10/1966,31/08/1979,6,Ain
0010287G,77930998800011,10.0,151,Ecole primaire privée Sainte Marie,9 rue Georges Guynemer,01000,PR,12/03/1971,,6,Ain
0010288H,77930992100012,10.0,151,Ecole primaire privée Saint Vincent,25 RUE GABRIEL VICAIRE,01000,PR,12/03/1971,31/08/1992,6,Ain
0010289J,33345065800013,10.0,151,Ecole primaire privée Sainte Marie,,01990,PR,12/03/1971,31/08/2003,6,Ain
0010293N,21010437800026,10.0,151,Ecole primaire,,01560,PU,04/10/1966,31/08/1993,6,Ain
0010296S,77931844300016,10.0,151,Ecole primaire privée Saint Charles,36 rue Philibert Collet,01400,PR,12/03/1971,,6,Ain
0010297T,33345061700019,10.0,151,Ecole primaire privée Sainte Marie,Route de Saint Maurice,01170,PR,12/03/1971,,6,Ain
0010298U,33345063300016,10.0,151,Ecole primaire privée,,01340,PR,12/03/1971,31/08/1990,6,Ain
0010299V,77932547100018,10.0,151,Ecole primaire privée Saint Louis,Rue du Pensionnat,01120,PR,12/03/1971,,6,Ain
0010302Y,,10.0,151,Ecole primaire,,01560,PU,04/10/1966,31/08/1982,6,Ain
0010305B,21010212500023,10.0,101,ECOLE DE LESCHEROUX,,01560,PU,04/10/1966,,6,Ain
0010306C,21010230700027,10.0,151,Ecole élémentaire,,01560,PU,04/10/1966,31/08/2021,6,Ain
