MEF,DISPOSITIF_FORMATION,FORMATION_DIPLOME,DUREE_DISPOSITIF,ANNEE_DISPOSITIF,LIBELLE_COURT,LIBELLE_LONG,DATE_OUVERTURE,DATE_FERMETURE,STATUT_MEF,NB_OPTION_OBLIGATOIRE,NB_OPTION_FACULTATIF,RENFORCEMENT_LANGUE,DUREE_PROJET,DUREE_STAGE,HORAIRE,MEF_INSCRIPTION_SCOLARITE,MEF_STAT_11,MEF_STAT_9,DATE_INTERVENTION,LIBELLE_EDITION,N_COMMENTAIRE
2403130711.0,240.0,50031307,1.0,1.0,1CAP1 31307,1CAP1  BANQUE,01/09/1997,31/08/2003,3.0,1.0,,N,,,O,O,23110031307,231100313,26/04/2002,1cap1  banque,
2453220411.0,245.0,40032204,1.0,1.0,1BPR1 32204,1BPR1  PRODUCTION IMPRIMEE,01/09/2004,31/08/2010,3.0,1.0,,N,,,O,O,23610032204,236100322,16/01/2014,1bpr1  production imprimee,
2412300421.0,241.0,50023004,2.0,1.0,1CAP2 23004,1CAP2  AGENT AUTOROUTIER,01/09/1997,31/08/2005,3.0,1.0,,N,,,O,O,23210023004,232100230,11/03/2005,1cap2  agent autoroutier,
2542331621.0,254.0,45023316,2.0,1.0,1BP2  23316,1BP2   CARRELEUR MOSAISTE,01/09/2018,,3.0,0.0,,N,,,N,O,25110023316,251100233,26/04/2018,1bp2 carreleur mosaïste,
2412412721.0,241.0,50024127,2.0,1.0,1CAP2 24127,1CAP2 ARTS DE LA BRODERIE,01/09/1992,,3.0,1.0,,N,,,O,O,23210024127,232100241,23/01/2019,1cap2 arts de la broderie,GH1 P
1021000711.0,102.0,67010007,1.0,1.0,4DISP,4EME AIDE ET SOUTIEN,01/09/1993,31/08/2010,1.0,1.0,,N,,,O,O,21140010007,211400100,24/03/2010,4eme aide et soutien,
3102210611.0,310.0,32022106,1.0,1.0,1BTS1 22106,1BTS1  BIOQUALITE,01/09/2021,,3.0,1.0,,N,,,N,O,32111022106,321110221,30/03/2020,1bts1 bioqualité,
2543130122.0,254.0,45031301,2.0,2.0,2BP2  31301,2BP2 BANQUE,01/09/1993,31/08/2020,3.0,0.0,,N,,,N,O,25120031301,251200313,27/02/2017,2bp2 banque,
2442330121.0,244.0,51023301,2.0,1.0,SECBEP23301,SECBEP FINITION,01/09/1992,31/08/2009,3.0,1.0,,N,,,O,O,23510023301,235100233,05/05/2009,Secbep finition,
2423130231.0,242.0,50031302,3.0,1.0,1CAP3 31302,1CAP3 BANQUE,01/09/1995,31/08/1997,3.0,1.0,1.0,N,0.0,0.0,O,O,23310031302,233100313,04/12/1996,1cap3 banque,
2422211132.0,242.0,50022111,3.0,2.0,2CAP3 22111,2CAP3 BOULANGER,01/09/1995,31/08/2003,3.0,1.0,,N,,,O,O,23320022111,233200221,09/08/2002,2cap3 boulanger,
2403360511.0,240.0,50033605,1.0,1.0,1CAP1 33605,1CAP1 COIFFURE,01/09/1995,31/08/2008,3.0,1.0,,N,,,O,O,23110033605,231100336,23/07/2007,1cap1 coiffure,
2412431621.0,241.0,50024316,2.0,1.0,1CAP2 24316,1CAP2  CHAUSSURE,01/09/1998,,3.0,1.0,,N,,,O,O,23210024316,232100243,23/01/2019,1cap2 chaussure,GH1
2412540722.0,241.0,50025407,2.0,2.0,2CAP2 25407,2CAP2 SOUDEUR,01/09/1992,02/09/1992,3.0,0.0,0.0,N,0.0,0.0,N,O,23220025407,232200254,27/01/1995,2cap2 soudeur,
2422540733.0,242.0,50025407,3.0,3.0,3CAP3 25407,3CAP3 SOUDEUR,01/09/1992,31/08/1993,3.0,0.0,0.0,N,0.0,0.0,N,O,23330025407,233300254,27/01/1995,3cap3 soudeur,
2213200111.0,221.0,42032001,1.0,1.0,1BT   32001,1BT PUBLICITE,01/09/1992,31/08/2000,3.0,0.0,0.0,N,0.0,0.0,N,O,22123132001,221231320,29/11/2001,1bt publicite,
2223200111.0,222.0,42032001,1.0,1.0,TBT   32001,TBT PUBLICITE,01/09/1992,31/08/2000,3.0,0.0,0.0,N,0.0,0.0,N,O,22133132001,221331320,29/11/2001,Tbt publicite,
2423130632.0,242.0,50031306,3.0,2.0,2CAP3 31306,2CAP3 BOURSE,01/09/1995,31/08/2003,3.0,1.0,,N,,,O,O,23320031306,233200313,20/08/2002,2cap3 bourse,
3112310421.0,311.0,32023104,2.0,1.0,1BTS2 23104,1BTS2 GEOMETRE TOPOGRAPHE,01/09/1992,31/08/1997,3.0,1.0,0.0,N,0.0,8.0,O,O,32211023104,322110231,19/03/1997,1bts2 geometre topographe,
3112320121.0,311.0,32023201,2.0,1.0,1BTS2 23201,1BTS2 TRAVAUX PUBLICS,01/09/1992,31/08/1993,3.0,0.0,1.0,N,0.0,8.0,N,O,32211023201,322110232,27/01/1995,1bts2 travaux publics,
3112320122.0,311.0,32023201,2.0,2.0,2BTS2 23201,2BTS2 TRAVAUX PUBLICS,01/09/1992,31/08/1994,3.0,0.0,1.0,N,0.0,0.0,N,O,32221023201,322210232,27/01/1995,2bts2 travaux publics,
3112310422.0,311.0,32023104,2.0,2.0,2BTS2 23104,2BTS2 GEOMETRE TOPOGRAPHE,01/09/1992,31/08/1998,3.0,1.0,0.0,N,0.0,0.0,O,O,32221023104,322210231,13/10/1997,2bts2 geometre topographe,
3112310521.0,311.0,32023105,2.0,1.0,1BTS2 23105,1BTS2 TRAVAUX PUBLICS,01/09/1993,31/08/2011,3.0,1.0,,N,,,O,O,32211023105,322110231,29/04/2011,1bts2 travaux publics,
3112310522.0,311.0,32023105,2.0,2.0,2BTS2 23105,2BTS2 TRAVAUX PUBLICS,01/09/1994,31/08/2012,3.0,1.0,,N,,,O,O,32221023105,322210231,29/04/2011,2bts2 travaux publics,
3112300222.0,311.0,32023002,2.0,2.0,2BTS2 23002,2BTS2 ADJOINT TECHNIQ.ENTREPR.BATIMENT,01/09/1992,02/09/1992,3.0,0.0,0.0,N,0.0,0.0,N,O,32221023002,322210230,27/01/1995,2bts2 adjoint techniq.entrepr.batiment,
3112320221.0,311.0,32023202,2.0,1.0,1BTS2 23202,1BTS2 BATIMENT,01/09/1992,31/08/1999,3.0,1.0,1.0,N,0.0,8.0,O,O,32211023202,322110232,20/05/1999,1bts2 batiment,
3112320222.0,311.0,32023202,2.0,2.0,2BTS2 23202,2BTS2 BATIMENT,01/09/1992,31/08/2000,3.0,1.0,1.0,N,0.0,0.0,O,O,32221023202,322210232,01/10/1999,2bts2 batiment,
3112330121.0,311.0,32023301,2.0,1.0,1BTS2 23301,"1BTS2 EQUIP.ENERGIE OP_A : TOIT, PLOMB.",01/09/1992,31/08/1999,3.0,1.0,1.0,N,0.0,8.0,O,O,32211023301,322110233,17/05/1999,"1bts2 equip.energie op_a : toit, plomb.",
3112330122.0,311.0,32023301,2.0,2.0,2BTS2 23301,"2BTS2 EQUIP.ENERGIE OP_A : TOIT, PLOMB.",01/09/1992,31/08/2000,3.0,1.0,1.0,N,0.0,0.0,O,O,32221023301,322210233,01/10/1999,"2bts2 equip.energie op_a : toit, plomb.",
3112270121.0,311.0,32022701,2.0,1.0,1BTS2 22701,1BTS2 EQUIP.ENERGIE OP_B: INSTAL.THERM.,01/09/1992,31/08/1999,3.0,1.0,1.0,N,0.0,8.0,O,O,32211022701,322110227,17/05/1999,1bts2 equip.energie op_b: instal.therm.,
3112270122.0,311.0,32022701,2.0,2.0,2BTS2 22701,2BTS2 EQUIP.ENERGIE OP_B: INSTAL.THERM.,01/09/1992,31/08/2000,3.0,1.0,1.0,N,0.0,0.0,O,O,32221022701,322210227,01/10/1999,2bts2 equip.energie op_b: instal.therm.,
3112270221.0,311.0,32022702,2.0,1.0,1BTS2 22702,1BTS2 EQUIP.ENERGIE OP_C: INSTAL.FRIGO.,01/09/1992,31/08/1999,3.0,1.0,1.0,N,0.0,8.0,O,O,32211022702,322110227,17/05/1999,1bts2 equip.energie op_c: instal.frigo.,
3112270222.0,311.0,32022702,2.0,2.0,2BTS2 22702,2BTS2 EQUIP.ENERGIE OP_C: INSTAL.FRIGO.,01/09/1992,31/08/2000,3.0,1.0,1.0,N,0.0,0.0,O,O,32221022702,322210227,01/10/1999,2bts2 equip.energie op_c: instal.frigo.,
3112270321.0,311.0,32022703,2.0,1.0,1BTS2 22703,1BTS2 EQUIP.ENERGIE OP_D: TRANSP.GAZ,01/09/1992,31/08/1999,3.0,1.0,1.0,N,0.0,8.0,O,O,32211022703,322110227,17/05/1999,1bts2 equip.energie op_d: transp.gaz,
3112270322.0,311.0,32022703,2.0,2.0,2BTS2 22703,2BTS2 EQUIP.ENERGIE OP_D: TRANSP.GAZ,01/09/1992,31/08/2000,3.0,1.0,1.0,N,0.0,0.0,O,O,32221022703,322210227,01/10/1999,2bts2 equip.energie op_d: transp.gaz,
3112550821.0,311.0,32025508,2.0,1.0,1BTS2 25508,1BTS2 DOMOTIQUE,01/09/1992,31/08/2014,3.0,1.0,,N,,,O,O,32211025508,322110255,25/04/2014,1bts2 domotique,
3112550822.0,311.0,32025508,2.0,2.0,2BTS2 25508,2BTS2 DOMOTIQUE,01/09/1992,31/08/2015,3.0,1.0,,N,,,O,O,32221025508,322210255,25/04/2014,2bts2 domotique,
3112230121.0,311.0,32022301,2.0,1.0,1BTS2 22301,1BTS2 FONDERIE EN MOULES METALLIQUES,01/09/1992,02/09/1992,3.0,0.0,0.0,N,0.0,0.0,N,O,32211022301,322110223,27/01/1995,1bts2 fonderie en moules metalliques,
3112230122.0,311.0,32022301,2.0,2.0,2BTS2 22301,2BTS2 FONDERIE EN MOULES METALLIQUES,01/09/1992,02/09/1992,3.0,0.0,0.0,N,0.0,0.0,N,O,32221022301,322210223,27/01/1995,2bts2 fonderie en moules metalliques,
3112230221.0,311.0,32022302,2.0,1.0,1BTS2 22302,1BTS2 FONDERIE SUR MODELES,01/09/1992,02/09/1992,3.0,0.0,0.0,N,0.0,0.0,N,O,32211022302,322110223,24/01/1997,1bts2 fonderie sur modeles,
3112230222.0,311.0,32022302,2.0,2.0,2BTS2 22302,2BTS2 FONDERIE SUR MODELES,01/09/1992,02/09/1992,3.0,0.0,0.0,N,0.0,0.0,N,O,32221022302,322210223,24/01/1997,2bts2 fonderie sur modeles,
3112230321.0,311.0,32022303,2.0,1.0,1BTS2 22303,1BTS2 PRODUCTIQ.ALLIAGES: MOULES PERM.,01/09/1992,31/08/1997,3.0,1.0,0.0,N,0.0,10.0,O,O,32211022303,322110223,18/03/1997,1bts2 productiq.alliages: moules perm.,
3112230322.0,311.0,32022303,2.0,2.0,2BTS2 22303,2BTS2 PRODUCTIQ.ALLIAGES: MOULES PERM.,01/09/1992,31/08/1998,3.0,1.0,0.0,N,0.0,0.0,O,O,32221022303,322210223,13/10/1997,2bts2 productiq.alliages: moules perm.,
3112230421.0,311.0,32022304,2.0,1.0,1BTS2 22304,1BTS2 PRODUCTIQ.ALLIAG: MOULES NON PERM,01/09/1992,31/08/1997,3.0,1.0,0.0,N,0.0,10.0,O,O,32211022304,322110223,18/03/1997,1bts2 productiq.alliag: moules non perm,
3112230422.0,311.0,32022304,2.0,2.0,2BTS2 22304,2BTS2 PRODUCTIQ.ALLIAG: MOULES NON PERM,01/09/1992,31/08/1998,3.0,1.0,0.0,N,0.0,0.0,O,O,32221022304,322210223,13/10/1997,2bts2 productiq.alliag: moules non perm,
3112230521.0,311.0,32022305,2.0,1.0,1BTS2 22305,1BTS2 TRAITM.MATERX OP_A: TRAIT.THERMIQ,01/09/1992,02/09/1992,3.0,0.0,0.0,N,0.0,8.0,N,O,32211022305,322110223,27/01/1995,1bts2 traitm.materx op_a: trait.thermiq,
2222420111.0,222.0,42024201,1.0,1.0,TBT   24201,TBT CONCEPTION CONSTR.FABRIC.HABILLMT,01/09/1992,02/09/1992,1.0,0.0,0.0,N,0.0,0.0,N,O,22133124201,221331242,27/01/1995,Tbt conception constr.fabric.habillmt,
2212420211.0,221.0,42024202,1.0,1.0,1BT   24202,1BT COSTUMIER DE THEATRE,01/09/1992,31/08/2000,3.0,0.0,0.0,N,0.0,0.0,N,O,22123124202,221231242,29/11/2001,1bt costumier de theatre,
2222420211.0,222.0,42024202,1.0,1.0,TBT   24202,TBT COSTUMIER DE THEATRE,01/09/1992,31/08/2000,3.0,0.0,0.0,N,0.0,0.0,N,O,22133124202,221331242,29/11/2001,Tbt costumier de theatre,
