code_ogr;libelle_appellation_long;libelle_appellation_court;code_rome;transition_eco;transition_num;transition_demo;emploi_reglemente;emploi_cadre;classification;origine
19249;Retoucheur / Retoucheuse sur tôles laquées en construction automobile;Retoucheur(se) sur tôles laquées construction automobile;H3404;;;;;;SYNONYME;
19250;Retoucheur / Retoucheuse sur tôles nues en construction automobile;Retoucheur(se) sur tôles nues en construction automobile;H2909;;;;;;SYNONYME;
19251;Retoucheur vendeur / Retoucheuse vendeuse;Retoucheur vendeur / Retoucheuse vendeuse;D1207;;;;;;SYNONYME;
19252;Retoucheur-chromiste / Retoucheuse-chromiste;Retoucheur-chromiste / Retoucheuse-chromiste;E1306;;;;;;SYNONYME;
19253;Réunisseur / Réunisseuse;Réunisseur / Réunisseuse;H2404;;;;;;SYNONYME;
19254;Revenue Manager;Revenue Manager;G1302;;;;;;SYNONYME;
19255;Revêtisseur-étanchéiste / Revêtisseuse-étanchéiste;Revêtisseur-étanchéiste / Revêtisseuse-étanchéiste;F1613;;;;;;SYNONYME;
19256;Réviseur / Réviseuse;Réviseur / Réviseuse;E1305;;;;;;SYNONYME;
19257;Réviseur / Réviseuse des comptes;Réviseur / Réviseuse des comptes;M1202;;;;;;SYNONYME;
19258;Rhabilleur / Rhabilleuse en horlogerie;Rhabilleur / Rhabilleuse en horlogerie;H2909;;;;;;SYNONYME;
19259;Rhabilleur / Rhabilleuse en lunetterie;Rhabilleur / Rhabilleuse en lunetterie;H2909;;;;;;SYNONYME;
19260;Rhodieur industriel / Rhodieuse industrielle;Rhodieur industriel / Rhodieuse industrielle;H3402;;;;;;SYNONYME;
19261;Rhumatologue;Rhumatologue;J1102;;;;;;SYNONYME;
19262;Rigger;Rigger;L1506;;;;;;SYNONYME;
19263;Ripeur / Ripeuse;Ripeur / Ripeuse;K2303;Emploi Vert;;;;;PRINCIPALE;
19264;Rippeur / Rippeuse spectacle;Rippeur / Rippeuse spectacle;L1506;;;;;;SYNONYME;
19265;Risk manager - risques financiers;Risk manager- risques financiers;M1201;;;;;;SYNONYME;
19266;Riziculteur / Rizicultrice;Riziculteur / Rizicultrice;A1416;;;;;;SYNONYME;
19267;Road;Road;L1506;;;;;;SYNONYME;
19268;Roboticien automaticien / Roboticienne automaticienne;Roboticien automaticien / Roboticienne automaticienne;H1208;;O;;;;SYNONYME;
19269;Roboticien / Roboticienne de la recherche scientifique;Roboticien / Roboticienne de la recherche scientifique;K2402;;O;;;;SYNONYME;
19270;Rogneur / Rogneuse;Rogneur / Rogneuse;H2205;;;;;;SYNONYME;
19271;Rogneur / Rogneuse en industrie graphique;Rogneur / Rogneuse en industrie graphique;E1302;;;;;;SYNONYME;
19272;Rogneur-débordeur / Rogneuse-débordeuse;Rogneur-débordeur / Rogneuse-débordeuse;H2407;;;;;;SYNONYME;
19273;Romancier / Romancière;Romancier / Romancière;E1102;;;;;;SYNONYME;
19274;Rondier / Rondière en centrale à béton prêt à l'emploi;Rondier / Rondière en centrale à béton prêt à l'emploi;H2804;;;;;;SYNONYME;
19275;Rondier / Rondière en centrale ciment;Rondier / Rondière en centrale ciment;H2804;;;;;;SYNONYME;
19276;Rondier / Rondière en installation de traitement de granulats;Rondier/Rondière en installation de traitement de granulats;H2804;;;;;;SYNONYME;
19277;Rondier / Rondière en installation de traitement d'enrobés;Rondier / Rondière en installation de traitement d'enrobés;H2804;;;;;;SYNONYME;
19278;Rondier / Rondière en pétrochimie;Rondier / Rondière en pétrochimie;H2701;;;;;;SYNONYME;
19279;Rondier / Rondière en production d'énergie;Rondier / Rondière en production d'énergie;H2701;Emploi stratégique pour la Transition écologique;;;;;SYNONYME;
19280;Rondier / Rondière en sécurité;Rondier / Rondière en sécurité;K2503;;;;;;SYNONYME;
19281;Rondier polyvalent / Rondière polyvalente en industrie chimique;Rondier(ère) polyvalent(e) en industrie chimique;H2301;;;;;;SYNONYME;
19282;Rosiériste;Rosiériste;A1414;;;;;;SYNONYME;
19283;Rotativiste;Rotativiste;E1301;;;;;;SYNONYME;
19284;Rotativiste hélio;Rotativiste hélio;E1301;;;;;;SYNONYME;
19285;Rotativiste offset;Rotativiste offset;E1301;;;;;;SYNONYME;
19286;Rotativiste typo;Rotativiste typo;E1301;;;;;;SYNONYME;
19287;Rotinier / Rotinière;Rotinier / Rotinière;B1401;;;;;;SYNONYME;
19288;Rôtisseur / Rôtisseuse;Rôtisseur / Rôtisseuse;D1103;;;;;;SYNONYME;
19289;Roughman / Roughwoman en arts graphiques;Roughman / Roughwoman en arts graphiques;E1205;;O;;;;SYNONYME;
19290;Roughman / Roughwoman en design;Roughman / Roughwoman en design;H1204;;;;;;SYNONYME;
19291;Routier / Routière;Routier / Routière;N4101;;;;;;SYNONYME;
19292;Rubanier / Rubanière;Rubanier / Rubanière;H2403;;;;;;SYNONYME;
19293;Rudologue en industrie;Rudologue en industrie;H1206;Emploi stratégique pour la Transition écologique;;;;;SYNONYME;
19294;Sableur industriel / Sableuse industrielle;Sableur industriel / Sableuse industrielle;H3401;;;;;;SYNONYME;
19295;Sableur / Sableuse sur verre;Sableur / Sableuse sur verre;H3401;;;;;;SYNONYME;
19296;Sabotier / Sabotière;Sabotier / Sabotière;H2208;;;;;;SYNONYME;
19297;Sacrificateur / Sacrificatrice;Sacrificateur / Sacrificatrice;H2101;;;;;;SYNONYME;
19299;Homme sage-femme / Sage-femme;Homme sage-femme / Sage-femme;J1104;;;;;;PRINCIPALE;
19300;Saigneur / Saigneuse;Saigneur / Saigneuse;H2101;;;;;;SYNONYME;
19301;Saliculteur / Salicultrice;Saliculteur / Salicultrice;A1417;Emploi stratégique pour la Transition écologique;;;;;PRINCIPALE;
19302;Salinier / Salinière;Salinier / Salinière;A1417;Emploi stratégique pour la Transition écologique;;;;;SYNONYME;
19303;Salmoniculteur / Salmonicultrice (saumons);Salmoniculteur / Salmonicultrice (saumons);A1404;;;;;;SYNONYME;
19304;Sanforiseur / Sanforiseuse en industrie textile;Sanforiseur / Sanforiseuse en industrie textile;H2406;;;;;;SYNONYME;
19305;Santonnier / Santonnière;Santonnier / Santonnière;B1201;;;;;;SYNONYME;
19306;Sapeur / Sapeuse de combat;Sapeur / Sapeuse de combat;K1701;;;;;;SYNONYME;
19307;Sapeur / Sapeuse de construction modulaire militaire;Sapeur / Sapeuse de construction modulaire militaire;F1604;;;;;;SYNONYME;
19308;Sapeur / Sapeuse travaux lourds et voies ferrées;Sapeur / Sapeuse travaux lourds et voies ferrées;F1702;;;;;;SYNONYME;
19309;Sapeur-pompier / Sapeuse-pompière;Sapeur-pompier / Sapeuse-pompière;K1705;;;;;;SYNONYME;
19310;Sapeur-pompier / Sapeuse-pompière de cellule d'intervention chimique et radiologique;Sapeur(se)-pompier(ère) cellule intervention chimique radio;I1503;;;;;;SYNONYME;
19311;Satineur / Satineuse en tannerie-mégisserie;Satineur / Satineuse en tannerie-mégisserie;H2407;;;;;;SYNONYME;
19312;Saucier / Saucière en industrie alimentaire;Saucier / Saucière en industrie alimentaire;H2102;;;;;;SYNONYME;
19313;Saunier / Saunière;Saunier / Saunière;A1417;Emploi stratégique pour la Transition écologique;;;;;SYNONYME;
19314;Sauveteur / Sauveteuse aquatique;Sauveteur / Sauveteuse aquatique;G1207;;;;;;SYNONYME;
19315;Scannériste;Scannériste;E1306;;;;;;SYNONYME;
19316;Scaphandrier / Scaphandrière;Scaphandrier / Scaphandrière;I1502;;;;;;PRINCIPALE;
19317;Scaphandrier inspecteur / Scaphandrière inspectrice;Scaphandrier inspecteur / Scaphandrière inspectrice;I1502;;;;;;SYNONYME;
19318;Scaphandrier soudeur / Scaphandrière soudeuse;Scaphandrier soudeur / Scaphandrière soudeuse;I1502;;;;;;SYNONYME;
19319;Scénariste;Scénariste;E1102;;;;;;SYNONYME;
19320;Scénographe produits;Scénographe produits;B1301;;;;;;SYNONYME;
19321;Scénographe spectacle;Scénographe spectacle;L1503;;;;;;SYNONYME;
19322;Scénographe-muséographe;Scénographe-muséographe;B1301;;;;;;SYNONYME;
19323;Scieur / Scieuse;Scieur / Scieuse;H2905;;;;;;SYNONYME;
19324;Scieur / Scieuse bois;Scieur / Scieuse bois;H2205;;;;;;SYNONYME;
19325;Scieur / Scieuse d'ardoise;Scieur / Scieuse d'ardoise;F1402;;;;;;SYNONYME;
19326;Scieur / Scieuse de granit;Scieur / Scieuse de granit;F1402;;;;;;SYNONYME;
19327;Scieur / Scieuse de peaux;Scieur / Scieuse de peaux;H2407;;;;;;SYNONYME;
19328;Scieur / Scieuse de pierre;Scieur / Scieuse de pierre;F1402;;;;;;SYNONYME;
19329;Scieur / Scieuse de reprise;Scieur / Scieuse de reprise;H2205;;;;;;SYNONYME;
19330;Scieur / Scieuse de roches;Scieur / Scieuse de roches;F1402;;;;;;SYNONYME;
