Formation;Diplôme;cfd;Région sélectionnée;codeRegion;codeDispositif
Conception et réalisation des systèmes automatiques;MC;32020111;Île-de-France;11;311
Conception et réalisation en chaudronnerie industrielle;MC;32025415;Île-de-France;11;311
Conducteur livreur de marchandises;CAP;50031118;Île-de-France;11;241
Cybersécurité, informatique et réseaux, electronique option a informatique et réseaux;MC;32020116;Île-de-France;11;311
Cybersécurité, informatique et réseaux, electronique option b électronique et réseaux;MC;32025521;Île-de-France;11;311
Equipier polyvalent du commerce;CAP;50031224;Île-de-France;11;241
Equipier polyvalent du commerce;CAP;50031224;Île-de-France;11;241
Essayage-retouche-vente;MC;01024201;Île-de-France;11;253
Etudes de réalisation d'un projet de communication option a études de réalisation de produits pluri média;MC;32032210;Île-de-France;11;311
Etudes de réalisation d'un projet de communication option b études de réalisation de produits imprimés;MC;32032211;Île-de-France;11;311
Façonnage de produits imprimés, routage;BAC PRO;40032206;Île-de-France;11;247
Fluides-énergies-domotique option a génie climatique et fluidique;MC;32022709;Île-de-France;11;311
Fluides-énergies-domotique option b froid et conditionnement d'air;MC;32022710;Île-de-France;11;311
Gestion des transports et logistique associée;MC;32031103;Île-de-France;11;311
Maintenance des matériels option c: matériels d'espaces verts;CAP;50025223;Île-de-France;11;241
Maintenance des systèmes option b systèmes énergétiques et fluidiques;MC;32025015;Île-de-France;11;311
Maintenance des véhicules option a - voitures particulières;CAP;50025218;Île-de-France;11;241
Maintenance des véhicules option c - motocycles;CAP;50025220;Île-de-France;11;241
Maroquinerie;CAP;50024322;Île-de-France;11;241
Métiers des services à l'environnement;MC;32034304;Île-de-France;11;311
Métiers du froid et des energies renouvelables;BAC PRO;40025517;Île-de-France;11;247
Production et service en restaurations (rapide, collective, cafétéria);CAP;50022142;Île-de-France;11;241
Réalisation de produits imprimés et pluri média option a - productions graphiques;BAC PRO;40032207;Île-de-France;11;247
Réalisation de produits imprimés et pluri média option b - productions imprimées;BAC PRO;40032208;Île-de-France;11;247
Services et prestations des secteurs sanitaire et social;MC;32033002;Île-de-France;11;311
Technicien ascensoriste (service et modernisation);MC;01025002;Île-de-France;11;253
Travaux publics;BAC PRO;40023102;Île-de-France;11;247
Gestion de la pme;BTS;32031409;Île-de-France;11;311
