GROUPE_SPECIALITE,DOMAINE_SPECIALITE,LIBELLE_COURT,LIBELLE_LONG,LIBELLE_STAT_33,DATE_OUVERTURE,DATE_FERMETURE,DATE_INTERVENTION,LIBELLE_EDITION,N_COMMENTAIRE
222.0,22.0,,TRANSFORMATIONS CHIMIQUES ET APPARENTEES,TRANSFO.CHIMIQUES ET APPARENTEES,,,22/12/1999,Transformations chimiques et apparentées,
223.0,22.0,,"METALLURGIE (Y.C. SIDERURGIE, FONDERIE)","METALLURGIE (Y.C. SIDERURGIE, ..)",,,22/12/1999,Métallurgie,
224.0,22.0,,"MATERIAUX DE CONSTRUCTION, VERRE, CERAM.","MATERIAUX DE CONSTRUCTION, VERRE",,,22/12/1999,"Matériaux de construction, verre, céramique",
225.0,22.0,,"PLASTURGIE, MATERIAUX COMPOSITES","PLASTURGIE, MATERIAUX COMPOSITES",,,22/12/1999,"Plasturgie, matériaux composites",
226.0,22.0,,"PAPIER, CARTON","PAPIER, CARTON",,,22/12/1999,"Papier, carton",
227.0,22.0,,"ENERGIE, GENIE CLIMATIQUE","ENERGIE, GENIE CLIMATIQUE",,,22/12/1999,"Energie, génie climatique",
119.0,11.0,,DO11 : MATHEMATIQUES ET SCIENCES,DO11 : MATHEMATIQUES ET SCIENCES,,,05/08/1997,,
231.0,23.0,,"MINES ET CARRIERES, GENIE CIVIL, TOPOGR.","MINES & CARR., GENIE CIVIL, TOPO.",,,22/12/1999,"Mines et carrières, génie civil, topographie",
232.0,23.0,,BATIMENT : CONSTRUCTION ET COUVERTURE,BATIMENT : CONSTRUCT.& COUVERTURE,,,22/12/1999,Bâtiment : constuction et couverture,
233.0,23.0,,BATIMENT : FINITIONS,BATIMENT : FINITIONS,,,22/12/1999,Bâtiment : finitions,
234.0,23.0,,TRAVAIL DU BOIS ET DE L'AMEUBLEMENT,TRAVAIL DU BOIS ET DE L'AMEUBLMT,,,22/12/1999,Travail du bois et de l'ameublement,
240.0,24.0,,SPECIALIT.PLURITECHNO MATERIAUX SOUPLES,SPEC.PLURITECHNO MATERIAUX SOUPL.,,,22/12/1999,Spécialités pluritechnologiques des matériaux souples,
241.0,24.0,,TEXTILE,TEXTILE,,,22/12/1999,Textile,
242.0,24.0,,"HABILLEMENT (Y. C. MODE, COUTURE)","HABILLEMENT (Y. C. MODE, COUTURE)",,,22/12/1999,Habillement,
243.0,24.0,,CUIRS ET PEAUX,CUIRS ET PEAUX,,,22/12/1999,Cuirs et peaux,
250.0,25.0,,SPEC.PLURITECHNO MECANIQUE-ELECTRICITE,SPEC.PLURITECHNO MECAN.-ELECTRIC.,,,22/12/1999,Spécialités pluritechnologiques en mécanique-électricité,
252.0,25.0,,MOTEURS ET MECANIQUE AUTO,MOTEURS ET MECANIQUE AUTO,,,22/12/1999,Moteurs et mécanique auto,
253.0,25.0,,MECANIQUE AERONAUTIQUE ET SPATIALE,MECANIQUE AERONAUTIQ.& SPATIALE,,,22/12/1999,Mécanique aéronautique et spatiale,
254.0,25.0,,STRUCTURES METALLIQUES,STRUCTURES METALLIQUES,,,22/12/1999,Structures métalliques,
255.0,25.0,,"ELECTRICITE, ELECTRONIQUE","ELECTRICITE, ELECTRONIQUE",,,22/12/1999,"Electricité, électronique",
310.0,31.0,,SPECIALIT.PLURIV.DES ECHANGES & GESTION,SPEC.PLURIVAL.ECHANGES & GESTION,,,22/12/1999,Spécialités plurivalentes des échanges et de la gestion,
311.0,31.0,,"TRANSPORT, MANUTENTION, MAGASINAGE","TRANSPORT, MANUTENT., MAGASINAGE",,,22/12/1999,"Transport, manutention, magasinage",
313.0,31.0,,"FINANCES, BANQUE, ASSURANCES","FINANCES, BANQUE, ASSURANCES",,,22/12/1999,"Finances, banque, assurances",
314.0,31.0,,"COMPTABILITE, GESTION","COMPTABILITE, GESTION",,,22/12/1999,"Comptabilité, gestion",
320.0,32.0,,SPECIALITES PLURIVAL.DE LA COMMUNICATION,SPEC.PLURIVAL.DE LA COMMUNICATION,,,22/12/1999,Spécialités plurivalentes de la communication,
220.0,22.0,,SPEC.PLURITECHNO DES TRANSFORMATIONS,SPEC.PLURITECHNO DES TRANSFORMAT.,,,22/12/1999,Spécialités pluritechnologiques des transformations,
100.0,10.0,,FORMATIONS GENERALES,FORMATIONS GENERALES,,,22/12/1999,Formations générales,
110.0,11.0,,SPECIALITES PLURISCIENTIFIQUES,SPECIALITES PLURISCIENTIFIQUES,,,22/12/1999,Spécialités pluriscientifiques,
111.0,11.0,,PHYSIQUE-CHIMIE,PHYSIQUE-CHIMIE,,,22/12/1999,Physique-chimie,
112.0,11.0,,"CHIMIE-BIOLOGIE, BIOCHIMIE","CHIMIE-BIOLOGIE, BIOCHIMIE",,,22/12/1999,Chimie-biologie-biochimie,
113.0,11.0,,SCIENCES NATURELLES (BIOLOGIE-GEOLOGIE),SCIENCES NAT. (BIOLOGIE-GEOLOGIE),,,22/12/1999,Sciences naturelles (biologie-géologie),
114.0,11.0,,MATHEMATIQUES,MATHEMATIQUES,,,22/12/1999,Mathématiques,
115.0,11.0,,PHYSIQUE,PHYSIQUE,,,22/12/1999,Physique,
116.0,11.0,,CHIMIE,CHIMIE,,,22/12/1999,Chimie,
117.0,11.0,,SCIENCES DE LA TERRE,SCIENCES DE LA TERRE,,,22/12/1999,Sciences de la terre,
118.0,11.0,,SCIENCES DE LA VIE,SCIENCES DE LA VIE,,,22/12/1999,Sciences de la vie,
120.0,12.0,,SPEC.PLURIDISC.SCIENCES HUMAINES & DROIT,SPEC.PLURIDISC.SC-HUMAIN.& DROIT,,,22/12/1999,Spécialités pluridisciplinaires sciences humaines et droit,
122.0,12.0,,ECONOMIE,ECONOMIE,,,22/12/1999,Economie,
123.0,12.0,,SCIENCES SOCIALES,SCIENCES SOCIALES,,,22/12/1999,Sciences sociales,
124.0,12.0,,PSYCHOLOGIE,PSYCHOLOGIE,,,22/12/1999,Psychologie,
126.0,12.0,,HISTOIRE,HISTOIRE,,,22/12/1999,Histoire,
127.0,12.0,,"PHILOSOPHIE, ETHIQUE ET THEOLOGIE","PHILOSOPHIE, ETHIQUE ET THEOLOGIE",,,22/12/1999,Philosophie-éthique-religion,
128.0,12.0,,"DROIT, SCIENCES POLITIQUES","DROIT, SCIENCES POLITIQUES",,,22/12/1999,"Droit, sciences politiques",
130.0,13.0,,SPEC.LITTERAIR.& ARTISTIQ.PLURIVALENTES,SPEC.LITT.& ARTIST.PLURIVALENTES,,,22/12/1999,Spécialités littéraires et artistiques,
131.0,13.0,,"FRANCAIS, LITTERATURE & CIVIL.FRANCAISE","FRANCAIS, LITT.& CIVIL.FRANCAISE",,,22/12/1999,"Français, littérature et civilisation française",
133.0,13.0,,"MUSIQUE, ARTS DU SPECTACLE","MUSIQUE, ARTS DU SPECTACLE",,,22/12/1999,"Musique, arts du spectacle",
135.0,13.0,,LANGUES ET CIVILISATIONS ANCIENNES,LANGUES & CIVILISATIONS ANCIENNES,,,22/12/1999,Langues et civilisations anciennes,
136.0,13.0,,"LANGUES VIVANTES, CIVILISATIONS ETRANG.","LANGU.VIVANTES, CIVILISAT.ETRANG.",,,22/12/1999,Langues vivantes et civilisations étrangères,
200.0,20.0,,TECHNOLOGIES INDUSTRIELLES FONDAMENTALES,TECHNO.INDUSTRIELL.FONDAMENTALES,,,22/12/1999,Technologies industrielles fondamentales,
210.0,21.0,,SPEC.PLURIVAL.DE L'AGRONOMIE & AGRICULT.,SPEC.PLURIV.DE L'AGRONOMIE AGRIC.,,,22/12/1999,Spécialités plurivalentes de l'agronomie et de l'agriculture,
212.0,21.0,,"PRODUCTIONS ANIMALES, ELEVAGE SPECIALIS.","PROD.ANIMALES, ELEVAGE SPECIALIS.",,,22/12/1999,"Productions animales, élevages spécialisés, soins aux animaux",
213.0,21.0,,"FORETS, ESPACES NATURELS, FAUNE, PECHE","FORETS, ESPACES NATURELS, FAUNE",,,22/12/1999,"Forêts, espaces verts, faune sauvage, pêche",
109.0,10.0,,DO10 : FORMATIONS GENERALES,DO10 : FORMATIONS GENERALES,,,05/08/1997,,
199.0,19.0,,DOMAINES DISCIPLINAIRES,DOMAINES DISCIPLINAIRES,,,05/08/1997,,
499.0,49.0,,DOMAINES DU DEVELOPPEMENT PERSONNEL,DOMAINES DU DEVELOPPEMT PERSONNEL,,,05/08/1997,,
129.0,12.0,,DO12 : SCIENCES HUMAINES ET DROIT,DO12 : SCIENCES HUMAINES ET DROIT,,,05/08/1997,,
139.0,13.0,,DO13 : LETTRES ET ARTS,DO13 : LETTRES ET ARTS,,,05/08/1997,,
419.0,41.0,,DO41 : CAPACITES INDIVIDUEL.ET SOCIALES,DO41 : CAPACITES INDIVID.& SOCIAL,,,05/08/1997,,
429.0,42.0,,DO42 : ACTIVIT. QUOTIDIENNES ET LOISIRS,DO42 : ACTIV. QUOTIDIEN.& LOISIRS,,,05/08/1997,,
121.0,12.0,,GEOGRAPHIE,GEOGRAPHIE,,,22/12/1999,Géographie,
125.0,12.0,,LINGUISTIQUE,LINGUISTIQUE,,,22/12/1999,Linguistique,
134.0,13.0,,AUTRES DISCIPLINES ARTISTIQUES,AUTRES DISCIPLINES ARTISTIQUES,,,22/12/1999,Autres disciplines artistiques et spécialités artistiques plurivalentes,
201.0,20.0,,TECHNO DE COMMANDE DES TRANSFO.INDUST.,TECHNO DE COMDE DES TRANSF.INDUST,,,22/12/1999,Technologies de commandes des transformations industrielles,
211.0,21.0,,"PRODUCTIONS VEGETALES, CULTUR.SPECIALIS.","PROD.VEGETALES, CULTUR.SPECIALIS.",,,22/12/1999,"Productions végétales, cultures spécialisées, protection des cultures",
214.0,21.0,,"AMENAGEMENT PAYSAGER (PARCS, ...)","AMENAGEMENT PAYSAGER (PARCS, ...)",,,22/12/1999,"Aménagement paysager, parcs, jardins, espaces verts, terrains de sport",
